	Open	High	Low	Close	Volume	TradingDate	Code
0	5417.0	5869.0	5417.0	5417.0	267360	2010-06-28	BCE
1	5169.0	5417.0	5169.0	5304.0	218580	2010-06-29	BCE
2	5079.0	5530.0	5079.0	5237.0	50850	2010-06-30	BCE
3	5304.0	5304.0	5191.0	5237.0	42290	2010-07-01	BCE
4	5462.0	5462.0	5191.0	5214.0	75300	2010-07-02	BCE
5	5214.0	5214.0	5079.0	5079.0	146120	2010-07-05	BCE
6	4921.0	5079.0	4921.0	5011.0	205610	2010-07-06	BCE
7	5124.0	5259.0	5124.0	5259.0	270100	2010-07-07	BCE
8	5191.0	5395.0	5191.0	5191.0	92340	2010-07-08	BCE
9	5191.0	5372.0	5191.0	5191.0	55680	2010-07-09	BCE
10	5169.0	5304.0	5124.0	5191.0	34180	2010-07-12	BCE
11	5259.0	5282.0	5146.0	5214.0	75450	2010-07-13	BCE
12	5191.0	5372.0	5191.0	5191.0	215360	2010-07-14	BCE
13	5191.0	5282.0	5124.0	5124.0	67810	2010-07-15	BCE
14	5124.0	5191.0	5079.0	5124.0	68940	2010-07-16	BCE
15	5191.0	5191.0	4966.0	4966.0	133750	2010-07-19	BCE
16	4966.0	5079.0	4966.0	4988.0	307260	2010-07-20	BCE
17	5237.0	5237.0	5191.0	5237.0	194100	2010-07-21	BCE
18	5485.0	5485.0	5304.0	5327.0	303780	2010-07-22	BCE
19	5214.0	5327.0	5191.0	5214.0	88960	2010-07-23	BCE
20	5079.0	5214.0	5056.0	5056.0	41650	2010-07-26	BCE
21	5169.0	5169.0	5011.0	5056.0	81520	2010-07-27	BCE
22	5033.0	5056.0	4808.0	4808.0	181470	2010-07-28	BCE
23	4763.0	4808.0	4650.0	4808.0	116100	2010-07-29	BCE
24	4943.0	5033.0	4808.0	4830.0	46130	2010-07-30	BCE
25	4921.0	4921.0	4763.0	4763.0	19310	2010-08-02	BCE
26	4763.0	4853.0	4740.0	4740.0	43080	2010-08-03	BCE
27	4695.0	4695.0	4605.0	4650.0	47020	2010-08-04	BCE
28	4627.0	4717.0	4605.0	4627.0	43000	2010-08-05	BCE
29	4627.0	4650.0	4514.0	4514.0	55420	2010-08-06	BCE
30	4492.0	4514.0	4334.0	4356.0	48850	2010-08-09	BCE
31	4289.0	4289.0	4153.0	4153.0	91510	2010-08-10	BCE
32	4063.0	4266.0	4063.0	4266.0	39330	2010-08-11	BCE
33	4108.0	4243.0	4063.0	4063.0	74160	2010-08-12	BCE
34	3950.0	4176.0	3950.0	4063.0	38500	2010-08-13	BCE
35	4198.0	4266.0	4176.0	4266.0	47320	2010-08-16	BCE
36	4266.0	4289.0	4108.0	4266.0	75650	2010-08-17	BCE
37	4289.0	4289.0	4131.0	4131.0	8210	2010-08-18	BCE
38	4108.0	4153.0	4040.0	4063.0	17250	2010-08-19	BCE
39	4063.0	4063.0	3905.0	3950.0	15110	2010-08-20	BCE
40	4040.0	4040.0	3792.0	3882.0	35210	2010-08-23	BCE
41	3724.0	3769.0	3702.0	3702.0	53060	2010-08-24	BCE
42	3544.0	3544.0	3521.0	3521.0	66290	2010-08-25	BCE
43	3611.0	3634.0	3521.0	3634.0	56060	2010-08-26	BCE
44	3521.0	3702.0	3521.0	3702.0	83470	2010-08-27	BCE
45	3882.0	3882.0	3882.0	3882.0	70180	2010-08-30	BCE
46	3860.0	4018.0	3860.0	3995.0	34010	2010-08-31	BCE
47	3950.0	4108.0	3860.0	3950.0	44910	2010-09-01	BCE
48	4063.0	4131.0	4040.0	4131.0	82290	2010-09-06	BCE
49	4018.0	4289.0	4018.0	4198.0	48820	2010-09-07	BCE
50	4063.0	4289.0	3995.0	3995.0	31710	2010-09-08	BCE
51	4153.0	4153.0	4018.0	4063.0	93720	2010-09-09	BCE
52	4063.0	4108.0	3882.0	3882.0	56040	2010-09-10	BCE
53	3882.0	4040.0	3702.0	3950.0	40290	2010-09-13	BCE
54	4085.0	4085.0	3927.0	3927.0	21280	2010-09-14	BCE
55	4063.0	4063.0	3860.0	3950.0	12810	2010-09-15	BCE
56	3769.0	4063.0	3769.0	3950.0	11870	2010-09-16	BCE
57	4063.0	4063.0	3927.0	3950.0	39520	2010-09-17	BCE
58	4063.0	4063.0	3905.0	4063.0	87710	2010-09-20	BCE
59	4063.0	4063.0	3973.0	4018.0	22740	2010-09-21	BCE
60	3905.0	4063.0	3905.0	4018.0	6680	2010-09-22	BCE
61	3995.0	4018.0	3882.0	3973.0	28110	2010-09-23	BCE
62	3950.0	3973.0	3905.0	3927.0	13040	2010-09-24	BCE
63	3927.0	3927.0	3882.0	3882.0	14500	2010-09-27	BCE
64	4040.0	4040.0	3905.0	3905.0	21510	2010-09-28	BCE
65	3905.0	3905.0	3837.0	3837.0	4120	2010-09-29	BCE
66	3837.0	3905.0	3837.0	3837.0	28230	2010-09-30	BCE
67	3837.0	3837.0	3792.0	3792.0	45610	2010-10-01	BCE
68	3792.0	3792.0	3611.0	3634.0	9730	2010-10-04	BCE
69	3657.0	3702.0	3611.0	3702.0	15010	2010-10-05	BCE
70	3702.0	3792.0	3702.0	3792.0	13550	2010-10-06	BCE
71	3815.0	3815.0	3769.0	3769.0	13030	2010-10-07	BCE
72	3611.0	3815.0	3589.0	3747.0	5220	2010-10-08	BCE
73	3566.0	3747.0	3566.0	3634.0	11320	2010-10-11	BCE
74	3815.0	3815.0	3566.0	3611.0	12420	2010-10-12	BCE
75	3702.0	3702.0	3611.0	3679.0	17030	2010-10-13	BCE
76	3792.0	3792.0	3611.0	3679.0	9600	2010-10-14	BCE
77	3611.0	3611.0	3566.0	3566.0	36870	2010-10-15	BCE
78	3702.0	3702.0	3589.0	3589.0	2030	2010-10-18	BCE
79	3679.0	3679.0	3544.0	3566.0	54800	2010-10-19	BCE
80	3499.0	3499.0	3408.0	3431.0	19780	2010-10-20	BCE
81	3566.0	3566.0	3408.0	3408.0	33920	2010-10-21	BCE
82	3499.0	3499.0	3408.0	3431.0	13490	2010-10-22	BCE
83	3408.0	3589.0	3386.0	3589.0	7390	2010-10-25	BCE
84	3679.0	3724.0	3679.0	3679.0	10210	2010-10-26	BCE
85	3679.0	3679.0	3544.0	3544.0	18250	2010-10-27	BCE
86	3521.0	3521.0	3499.0	3499.0	7440	2010-10-28	BCE
87	3521.0	3521.0	3476.0	3521.0	18010	2010-10-29	BCE
88	3499.0	3499.0	3476.0	3499.0	9120	2010-11-01	BCE
89	3476.0	3499.0	3476.0	3499.0	10820	2010-11-02	BCE
90	3476.0	3499.0	3386.0	3476.0	30880	2010-11-03	BCE
91	3499.0	3611.0	3476.0	3499.0	59180	2010-11-04	BCE
92	3544.0	3611.0	3499.0	3611.0	3690	2010-11-05	BCE
93	3611.0	3611.0	3499.0	3611.0	14960	2010-11-08	BCE
94	3499.0	3499.0	3453.0	3476.0	11160	2010-11-09	BCE
95	3453.0	3476.0	3431.0	3476.0	16040	2010-11-10	BCE
96	3476.0	3476.0	3386.0	3386.0	22210	2010-11-11	BCE
97	3273.0	3386.0	3250.0	3386.0	5670	2010-11-12	BCE
98	3386.0	3386.0	3363.0	3363.0	4610	2010-11-15	BCE
99	3228.0	3228.0	3205.0	3205.0	4450	2010-11-16	BCE
100	3205.0	3273.0	3205.0	3273.0	22520	2010-11-17	BCE
101	3431.0	3431.0	3431.0	3431.0	18740	2010-11-18	BCE
102	3589.0	3589.0	3386.0	3386.0	5480	2010-11-19	BCE
103	3499.0	3499.0	3228.0	3431.0	790	2010-11-22	BCE
104	3341.0	3566.0	3341.0	3431.0	16150	2010-11-23	BCE
105	3544.0	3566.0	3363.0	3431.0	25480	2010-11-24	BCE
106	3499.0	3566.0	3386.0	3544.0	15650	2010-11-25	BCE
107	3657.0	3657.0	3521.0	3544.0	15200	2010-11-26	BCE
108	3657.0	3657.0	3566.0	3657.0	43630	2010-11-29	BCE
109	3837.0	3837.0	3837.0	3837.0	61820	2010-11-30	BCE
110	4018.0	4018.0	3792.0	3905.0	29530	2010-12-01	BCE
