	Open	High	Low	Close	Volume	TradingDate	Code
0	3713.0	5351.0	3451.0	3713.0	117200	2008-11-03	DC4
1	3862.0	3906.0	3755.0	3862.0	31500	2008-11-04	DC4
2	4076.0	4076.0	4076.0	4076.0	28000	2008-11-05	DC4
3	4353.0	4375.0	4289.0	4353.0	64300	2008-11-06	DC4
4	4332.0	4740.0	4128.0	4631.0	81100	2008-11-07	DC4
5	4823.0	4823.0	4823.0	4823.0	5500	2008-11-10	DC4
6	5143.0	5143.0	5015.0	5143.0	160500	2008-11-11	DC4
7	5484.0	5506.0	5034.0	5484.0	101200	2008-11-12	DC4
8	5826.0	5826.0	5484.0	5826.0	104700	2008-11-13	DC4
9	6231.0	6119.0	5323.0	5826.0	113300	2008-11-14	DC4
10	5527.0	5548.0	5527.0	5527.0	29300	2008-11-17	DC4
11	5143.0	5143.0	5143.0	5143.0	400	2008-11-18	DC4
12	4801.0	5123.0	4823.0	4844.0	92200	2008-11-19	DC4
13	4524.0	4588.0	4481.0	4503.0	32900	2008-11-20	DC4
14	4225.0	4957.0	4565.0	4588.0	47600	2008-11-21	DC4
15	4524.0	4392.0	4061.0	4268.0	17800	2008-11-24	DC4
16	4481.0	4503.0	4289.0	4375.0	5400	2008-11-25	DC4
17	4076.0	4076.0	4055.0	4055.0	8400	2008-11-26	DC4
18	4033.0	4011.0	3756.0	3777.0	6500	2008-11-27	DC4
19	4033.0	4120.0	3946.0	4055.0	52200	2008-11-28	DC4
20	4055.0	4076.0	3715.0	4012.0	9400	2008-12-01	DC4
21	3777.0	3904.0	3714.0	3777.0	22300	2008-12-02	DC4
22	3841.0	3948.0	3841.0	3841.0	9600	2008-12-03	DC4
23	3841.0	3841.0	3820.0	3841.0	13700	2008-12-04	DC4
24	3628.0	3778.0	3606.0	3628.0	24600	2008-12-05	DC4
25	3372.0	3584.0	3350.0	3372.0	31400	2008-12-08	DC4
26	3201.0	3287.0	3179.0	3201.0	18000	2008-12-09	DC4
27	2966.0	3180.0	2966.0	2966.0	21000	2008-12-10	DC4
28	3158.0	3158.0	3094.0	3158.0	30000	2008-12-11	DC4
29	3372.0	3393.0	3329.0	3372.0	40900	2008-12-12	DC4
30	3372.0	3497.0	3288.0	3372.0	16100	2008-12-15	DC4
31	3201.0	3282.0	3058.0	3201.0	4700	2008-12-16	DC4
32	3137.0	3243.0	3116.0	3137.0	69600	2008-12-17	DC4
33	2902.0	2902.0	2881.0	2881.0	21400	2008-12-18	DC4
34	2881.0	3310.0	2937.0	3030.0	54200	2008-12-19	DC4
35	2966.0	2966.0	2966.0	2966.0	59700	2008-12-22	DC4
36	3158.0	3180.0	3029.0	3158.0	34100	2008-12-23	DC4
37	3094.0	3160.0	3051.0	3094.0	20200	2008-12-24	DC4
38	2988.0	2988.0	2881.0	2902.0	15600	2008-12-25	DC4
39	2902.0	2924.0	2795.0	2881.0	8800	2008-12-26	DC4
40	2860.0	2881.0	2838.0	2838.0	8900	2008-12-29	DC4
41	2817.0	2903.0	2838.0	2860.0	12700	2008-12-30	DC4
42	2838.0	2838.0	2731.0	2774.0	17000	2008-12-31	DC4
43	2774.0	3056.0	2856.0	2945.0	20800	2009-01-02	DC4
44	2881.0	3074.0	2922.0	3030.0	46500	2009-01-05	DC4
45	3137.0	3180.0	3072.0	3116.0	24700	2009-01-06	DC4
46	3201.0	3178.0	3031.0	3094.0	20000	2009-01-07	DC4
47	3094.0	3072.0	2945.0	2988.0	15100	2009-01-08	DC4
48	3009.0	3116.0	2923.0	3009.0	29800	2009-01-09	DC4
49	3094.0	3116.0	2923.0	3030.0	11800	2009-01-12	DC4
50	3009.0	3009.0	2966.0	2988.0	9400	2009-01-13	DC4
51	2988.0	3030.0	2945.0	3009.0	16100	2009-01-14	DC4
52	2945.0	2945.0	2924.0	2924.0	9600	2009-01-15	DC4
53	2924.0	2966.0	2902.0	2945.0	7000	2009-01-16	DC4
54	2988.0	3009.0	2966.0	2988.0	10200	2009-01-19	DC4
55	2966.0	2945.0	2902.0	2924.0	2000	2009-01-20	DC4
56	2966.0	3009.0	2966.0	2988.0	6200	2009-01-21	DC4
57	2988.0	2987.0	2945.0	2966.0	10800	2009-01-22	DC4
58	2988.0	3268.0	3071.0	3158.0	56100	2009-01-23	DC4
59	3201.0	3157.0	3031.0	3073.0	7500	2009-02-02	DC4
60	3308.0	3331.0	2966.0	3030.0	17600	2009-02-03	DC4
61	3030.0	3008.0	2924.0	2966.0	6300	2009-02-04	DC4
62	3052.0	3052.0	2817.0	2881.0	20100	2009-02-05	DC4
63	2902.0	3053.0	2944.0	2988.0	14200	2009-02-06	DC4
64	2966.0	3138.0	3008.0	3073.0	10200	2009-02-09	DC4
65	2945.0	2988.0	2945.0	2945.0	19400	2009-02-10	DC4
66	2902.0	2988.0	2923.0	2945.0	17900	2009-02-11	DC4
67	2966.0	3009.0	2966.0	2988.0	12100	2009-02-12	DC4
68	2988.0	3030.0	3009.0	3009.0	15400	2009-02-13	DC4
69	2988.0	2988.0	2966.0	2966.0	13000	2009-02-16	DC4
70	2988.0	2988.0	2924.0	2966.0	18200	2009-02-17	DC4
71	2924.0	2945.0	2902.0	2924.0	11300	2009-02-18	DC4
72	2860.0	2881.0	2795.0	2817.0	20700	2009-02-19	DC4
73	2817.0	2795.0	2732.0	2753.0	5500	2009-02-20	DC4
74	2667.0	2838.0	2647.0	2774.0	14300	2009-02-23	DC4
75	2731.0	2731.0	2731.0	2731.0	18400	2009-02-24	DC4
76	2817.0	2860.0	2795.0	2817.0	19800	2009-02-25	DC4
77	2731.0	2817.0	2753.0	2774.0	9300	2009-02-26	DC4
78	2731.0	2817.0	2731.0	2795.0	11200	2009-02-27	DC4
79	2795.0	2817.0	2774.0	2795.0	2600	2009-03-02	DC4
80	2817.0	2817.0	2795.0	2817.0	10700	2009-03-03	DC4
81	2838.0	2860.0	2817.0	2860.0	6800	2009-03-04	DC4
82	2881.0	2902.0	2859.0	2881.0	16000	2009-03-05	DC4
83	2860.0	2924.0	2881.0	2902.0	10200	2009-03-06	DC4
84	3030.0	3094.0	3008.0	3073.0	22000	2009-03-09	DC4
85	3180.0	3244.0	3114.0	3201.0	30100	2009-03-10	DC4
86	3372.0	3327.0	3116.0	3158.0	8600	2009-03-11	DC4
87	3094.0	3072.0	2966.0	2988.0	10700	2009-03-12	DC4
88	2988.0	3095.0	3009.0	3030.0	13500	2009-03-13	DC4
89	3052.0	3159.0	3094.0	3116.0	36700	2009-03-16	DC4
90	3137.0	3180.0	3115.0	3158.0	24300	2009-03-17	DC4
91	3180.0	3372.0	3200.0	3350.0	50200	2009-03-18	DC4
92	3436.0	3433.0	3246.0	3329.0	64200	2009-03-19	DC4
93	3308.0	3328.0	3201.0	3244.0	18900	2009-03-20	DC4
94	3308.0	3284.0	3118.0	3201.0	18200	2009-03-23	DC4
95	3414.0	3500.0	3371.0	3414.0	29700	2009-03-24	DC4
96	3372.0	3414.0	3351.0	3393.0	16400	2009-03-25	DC4
97	3414.0	3414.0	3372.0	3414.0	13800	2009-03-26	DC4
98	3414.0	3371.0	3266.0	3308.0	8700	2009-03-27	DC4
99	3350.0	3697.0	3409.0	3564.0	41200	2009-03-30	DC4
100	3606.0	3692.0	3563.0	3670.0	20300	2009-03-31	DC4
101	3841.0	3818.0	3671.0	3734.0	40500	2009-04-01	DC4
102	3820.0	3906.0	3820.0	3841.0	29400	2009-04-02	DC4
103	3905.0	4142.0	3989.0	4055.0	49100	2009-04-03	DC4
104	4204.0	4226.0	4097.0	4140.0	12700	2009-04-07	DC4
105	4161.0	4073.0	3801.0	3926.0	45600	2009-04-08	DC4
106	4055.0	3988.0	3778.0	3841.0	14300	2009-04-09	DC4
107	3969.0	4031.0	3780.0	3926.0	24900	2009-04-10	DC4
108	4161.0	4313.0	4096.0	4161.0	92700	2009-04-13	DC4
109	4225.0	4134.0	3759.0	3884.0	37300	2009-04-14	DC4
110	3841.0	3797.0	3650.0	3692.0	25500	2009-04-15	DC4
111	3756.0	3777.0	3692.0	3734.0	61100	2009-04-16	DC4
112	3734.0	3734.0	3500.0	3606.0	41900	2009-04-17	DC4
113	3372.0	3372.0	3372.0	3372.0	48600	2009-04-20	DC4
114	3137.0	3461.0	3240.0	3350.0	15900	2009-04-21	DC4
115	3457.0	3457.0	3457.0	3457.0	10900	2009-04-22	DC4
116	3670.0	3735.0	3497.0	3692.0	14400	2009-04-23	DC4
117	3649.0	3866.0	3756.0	3756.0	1400	2009-04-24	DC4
118	3734.0	3559.0	3294.0	3457.0	700	2009-04-27	DC4
119	3606.0	3606.0	3585.0	3606.0	1600	2009-04-28	DC4
120	3606.0	3671.0	3585.0	3628.0	7700	2009-04-29	DC4
121	3628.0	3863.0	3626.0	3820.0	71500	2009-05-04	DC4
122	4033.0	3969.0	3906.0	3969.0	91600	2009-05-05	DC4
123	3798.0	3926.0	3756.0	3756.0	30800	2009-05-06	DC4
124	3841.0	3905.0	3777.0	3841.0	52800	2009-05-07	DC4
125	3841.0	3797.0	3587.0	3713.0	21300	2009-05-08	DC4
126	3734.0	3713.0	3628.0	3670.0	11100	2009-05-11	DC4
127	3820.0	3776.0	3607.0	3649.0	5600	2009-05-12	DC4
128	3734.0	3734.0	3649.0	3670.0	22600	2009-05-13	DC4
129	3649.0	3778.0	3692.0	3692.0	24200	2009-05-14	DC4
130	3734.0	3841.0	3713.0	3756.0	29700	2009-05-15	DC4
131	3905.0	3927.0	3713.0	3777.0	13800	2009-05-18	DC4
132	3841.0	3884.0	3755.0	3820.0	29800	2009-05-19	DC4
133	3820.0	3820.0	3735.0	3798.0	18900	2009-05-20	DC4
134	3798.0	3927.0	3841.0	3884.0	36000	2009-05-21	DC4
135	3926.0	4119.0	3904.0	4097.0	256800	2009-05-22	DC4
136	4353.0	4353.0	4353.0	4353.0	45700	2009-05-25	DC4
137	4652.0	4652.0	4652.0	4652.0	13900	2009-05-26	DC4
138	4972.0	4815.0	4195.0	4567.0	240000	2009-05-27	DC4
139	4396.0	4650.0	4354.0	4481.0	84500	2009-05-28	DC4
140	4652.0	4717.0	4267.0	4481.0	38500	2009-05-29	DC4
141	4503.0	4824.0	4521.0	4759.0	25400	2009-06-01	DC4
142	5015.0	5036.0	4758.0	5015.0	112800	2009-06-02	DC4
143	5335.0	5335.0	5335.0	5335.0	35900	2009-06-03	DC4
144	5698.0	5698.0	5698.0	5698.0	7800	2009-06-04	DC4
145	6082.0	6082.0	6082.0	6082.0	12300	2009-06-05	DC4
146	6487.0	6487.0	6445.0	6487.0	158700	2009-06-08	DC4
147	6935.0	6352.0	5531.0	6039.0	108100	2009-06-09	DC4
148	6146.0	7005.0	6550.0	6573.0	87300	2009-06-10	DC4
149	6188.0	6637.0	6229.0	6594.0	20900	2009-06-11	DC4
150	6978.0	6765.0	5899.0	6167.0	105200	2009-06-12	DC4
151	5975.0	6188.0	5954.0	5954.0	27000	2009-06-15	DC4
152	5548.0	5548.0	5548.0	5548.0	11800	2009-06-16	DC4
153	5164.0	5907.0	5456.0	5591.0	66700	2009-06-17	DC4
154	5570.0	5525.0	5317.0	5463.0	41900	2009-06-18	DC4
155	5591.0	5636.0	5249.0	5292.0	51600	2009-06-19	DC4
156	4908.0	4929.0	4887.0	4887.0	13400	2009-06-22	DC4
157	4545.0	4545.0	4545.0	4545.0	12700	2009-06-23	DC4
158	4844.0	4844.0	4844.0	4844.0	14700	2009-06-24	DC4
159	5164.0	5143.0	4548.0	5079.0	38200	2009-06-25	DC4
160	4801.0	5402.0	4901.0	5228.0	9300	2009-06-26	DC4
161	5122.0	5029.0	4655.0	4780.0	24900	2009-06-29	DC4
162	5186.0	5250.0	4908.0	5122.0	51900	2009-06-30	DC4
163	4823.0	4823.0	4780.0	4780.0	13500	2009-07-01	DC4
164	4780.0	5187.0	4861.0	5100.0	14800	2009-07-02	DC4
165	5335.0	5465.0	4768.0	5356.0	76200	2009-07-03	DC4
166	5612.0	5612.0	5548.0	5612.0	40800	2009-07-06	DC4
167	5868.0	5890.0	5633.0	5783.0	107900	2009-07-07	DC4
168	5122.0	5142.0	4972.0	5036.0	32200	2009-07-08	DC4
169	5207.0	5207.0	4908.0	4951.0	19300	2009-07-09	DC4
170	4801.0	4969.0	4589.0	4652.0	26300	2009-07-10	DC4
171	4887.0	4725.0	4230.0	4375.0	13700	2009-07-13	DC4
172	4481.0	4545.0	4268.0	4481.0	20300	2009-07-14	DC4
173	4673.0	4626.0	4233.0	4481.0	14700	2009-07-15	DC4
174	4929.0	4818.0	4526.0	4631.0	13000	2009-07-16	DC4
175	4737.0	4671.0	4440.0	4503.0	10100	2009-07-17	DC4
176	4567.0	4544.0	4247.0	4268.0	15800	2009-07-20	DC4
177	4268.0	4117.0	3912.0	4076.0	5300	2009-07-21	DC4
178	4353.0	4421.0	4053.0	4183.0	7500	2009-07-22	DC4
179	4055.0	4461.0	4114.0	4396.0	8500	2009-07-23	DC4
