	Open	High	Low	Close	Volume	TradingDate	Code
0	16203.0	19804.0	15753.0	18138.0	278800	2010-07-06	LCS
1	19399.0	19399.0	19399.0	19399.0	30700	2010-07-07	LCS
2	20749.0	20749.0	18453.0	20299.0	192800	2010-07-08	LCS
3	18904.0	18904.0	18904.0	18904.0	1000	2010-07-09	LCS
4	17598.0	18904.0	17598.0	17733.0	133500	2010-07-12	LCS
5	18814.0	18949.0	18003.0	18769.0	50500	2010-07-13	LCS
6	18408.0	18408.0	17778.0	17913.0	52000	2010-07-14	LCS
7	17418.0	17553.0	17193.0	17373.0	34500	2010-07-15	LCS
8	16878.0	17373.0	16653.0	17058.0	63000	2010-07-16	LCS
9	17553.0	18003.0	17328.0	17778.0	65500	2010-07-19	LCS
10	16698.0	17553.0	16698.0	17058.0	39900	2010-07-20	LCS
11	17958.0	18228.0	17373.0	17958.0	143700	2010-07-21	LCS
12	19129.0	19174.0	18453.0	19129.0	166100	2010-07-22	LCS
13	19129.0	19444.0	18138.0	18814.0	53900	2010-07-23	LCS
14	18003.0	18453.0	17823.0	18003.0	112900	2010-07-26	LCS
15	17823.0	18003.0	17103.0	17553.0	139200	2010-07-27	LCS
16	18754.0	18754.0	18754.0	18754.0	300	2010-07-28	LCS
17	20038.0	20038.0	19267.0	20038.0	178600	2010-07-29	LCS
18	21387.0	21387.0	20231.0	21322.0	83600	2010-07-30	LCS
19	22800.0	22800.0	22157.0	22735.0	147000	2010-08-02	LCS
20	24148.0	24277.0	21194.0	21965.0	51900	2010-08-03	LCS
21	20744.0	21772.0	20488.0	20616.0	74400	2010-08-04	LCS
22	20680.0	22029.0	20295.0	21066.0	68700	2010-08-05	LCS
23	21836.0	22479.0	21836.0	22479.0	46400	2010-08-06	LCS
24	24020.0	24020.0	22157.0	23635.0	97300	2010-08-09	LCS
25	23699.0	23699.0	22029.0	22479.0	77900	2010-08-10	LCS
26	23699.0	23763.0	22029.0	22735.0	31700	2010-08-11	LCS
27	21901.0	21901.0	21194.0	21579.0	12000	2010-08-12	LCS
28	20873.0	21708.0	20102.0	20488.0	74000	2010-08-13	LCS
29	21708.0	21901.0	20102.0	21001.0	91800	2010-08-16	LCS
30	20231.0	20552.0	19588.0	19845.0	39500	2010-08-17	LCS
31	20295.0	20873.0	18882.0	20231.0	11200	2010-08-18	LCS
32	21515.0	21515.0	20552.0	20937.0	59600	2010-08-19	LCS
33	20680.0	21194.0	19910.0	20680.0	36400	2010-08-20	LCS
34	20295.0	20295.0	19267.0	19781.0	38200	2010-08-23	LCS
35	18625.0	19524.0	18432.0	18689.0	39000	2010-08-24	LCS
36	18689.0	19332.0	17790.0	18561.0	59200	2010-08-25	LCS
37	19781.0	19845.0	19717.0	19845.0	54400	2010-08-26	LCS
38	21194.0	21194.0	21194.0	21194.0	29800	2010-08-27	LCS
39	22671.0	22671.0	21515.0	22414.0	53400	2010-08-30	LCS
40	22029.0	23635.0	22029.0	23121.0	84400	2010-08-31	LCS
41	22479.0	24726.0	22479.0	23827.0	148100	2010-09-01	LCS
42	24983.0	25433.0	24983.0	25369.0	43300	2010-09-06	LCS
43	27103.0	27103.0	26332.0	26974.0	186300	2010-09-07	LCS
44	28259.0	28259.0	26332.0	27167.0	99300	2010-09-08	LCS
45	27103.0	27167.0	25433.0	25626.0	95100	2010-09-09	LCS
46	24084.0	27360.0	24084.0	25882.0	106400	2010-09-10	LCS
47	25048.0	25882.0	24662.0	24855.0	53800	2010-09-13	LCS
48	25690.0	26589.0	25690.0	26268.0	42800	2010-09-14	LCS
49	26974.0	26974.0	26268.0	26782.0	43500	2010-09-15	LCS
50	26974.0	28644.0	26782.0	28195.0	205200	2010-09-16	LCS
51	30121.0	30121.0	29543.0	30057.0	57600	2010-09-17	LCS
52	31727.0	32112.0	30057.0	31534.0	159600	2010-09-20	LCS
53	29351.0	29351.0	29351.0	29351.0	20100	2010-09-21	LCS
54	27360.0	28259.0	27360.0	27488.0	226800	2010-09-22	LCS
55	25882.0	28837.0	25626.0	25947.0	175500	2010-09-23	LCS
56	27681.0	27745.0	27167.0	27681.0	104400	2010-09-24	LCS
57	28901.0	29479.0	26974.0	28451.0	80900	2010-09-27	LCS
58	28901.0	28901.0	26460.0	26653.0	71100	2010-09-28	LCS
59	25690.0	25818.0	24791.0	24855.0	89000	2010-09-29	LCS
60	23763.0	23763.0	23121.0	23185.0	210100	2010-09-30	LCS
61	22479.0	23699.0	21579.0	22093.0	100800	2010-10-01	LCS
62	21194.0	21194.0	20552.0	20616.0	75800	2010-10-04	LCS
63	20744.0	21836.0	20552.0	21194.0	49700	2010-10-05	LCS
64	21194.0	21194.0	19910.0	21066.0	46100	2010-10-06	LCS
65	20038.0	21001.0	19910.0	20231.0	30000	2010-10-07	LCS
66	19267.0	20166.0	19267.0	19396.0	29600	2010-10-08	LCS
67	20488.0	20488.0	18625.0	19845.0	7600	2010-10-11	LCS
68	19075.0	19075.0	18497.0	18689.0	57700	2010-10-12	LCS
69	17983.0	18689.0	17983.0	18368.0	13800	2010-10-13	LCS
70	17341.0	17597.0	17084.0	17148.0	147200	2010-10-14	LCS
71	17148.0	18304.0	17148.0	18047.0	58900	2010-10-15	LCS
72	18240.0	18497.0	17726.0	18176.0	34000	2010-10-18	LCS
73	17084.0	17276.0	16955.0	17019.0	59900	2010-10-19	LCS
74	15863.0	16056.0	15863.0	15863.0	21500	2010-10-20	LCS
75	15863.0	16056.0	14772.0	15029.0	66200	2010-10-21	LCS
76	14129.0	14194.0	14001.0	14001.0	33100	2010-10-22	LCS
77	13102.0	13808.0	13038.0	13102.0	57200	2010-10-25	LCS
78	13294.0	14001.0	13294.0	14001.0	9600	2010-10-26	LCS
79	14964.0	14964.0	14515.0	14900.0	56700	2010-10-27	LCS
80	14707.0	14772.0	13937.0	14258.0	13500	2010-10-28	LCS
81	14129.0	14322.0	13551.0	13808.0	21800	2010-10-29	LCS
82	13423.0	13487.0	13166.0	13294.0	13200	2010-11-01	LCS
83	12845.0	13038.0	12524.0	12781.0	30000	2010-11-02	LCS
84	13166.0	13294.0	12395.0	12652.0	9200	2010-11-03	LCS
85	12652.0	12845.0	12203.0	12588.0	32700	2010-11-04	LCS
86	13423.0	13423.0	13102.0	13359.0	34900	2010-11-05	LCS
87	13359.0	13487.0	12845.0	13102.0	17800	2010-11-08	LCS
88	12845.0	12845.0	12331.0	12460.0	14900	2010-11-09	LCS
89	12460.0	12845.0	12138.0	12267.0	19800	2010-11-10	LCS
90	12010.0	12010.0	11496.0	11689.0	11600	2010-11-11	LCS
91	11111.0	11111.0	10918.0	10982.0	41800	2010-11-12	LCS
92	10854.0	10918.0	10276.0	10597.0	43300	2010-11-15	LCS
93	10019.0	10019.0	9891.0	9891.0	48500	2010-11-16	LCS
94	9826.0	10276.0	9826.0	9955.0	17500	2010-11-17	LCS
95	10404.0	10597.0	10404.0	10597.0	51900	2010-11-18	LCS
96	10918.0	10918.0	9955.0	10212.0	20100	2010-11-19	LCS
97	9634.0	9826.0	9569.0	9634.0	21300	2010-11-22	LCS
98	9955.0	10212.0	9569.0	10019.0	25700	2010-11-23	LCS
99	10340.0	10661.0	10147.0	10469.0	54300	2010-11-24	LCS
100	10854.0	11175.0	10854.0	11175.0	78600	2010-11-25	LCS
101	11560.0	11946.0	11560.0	11882.0	86400	2010-11-26	LCS
102	11560.0	12652.0	11368.0	12331.0	52500	2010-11-29	LCS
103	12973.0	13166.0	12845.0	13166.0	102800	2010-11-30	LCS
104	13166.0	13294.0	12267.0	12588.0	62600	2010-12-01	LCS
105	12588.0	13294.0	11882.0	12460.0	94200	2010-12-02	LCS
106	13294.0	13294.0	13230.0	13294.0	118200	2010-12-03	LCS
107	14194.0	14194.0	13937.0	14194.0	96800	2010-12-06	LCS
108	14001.0	14450.0	13230.0	13808.0	106500	2010-12-07	LCS
109	13808.0	14129.0	12909.0	13616.0	75400	2010-12-08	LCS
110	12973.0	13872.0	12716.0	13102.0	87300	2010-12-09	LCS
