	Open	High	Low	Close	Volume	TradingDate	Code
0	4839.0	5175.0	3898.0	4785.0	152500	2009-11-05	PHC
1	5108.0	5108.0	4772.0	5001.0	44700	2009-11-06	PHC
2	5350.0	5350.0	4718.0	4906.0	43200	2009-11-09	PHC
3	5175.0	5175.0	4570.0	4880.0	43700	2009-11-10	PHC
4	4880.0	4880.0	4544.0	4597.0	30100	2009-11-11	PHC
5	4288.0	4597.0	4288.0	4302.0	11200	2009-11-12	PHC
6	4006.0	4302.0	4006.0	4060.0	57900	2009-11-13	PHC
7	4288.0	4342.0	4288.0	4342.0	20100	2009-11-16	PHC
8	4436.0	4638.0	4436.0	4557.0	21500	2009-11-17	PHC
9	4597.0	4597.0	4248.0	4315.0	12000	2009-11-18	PHC
10	4046.0	4181.0	4019.0	4046.0	27400	2009-11-19	PHC
11	4167.0	4167.0	3804.0	3939.0	11600	2009-11-20	PHC
12	4207.0	4207.0	3845.0	3912.0	2800	2009-11-23	PHC
13	3831.0	4033.0	3831.0	3952.0	12000	2009-11-24	PHC
14	4033.0	4167.0	3683.0	3804.0	24800	2009-11-25	PHC
15	3629.0	3629.0	3549.0	3562.0	18400	2009-11-26	PHC
16	3320.0	3629.0	3320.0	3441.0	19100	2009-11-27	PHC
17	3629.0	3670.0	3455.0	3643.0	10700	2009-11-30	PHC
18	3697.0	3885.0	3697.0	3858.0	26400	2009-12-01	PHC
19	3898.0	4033.0	3764.0	3925.0	6200	2009-12-02	PHC
20	3656.0	3656.0	3656.0	3656.0	9500	2009-12-03	PHC
21	3831.0	3831.0	3629.0	3737.0	2100	2009-12-04	PHC
22	3764.0	3764.0	3737.0	3750.0	3200	2009-12-07	PHC
23	3831.0	3831.0	3508.0	3589.0	6400	2009-12-08	PHC
24	3428.0	3428.0	3347.0	3361.0	24600	2009-12-09	PHC
25	3334.0	3334.0	3159.0	3213.0	11400	2009-12-10	PHC
26	3092.0	3119.0	2998.0	3051.0	25400	2009-12-11	PHC
27	3199.0	3199.0	3092.0	3146.0	20900	2009-12-14	PHC
28	3146.0	3159.0	3132.0	3159.0	6500	2009-12-15	PHC
29	3159.0	3240.0	3159.0	3172.0	22000	2009-12-16	PHC
30	3092.0	3159.0	3038.0	3092.0	7000	2009-12-17	PHC
31	3293.0	3307.0	3293.0	3293.0	10800	2009-12-18	PHC
32	3293.0	3522.0	3293.0	3482.0	6000	2009-12-21	PHC
33	3522.0	3522.0	3495.0	3508.0	20200	2009-12-22	PHC
34	3347.0	3616.0	3347.0	3495.0	4200	2009-12-23	PHC
35	3508.0	3576.0	3508.0	3549.0	16900	2009-12-24	PHC
36	3549.0	3629.0	3549.0	3603.0	12000	2009-12-25	PHC
37	3629.0	3670.0	3629.0	3670.0	10500	2009-12-28	PHC
38	3670.0	3670.0	3603.0	3656.0	20500	2009-12-29	PHC
39	3670.0	3871.0	3670.0	3710.0	4800	2009-12-30	PHC
40	3764.0	3791.0	3764.0	3764.0	10300	2009-12-31	PHC
41	3831.0	4019.0	3831.0	4006.0	16300	2010-01-04	PHC
42	4275.0	4275.0	4261.0	4275.0	16400	2010-01-05	PHC
43	4167.0	4302.0	4167.0	4275.0	24500	2010-01-06	PHC
44	4275.0	4275.0	4234.0	4248.0	19200	2010-01-07	PHC
45	4261.0	4261.0	3965.0	4221.0	9300	2010-01-08	PHC
46	4167.0	4181.0	4046.0	4154.0	15500	2010-01-11	PHC
47	4302.0	4302.0	4140.0	4167.0	8000	2010-01-12	PHC
48	4033.0	4100.0	3965.0	4060.0	15700	2010-01-13	PHC
49	4100.0	4167.0	4060.0	4100.0	18200	2010-01-14	PHC
50	4100.0	4100.0	4033.0	4086.0	3500	2010-01-15	PHC
51	4033.0	4033.0	3871.0	3912.0	2500	2010-01-18	PHC
52	3912.0	3912.0	3912.0	3912.0	6000	2010-01-19	PHC
53	3898.0	3898.0	3898.0	3898.0	2600	2010-01-20	PHC
54	3898.0	3965.0	3898.0	3898.0	2600	2010-01-21	PHC
55	3831.0	3965.0	3831.0	3898.0	1900	2010-01-22	PHC
56	3898.0	3898.0	3898.0	3898.0	0	2010-01-25	PHC
57	3898.0	3965.0	3898.0	3925.0	1600	2010-01-26	PHC
58	3925.0	3925.0	3925.0	3925.0	0	2010-01-27	PHC
59	3925.0	3925.0	3925.0	3925.0	0	2010-01-28	PHC
60	3898.0	3898.0	3871.0	3898.0	3900	2010-01-29	PHC
61	3898.0	3898.0	3898.0	3898.0	5000	2010-02-01	PHC
62	3898.0	3898.0	3898.0	3898.0	3500	2010-02-02	PHC
63	3898.0	3898.0	3871.0	3898.0	5500	2010-02-03	PHC
64	3898.0	3898.0	3885.0	3898.0	3000	2010-02-04	PHC
65	3992.0	3992.0	3979.0	3979.0	800	2010-02-05	PHC
66	3885.0	3885.0	3885.0	3885.0	300	2010-02-08	PHC
67	3871.0	3871.0	3831.0	3845.0	600	2010-02-09	PHC
68	3844.0	3844.0	3844.0	3844.0	0	2010-02-10	PHC
69	3958.0	3958.0	3958.0	3958.0	100	2010-02-11	PHC
70	4185.0	4185.0	4185.0	4185.0	100	2010-02-12	PHC
71	4256.0	4327.0	4256.0	4284.0	1000	2010-02-22	PHC
72	4114.0	4256.0	4043.0	4085.0	800	2010-02-23	PHC
73	4256.0	4256.0	4256.0	4256.0	100	2010-02-24	PHC
74	4256.0	4256.0	4256.0	4256.0	0	2010-02-25	PHC
75	3972.0	3972.0	3972.0	3972.0	1100	2010-02-26	PHC
76	4227.0	4227.0	4227.0	4227.0	1300	2010-03-01	PHC
77	4185.0	4185.0	3958.0	4015.0	2700	2010-03-02	PHC
78	4185.0	4185.0	4185.0	4185.0	500	2010-03-03	PHC
79	4114.0	4114.0	4114.0	4114.0	200	2010-03-04	PHC
80	4114.0	4114.0	4114.0	4114.0	0	2010-03-05	PHC
81	4171.0	4256.0	4114.0	4199.0	2100	2010-03-08	PHC
82	4043.0	4043.0	4043.0	4043.0	500	2010-03-09	PHC
83	4114.0	4171.0	4043.0	4100.0	2900	2010-03-10	PHC
84	3972.0	4114.0	3972.0	4043.0	5500	2010-03-11	PHC
85	4114.0	4256.0	3972.0	4085.0	8900	2010-03-12	PHC
86	4114.0	4114.0	3972.0	4029.0	11500	2010-03-15	PHC
87	4185.0	4298.0	4043.0	4185.0	21000	2010-03-16	PHC
88	4256.0	4468.0	4185.0	4341.0	8700	2010-03-17	PHC
89	4256.0	4341.0	4114.0	4156.0	20200	2010-03-18	PHC
90	4256.0	4256.0	4043.0	4085.0	10100	2010-03-19	PHC
91	4185.0	4369.0	4114.0	4312.0	245500	2010-03-22	PHC
92	4610.0	4610.0	4610.0	4610.0	68100	2010-03-23	PHC
93	4922.0	4922.0	4922.0	4922.0	41000	2010-03-24	PHC
94	5263.0	5263.0	4823.0	5107.0	177500	2010-03-25	PHC
95	4837.0	4937.0	4752.0	4781.0	88900	2010-03-26	PHC
96	4965.0	5107.0	4681.0	5064.0	118700	2010-03-29	PHC
97	5320.0	5391.0	4752.0	5093.0	73300	2010-03-30	PHC
98	4823.0	5107.0	4752.0	4851.0	94400	2010-03-31	PHC
99	4823.0	5107.0	4525.0	4851.0	55500	2010-04-01	PHC
100	4965.0	4965.0	4823.0	4866.0	35800	2010-04-02	PHC
101	4681.0	4965.0	4681.0	4851.0	25600	2010-04-05	PHC
102	4894.0	4965.0	4724.0	4866.0	69300	2010-04-06	PHC
103	4937.0	5206.0	4937.0	5135.0	82200	2010-04-07	PHC
104	5490.0	5490.0	5476.0	5490.0	119200	2010-04-08	PHC
105	5873.0	5873.0	5433.0	5731.0	33900	2010-04-09	PHC
106	5603.0	5603.0	5334.0	5376.0	42100	2010-04-12	PHC
107	5391.0	5391.0	5050.0	5149.0	40200	2010-04-13	PHC
108	5391.0	5391.0	5107.0	5305.0	111800	2010-04-14	PHC
109	5674.0	5674.0	5391.0	5660.0	139600	2010-04-15	PHC
110	6029.0	6043.0	5887.0	6043.0	331600	2010-04-16	PHC
111	6171.0	6171.0	5646.0	5731.0	200700	2010-04-19	PHC
112	6128.0	6128.0	6100.0	6128.0	93500	2010-04-20	PHC
113	6554.0	6554.0	6525.0	6554.0	73000	2010-04-21	PHC
114	7008.0	7008.0	6100.0	6923.0	301900	2010-04-22	PHC
115	6525.0	6525.0	6440.0	6454.0	75400	2010-04-26	PHC
