	Open	High	Low	Close	Volume	TradingDate	Code
0	5941.0	5970.0	5202.0	5851.0	15500	2006-12-27	PLC
1	6571.0	6146.0	5736.0	5851.0	12200	2006-12-28	PLC
2	6571.0	6761.0	6147.0	6427.0	21200	2006-12-29	PLC
3	6301.0	6525.0	6257.0	6427.0	22500	2007-01-02	PLC
4	6661.0	6796.0	6391.0	6454.0	26300	2007-01-03	PLC
5	6301.0	6808.0	6578.0	6661.0	17100	2007-01-04	PLC
6	6571.0	6841.0	6661.0	6751.0	9600	2007-01-05	PLC
7	6571.0	6751.0	6481.0	6544.0	4600	2007-01-08	PLC
8	6301.0	6716.0	6579.0	6616.0	17500	2007-01-09	PLC
9	6391.0	6724.0	6589.0	6661.0	6300	2007-01-10	PLC
10	6571.0	6841.0	6687.0	6751.0	17700	2007-01-11	PLC
11	6661.0	7372.0	6796.0	7192.0	21000	2007-01-12	PLC
12	7471.0	7604.0	7275.0	7561.0	21000	2007-01-15	PLC
13	8461.0	8098.0	7170.0	7651.0	12400	2007-01-16	PLC
14	7651.0	7784.0	7507.0	7561.0	2600	2007-01-17	PLC
15	7201.0	7332.0	6825.0	7201.0	3700	2007-01-18	PLC
16	7201.0	7206.0	6862.0	7021.0	4900	2007-01-19	PLC
17	7561.0	7776.0	6665.0	7021.0	3900	2007-01-22	PLC
18	6841.0	7141.0	6641.0	6796.0	8200	2007-01-23	PLC
19	6931.0	7058.0	6651.0	6751.0	10500	2007-01-24	PLC
20	6751.0	6868.0	6778.0	6841.0	11000	2007-01-25	PLC
21	6841.0	7154.0	6850.0	6895.0	7100	2007-01-26	PLC
22	7111.0	7273.0	7183.0	7210.0	11300	2007-01-29	PLC
23	7651.0	7612.0	7347.0	7471.0	18700	2007-01-30	PLC
24	7111.0	8148.0	7243.0	7741.0	11100	2007-01-31	PLC
25	8011.0	8200.0	7546.0	7921.0	9500	2007-02-01	PLC
26	8011.0	8327.0	8100.0	8191.0	11500	2007-02-02	PLC
27	8911.0	8926.0	7894.0	7966.0	4900	2007-02-05	PLC
28	7831.0	7976.0	7731.0	7876.0	8400	2007-02-06	PLC
29	7021.0	7877.0	7194.0	7786.0	38100	2007-02-07	PLC
30	7651.0	7714.0	7364.0	7651.0	3800	2007-02-08	PLC
31	7381.0	7615.0	7462.0	7471.0	2400	2007-02-09	PLC
32	7471.0	7741.0	7561.0	7651.0	3800	2007-02-12	PLC
33	7741.0	7858.0	7686.0	7768.0	18900	2007-02-13	PLC
34	7741.0	7876.0	7741.0	7822.0	7300	2007-02-14	PLC
35	7831.0	7921.0	7867.0	7912.0	1700	2007-02-15	PLC
36	8011.0	8809.0	8207.0	8371.0	9400	2007-02-26	PLC
37	8821.0	8873.0	8344.0	8461.0	11700	2007-02-27	PLC
38	8461.0	8360.0	8096.0	8281.0	19200	2007-02-28	PLC
39	8371.0	8441.0	8130.0	8326.0	10000	2007-03-01	PLC
40	8371.0	8353.0	8308.0	8326.0	3400	2007-03-02	PLC
41	8371.0	8488.0	8217.0	8416.0	16000	2007-03-05	PLC
42	8371.0	7786.0	6926.0	7606.0	17000	2007-03-06	PLC
