	Open	High	Low	Close	Volume	TradingDate	Code
0	17146.0	17146.0	15432.0	15432.0	5100	2006-12-25	PTC
1	13889.0	14444.0	13889.0	14444.0	7200	2006-12-26	PTC
2	17043.0	17043.0	15555.0	15555.0	5000	2006-12-27	PTC
3	16232.0	17077.0	16232.0	15555.0	9700	2006-12-28	PTC
4	15747.0	15747.0	14487.0	15432.0	11500	2006-12-29	PTC
5	14487.0	14959.0	14172.0	15432.0	3700	2007-01-02	PTC
6	14415.0	14732.0	14257.0	14352.0	9300	2007-01-03	PTC
7	13889.0	13889.0	13271.0	13889.0	33700	2007-01-04	PTC
8	13889.0	14321.0	13734.0	14321.0	15500	2007-01-05	PTC
9	14412.0	14877.0	14319.0	14815.0	10600	2007-01-08	PTC
10	15896.0	15896.0	15185.0	15185.0	8300	2007-01-09	PTC
11	15279.0	15279.0	15123.0	15123.0	2300	2007-01-10	PTC
12	15061.0	15279.0	14811.0	15123.0	14300	2007-01-11	PTC
13	15125.0	15125.0	14813.0	14969.0	19800	2007-01-12	PTC
14	14972.0	15130.0	14657.0	14815.0	25900	2007-01-15	PTC
15	14568.0	14568.0	14258.0	14537.0	3000	2007-01-16	PTC
16	14506.0	14815.0	14321.0	14815.0	7800	2007-01-17	PTC
17	14815.0	14970.0	14690.0	14815.0	7600	2007-01-18	PTC
18	14998.0	15572.0	14998.0	15061.0	10300	2007-01-19	PTC
19	14679.0	15157.0	14679.0	15061.0	6100	2007-01-22	PTC
20	14321.0	14321.0	14259.0	14259.0	2700	2007-01-23	PTC
21	13580.0	14197.0	13580.0	14197.0	6500	2007-01-24	PTC
22	15025.0	16040.0	14730.0	15123.0	17000	2007-01-25	PTC
23	14660.0	14975.0	14660.0	14660.0	9000	2007-01-26	PTC
24	14599.0	14948.0	14251.0	14568.0	5800	2007-01-29	PTC
25	15648.0	15648.0	15432.0	15648.0	41100	2007-01-30	PTC
26	17191.0	17191.0	16358.0	17191.0	15200	2007-01-31	PTC
27	18858.0	18858.0	18858.0	18858.0	22800	2007-02-01	PTC
28	20740.0	20740.0	20740.0	20740.0	24400	2007-02-02	PTC
29	22808.0	22808.0	22808.0	22808.0	58500	2007-02-05	PTC
30	26776.0	26776.0	24072.0	25061.0	72000	2007-02-06	PTC
31	24099.0	24420.0	22557.0	23456.0	19500	2007-02-07	PTC
32	23221.0	23221.0	21586.0	21913.0	12200	2007-02-08	PTC
33	20659.0	22299.0	20659.0	20987.0	31300	2007-02-09	PTC
34	20061.0	20987.0	19444.0	20987.0	14100	2007-02-12	PTC
35	21790.0	21790.0	20370.0	21790.0	9700	2007-02-13	PTC
36	23236.0	23890.0	22426.0	23672.0	31500	2007-02-14	PTC
37	24374.0	25324.0	24279.0	24691.0	27500	2007-02-15	PTC
38	26481.0	26481.0	26234.0	26481.0	13200	2007-02-26	PTC
39	29104.0	29104.0	29104.0	29104.0	12300	2007-02-27	PTC
40	31770.0	34937.0	31500.0	32006.0	41800	2007-02-28	PTC
41	36199.0	36199.0	31028.0	32407.0	28700	2007-03-01	PTC
42	30338.0	32752.0	29993.0	32407.0	33600	2007-03-02	PTC
43	27777.0	30246.0	27777.0	30246.0	22900	2007-03-05	PTC
44	30864.0	32499.0	30555.0	32499.0	41000	2007-03-06	PTC
45	41778.0	41927.0	34691.0	34691.0	24900	2007-03-07	PTC
46	32681.0	32880.0	30555.0	30555.0	15900	2007-03-08	PTC
47	31789.0	32743.0	30836.0	31789.0	40400	2007-03-09	PTC
48	34689.0	34784.0	30551.0	33734.0	55300	2007-03-12	PTC
49	34247.0	35847.0	33927.0	34567.0	42900	2007-03-13	PTC
50	37128.0	37128.0	32007.0	34567.0	41000	2007-03-14	PTC
51	30370.0	30370.0	30370.0	30370.0	9600	2007-03-15	PTC
52	29320.0	33394.0	28394.0	33394.0	17200	2007-03-16	PTC
53	34567.0	35339.0	34567.0	35339.0	36100	2007-03-19	PTC
54	39682.0	39682.0	35714.0	37036.0	29500	2007-03-20	PTC
55	37128.0	38454.0	34807.0	35802.0	26900	2007-03-21	PTC
56	36621.0	38402.0	34605.0	35277.0	25400	2007-03-22	PTC
57	32679.0	35293.0	32679.0	33333.0	15400	2007-03-23	PTC
58	32614.0	33333.0	31274.0	33333.0	12300	2007-03-26	PTC
59	30392.0	30392.0	28888.0	33333.0	7500	2007-03-27	PTC
60	24999.0	30462.0	24999.0	30462.0	26700	2007-03-28	PTC
61	28981.0	28981.0	28981.0	28981.0	16200	2007-03-29	PTC
62	31759.0	31759.0	26543.0	28981.0	22800	2007-03-30	PTC
63	31027.0	31497.0	28981.0	28981.0	11000	2007-04-02	PTC
64	29354.0	30193.0	27341.0	27777.0	22800	2007-04-03	PTC
65	27000.0	27785.0	26749.0	27314.0	17800	2007-04-04	PTC
66	28527.0	29342.0	27712.0	27777.0	15400	2007-04-05	PTC
