	Open	High	Low	Close	Volume	TradingDate	Code
0	4770.0	4862.0	4770.0	4807.0	3000	2006-12-22	S55
1	4770.0	4862.0	4862.0	4807.0	0	2006-12-25	S55
2	4770.0	4862.0	4862.0	4807.0	0	2006-12-26	S55
3	4770.0	4862.0	4862.0	4807.0	0	2006-12-27	S55
4	4770.0	4862.0	4862.0	4807.0	0	2006-12-28	S55
5	4770.0	4862.0	4862.0	4807.0	0	2006-12-29	S55
6	4770.0	4862.0	4862.0	4807.0	0	2007-01-02	S55
7	4770.0	4862.0	4862.0	4807.0	0	2007-01-03	S55
8	4770.0	4862.0	4862.0	4807.0	0	2007-01-04	S55
9	4770.0	4862.0	4862.0	4807.0	0	2007-01-05	S55
10	4770.0	4862.0	4862.0	4807.0	0	2007-01-08	S55
11	4770.0	4862.0	4862.0	4807.0	0	2007-01-09	S55
12	4770.0	4862.0	4862.0	4807.0	0	2007-01-10	S55
13	4770.0	4862.0	4862.0	4807.0	0	2007-01-11	S55
14	4770.0	4862.0	4862.0	4807.0	0	2007-01-12	S55
15	4770.0	4862.0	4862.0	4807.0	0	2007-01-15	S55
16	4770.0	4862.0	4862.0	4807.0	0	2007-01-16	S55
17	4770.0	4862.0	4862.0	4807.0	0	2007-01-17	S55
18	4770.0	4862.0	4862.0	4807.0	0	2007-01-18	S55
19	4770.0	4862.0	4862.0	4807.0	0	2007-01-19	S55
20	4770.0	4807.0	4807.0	4807.0	100	2007-01-22	S55
21	4770.0	4899.0	4899.0	4807.0	0	2007-01-23	S55
22	4770.0	4899.0	4899.0	4807.0	0	2007-01-24	S55
23	4770.0	4899.0	4899.0	4807.0	0	2007-01-25	S55
24	4770.0	4899.0	4899.0	4807.0	0	2007-01-26	S55
25	4770.0	4899.0	4899.0	4807.0	0	2007-01-29	S55
26	4770.0	4899.0	4899.0	4807.0	0	2007-01-30	S55
27	5137.0	5266.0	5247.0	5247.0	5400	2007-01-31	S55
28	5137.0	5266.0	5266.0	5247.0	0	2007-02-01	S55
29	5137.0	5266.0	5266.0	5247.0	0	2007-02-02	S55
30	5137.0	5266.0	5266.0	5247.0	0	2007-02-05	S55
31	5688.0	5743.0	5743.0	5743.0	100	2007-02-06	S55
32	6311.0	6311.0	6311.0	6311.0	100	2007-02-07	S55
33	6788.0	6935.0	6935.0	6935.0	100	2007-02-08	S55
34	7522.0	7614.0	7614.0	7614.0	1100	2007-02-09	S55
35	8256.0	8366.0	8366.0	8366.0	100	2007-02-12	S55
36	8990.0	9192.0	9192.0	9192.0	100	2007-02-13	S55
37	9907.0	10109.0	10109.0	10109.0	100	2007-02-14	S55
38	11118.0	11118.0	11118.0	11118.0	600	2007-02-15	S55
39	11926.0	12219.0	12219.0	12219.0	2200	2007-02-26	S55
40	13210.0	13430.0	13430.0	13430.0	100	2007-02-27	S55
41	13210.0	13430.0	13430.0	13430.0	0	2007-02-28	S55
42	14494.0	14769.0	14769.0	14769.0	4900	2007-03-01	S55
43	15962.0	14769.0	14769.0	14769.0	100	2007-03-02	S55
44	17613.0	17852.0	17852.0	17852.0	100	2007-03-05	S55
45	19264.0	19631.0	19631.0	19631.0	4900	2007-03-06	S55
46	21282.0	21594.0	21594.0	21594.0	3900	2007-03-07	S55
47	23301.0	23741.0	23741.0	23741.0	8200	2007-03-08	S55
48	25686.0	24877.0	20804.0	23741.0	3100	2007-03-09	S55
49	24401.0	24780.0	23356.0	23484.0	1500	2007-03-12	S55
50	21649.0	21869.0	21687.0	21833.0	3200	2007-03-13	S55
51	21649.0	21687.0	21687.0	21833.0	0	2007-03-14	S55
52	21466.0	20996.0	19038.0	19796.0	800	2007-03-15	S55
53	18347.0	22468.0	20225.0	20585.0	2600	2007-03-16	S55
54	20182.0	22290.0	20278.0	20732.0	3700	2007-03-19	S55
55	21282.0	21209.0	21209.0	21209.0	2600	2007-03-20	S55
56	22934.0	22842.0	22842.0	22842.0	400	2007-03-21	S55
57	22934.0	22842.0	22842.0	22842.0	0	2007-03-22	S55
58	20567.0	20567.0	20567.0	20567.0	1000	2007-03-23	S55
59	20567.0	20567.0	20567.0	20567.0	0	2007-03-26	S55
60	18530.0	21126.0	19449.0	20567.0	600	2007-03-27	S55
61	17631.0	17631.0	17631.0	17631.0	100	2007-03-28	S55
62	19264.0	19264.0	19264.0	19264.0	100	2007-03-29	S55
63	19264.0	19264.0	19264.0	19264.0	0	2007-03-30	S55
64	20182.0	20182.0	20182.0	20182.0	200	2007-04-02	S55
65	19264.0	19450.0	18894.0	19264.0	600	2007-04-03	S55
66	19081.0	19450.0	19450.0	19264.0	0	2007-04-04	S55
67	19264.0	19264.0	19264.0	19264.0	200	2007-04-05	S55
68	18714.0	18714.0	18714.0	18714.0	600	2007-04-06	S55
69	18714.0	18714.0	18714.0	18714.0	0	2007-04-09	S55
70	18714.0	18714.0	18714.0	18714.0	0	2007-04-10	S55
71	18714.0	18714.0	18714.0	18714.0	300	2007-04-11	S55
72	18897.0	18574.0	16554.0	16842.0	700	2007-04-12	S55
73	15411.0	15430.0	15430.0	15430.0	100	2007-04-13	S55
74	15411.0	15430.0	15430.0	15430.0	0	2007-04-16	S55
75	15411.0	15430.0	15430.0	15430.0	0	2007-04-17	S55
76	14678.0	14601.0	13871.0	13944.0	1100	2007-04-18	S55
77	14678.0	14678.0	14678.0	14678.0	300	2007-04-19	S55
78	14457.0	14457.0	14457.0	14457.0	200	2007-04-20	S55
79	14457.0	14457.0	14457.0	14457.0	0	2007-04-23	S55
80	14457.0	14457.0	14457.0	14457.0	0	2007-04-24	S55
81	14457.0	14457.0	14457.0	14457.0	0	2007-04-25	S55
82	14457.0	14457.0	14457.0	14457.0	0	2007-05-02	S55
83	14457.0	14457.0	14457.0	14457.0	0	2007-05-03	S55
84	13577.0	13577.0	13577.0	13577.0	200	2007-05-04	S55
85	14311.0	14311.0	14311.0	14311.0	500	2007-05-07	S55
86	13577.0	13577.0	13577.0	13577.0	200	2007-05-08	S55
87	13760.0	13686.0	13504.0	13577.0	1900	2007-05-09	S55
88	13577.0	13504.0	13504.0	13577.0	0	2007-05-10	S55
89	13577.0	13504.0	13504.0	13577.0	0	2007-05-11	S55
90	13577.0	13504.0	13504.0	13577.0	0	2007-05-14	S55
91	12292.0	12292.0	12292.0	12292.0	500	2007-05-15	S55
92	11742.0	11693.0	10847.0	11063.0	2700	2007-05-16	S55
93	10825.0	10843.0	10825.0	10825.0	1400	2007-05-17	S55
94	11742.0	12018.0	11852.0	11907.0	300	2007-05-18	S55
95	13026.0	12971.0	12971.0	12971.0	100	2007-05-21	S55
96	14311.0	14256.0	14256.0	14256.0	5200	2007-05-22	S55
97	15668.0	15668.0	15668.0	15668.0	1500	2007-05-23	S55
98	14311.0	14678.0	14311.0	14421.0	1400	2007-05-24	S55
99	13944.0	16285.0	14325.0	15852.0	4000	2007-05-25	S55
100	16879.0	16332.0	14884.0	15466.0	7200	2007-05-28	S55
101	15228.0	15852.0	15299.0	15778.0	1700	2007-05-29	S55
102	15595.0	15093.0	14468.0	14861.0	2900	2007-05-30	S55
103	14861.0	15936.0	15018.0	15411.0	2600	2007-05-31	S55
104	15228.0	15228.0	15228.0	15228.0	700	2007-06-01	S55
105	16145.0	15765.0	14851.0	15210.0	500	2007-06-04	S55
106	14311.0	14329.0	14311.0	14311.0	1000	2007-06-05	S55
107	15595.0	15595.0	15595.0	15595.0	100	2007-06-06	S55
108	15778.0	15190.0	14133.0	14714.0	1300	2007-06-07	S55
109	15595.0	15704.0	15449.0	15595.0	700	2007-06-08	S55
110	14678.0	14678.0	14678.0	14678.0	500	2007-06-11	S55
111	15228.0	15467.0	15338.0	15411.0	2000	2007-06-12	S55
112	15595.0	15540.0	15283.0	15411.0	4500	2007-06-13	S55
113	15411.0	15301.0	15173.0	15246.0	800	2007-06-14	S55
114	15411.0	15320.0	15320.0	15320.0	500	2007-06-15	S55
115	15595.0	15337.0	15067.0	15301.0	1800	2007-06-18	S55
116	15595.0	15067.0	15067.0	15301.0	0	2007-06-19	S55
117	15228.0	15597.0	15226.0	15411.0	2200	2007-06-20	S55
118	15044.0	14746.0	14225.0	14512.0	3400	2007-06-21	S55
119	14494.0	14770.0	14585.0	14659.0	2600	2007-06-22	S55
120	14311.0	14568.0	14383.0	14494.0	700	2007-06-25	S55
121	14421.0	14568.0	14568.0	14494.0	0	2007-06-26	S55
122	13980.0	13944.0	13944.0	13980.0	400	2007-06-27	S55
