	Open	High	Low	Close	Volume	TradingDate	Code
0	47967.0	47967.0	44769.0	47967.0	948210	2018-04-26	FRT
1	51325.0	51325.0	49086.0	51325.0	2520730	2018-04-27	FRT
2	53723.0	53723.0	53243.0	53723.0	657340	2018-05-02	FRT
3	49982.0	53563.0	49982.0	50206.0	261780	2018-05-03	FRT
4	47008.0	49246.0	47008.0	47647.0	57020	2018-05-04	FRT
5	49502.0	49502.0	44833.0	48607.0	67180	2018-05-07	FRT
6	49566.0	49566.0	47647.0	47967.0	59090	2018-05-08	FRT
7	47967.0	49086.0	47647.0	48735.0	96890	2018-05-09	FRT
8	49246.0	49502.0	48767.0	49502.0	89910	2018-05-10	FRT
9	49886.0	50046.0	48958.0	48958.0	23700	2018-05-11	FRT
10	48958.0	51005.0	48127.0	48127.0	40720	2018-05-14	FRT
11	49566.0	51133.0	48287.0	50206.0	82190	2018-05-15	FRT
12	51165.0	51165.0	50206.0	50206.0	113000	2018-05-16	FRT
13	51165.0	51165.0	50525.0	51005.0	40650	2018-05-17	FRT
14	51005.0	51165.0	50589.0	51005.0	35230	2018-05-18	FRT
15	51133.0	51133.0	49886.0	49918.0	58530	2018-05-21	FRT
16	51165.0	52124.0	49918.0	49918.0	188830	2018-05-22	FRT
17	49406.0	51165.0	49406.0	50206.0	148490	2018-05-23	FRT
18	53714.0	53714.0	50560.0	50887.0	186210	2018-05-24	FRT
19	50887.0	51158.0	50887.0	50887.0	185010	2018-05-25	FRT
20	50887.0	50887.0	49201.0	49636.0	31840	2018-05-28	FRT
21	50017.0	50017.0	47298.0	49473.0	48230	2018-05-29	FRT
22	49473.0	49473.0	47298.0	47298.0	89010	2018-05-30	FRT
23	47298.0	49201.0	47298.0	49147.0	30530	2018-05-31	FRT
24	49147.0	49147.0	48658.0	49092.0	37140	2018-06-01	FRT
25	49092.0	49092.0	48114.0	48386.0	36140	2018-06-04	FRT
26	48386.0	48929.0	48386.0	48440.0	41780	2018-06-05	FRT
27	48440.0	48549.0	48386.0	48549.0	14560	2018-06-06	FRT
28	48929.0	49473.0	48549.0	48929.0	120650	2018-06-07	FRT
29	48929.0	48929.0	48386.0	48875.0	31310	2018-06-08	FRT
30	48929.0	48929.0	48821.0	48929.0	43460	2018-06-11	FRT
31	48984.0	48984.0	47842.0	48386.0	31120	2018-06-12	FRT
32	48114.0	49310.0	48114.0	48929.0	92830	2018-06-13	FRT
33	49473.0	49473.0	47298.0	47298.0	18400	2018-06-14	FRT
34	48386.0	48386.0	47353.0	47353.0	1690	2018-06-15	FRT
35	47190.0	47353.0	44634.0	47353.0	10520	2018-06-18	FRT
36	46755.0	46755.0	44091.0	44091.0	59070	2018-06-19	FRT
37	41046.0	44852.0	41046.0	44852.0	44480	2018-06-20	FRT
38	45396.0	45396.0	43438.0	43493.0	65370	2018-06-21	FRT
39	40503.0	44036.0	40503.0	42949.0	20150	2018-06-22	FRT
40	42405.0	43928.0	42134.0	43058.0	51350	2018-06-25	FRT
41	43438.0	43438.0	40774.0	42949.0	27380	2018-06-26	FRT
42	42405.0	44036.0	42405.0	43765.0	88550	2018-06-27	FRT
43	43765.0	45124.0	43493.0	43765.0	109760	2018-06-28	FRT
44	43765.0	45124.0	43221.0	44036.0	54370	2018-06-29	FRT
45	44308.0	44308.0	41318.0	42405.0	10350	2018-07-02	FRT
46	43493.0	43493.0	42134.0	42405.0	16480	2018-07-03	FRT
47	39470.0	42405.0	39470.0	42405.0	23410	2018-07-04	FRT
48	40774.0	41862.0	40231.0	40231.0	680	2018-07-05	FRT
49	39144.0	39144.0	38056.0	39144.0	7600	2018-07-06	FRT
50	36480.0	39687.0	36480.0	37513.0	1500	2018-07-09	FRT
51	38600.0	38600.0	38491.0	38600.0	62420	2018-07-10	FRT
52	38872.0	39687.0	38600.0	39687.0	44430	2018-07-11	FRT
53	39144.0	40122.0	39144.0	39687.0	21480	2018-07-12	FRT
54	40231.0	42405.0	39687.0	42405.0	13610	2018-07-13	FRT
55	42460.0	42460.0	40774.0	42405.0	940	2018-07-16	FRT
56	40774.0	40774.0	40774.0	40774.0	750	2018-07-17	FRT
57	38111.0	41862.0	38111.0	41862.0	7960	2018-07-18	FRT
58	41862.0	42840.0	39144.0	39144.0	23540	2018-07-19	FRT
59	39415.0	40231.0	39415.0	40231.0	10370	2018-07-20	FRT
60	40231.0	40774.0	40231.0	40231.0	14610	2018-07-23	FRT
61	39578.0	39959.0	39578.0	39959.0	4080	2018-07-24	FRT
62	39959.0	40231.0	39959.0	39959.0	5600	2018-07-25	FRT
63	40231.0	40231.0	39687.0	40231.0	9830	2018-07-26	FRT
64	38056.0	42405.0	38056.0	40176.0	25420	2018-07-27	FRT
65	40176.0	42405.0	40176.0	40774.0	25240	2018-07-30	FRT
66	38111.0	40774.0	38111.0	40666.0	15950	2018-07-31	FRT
67	39687.0	40666.0	39144.0	39687.0	2430	2018-08-01	FRT
68	40231.0	40231.0	39144.0	39144.0	1420	2018-08-02	FRT
69	39633.0	39633.0	38491.0	38491.0	5000	2018-08-03	FRT
70	38219.0	38600.0	35936.0	38600.0	37050	2018-08-06	FRT
71	37513.0	40122.0	36969.0	38600.0	23730	2018-08-07	FRT
72	36969.0	39144.0	36969.0	39144.0	7530	2018-08-08	FRT
73	38926.0	39144.0	38926.0	39144.0	15530	2018-08-09	FRT
74	38600.0	39144.0	38600.0	39144.0	860	2018-08-10	FRT
75	39144.0	39361.0	39144.0	39198.0	8960	2018-08-13	FRT
76	39144.0	39252.0	39144.0	39198.0	4290	2018-08-14	FRT
77	41807.0	41807.0	39687.0	40231.0	18660	2018-08-15	FRT
78	40774.0	41318.0	39742.0	40231.0	6470	2018-08-16	FRT
79	38165.0	40231.0	38165.0	40231.0	9180	2018-08-17	FRT
80	38709.0	40013.0	38709.0	40013.0	260	2018-08-20	FRT
81	40013.0	41318.0	38600.0	41318.0	28170	2018-08-21	FRT
82	40231.0	41862.0	39144.0	41862.0	17480	2018-08-22	FRT
83	41862.0	41862.0	39687.0	41862.0	27060	2018-08-23	FRT
84	40231.0	41590.0	40231.0	40231.0	4430	2018-08-24	FRT
85	40774.0	40774.0	40557.0	40611.0	21140	2018-08-27	FRT
86	40611.0	40774.0	40231.0	40774.0	24020	2018-08-28	FRT
87	43493.0	43493.0	40611.0	41264.0	23490	2018-08-29	FRT
88	41264.0	41318.0	40231.0	41318.0	47390	2018-08-30	FRT
89	41318.0	41536.0	40503.0	41536.0	8680	2018-08-31	FRT
90	41318.0	41536.0	40774.0	41536.0	5360	2018-09-04	FRT
91	41536.0	41536.0	40829.0	41536.0	9090	2018-09-05	FRT
92	41318.0	41318.0	40774.0	41318.0	21550	2018-09-06	FRT
93	41318.0	41318.0	40503.0	41264.0	15540	2018-09-07	FRT
94	40774.0	40774.0	39687.0	40231.0	4200	2018-09-10	FRT
95	40231.0	40774.0	40231.0	40774.0	27520	2018-09-11	FRT
96	39742.0	40231.0	39742.0	40231.0	320	2018-09-12	FRT
97	40774.0	41046.0	40503.0	40774.0	19000	2018-09-13	FRT
98	41046.0	41046.0	40774.0	40774.0	5580	2018-09-14	FRT
99	40774.0	40774.0	40774.0	40774.0	10	2018-09-17	FRT
100	40774.0	40774.0	39742.0	40557.0	14040	2018-09-18	FRT
101	39198.0	41046.0	39198.0	40503.0	9430	2018-09-19	FRT
102	40448.0	40774.0	40448.0	40557.0	4770	2018-09-20	FRT
103	40720.0	40992.0	40557.0	40774.0	22400	2018-09-21	FRT
104	40774.0	40829.0	40774.0	40774.0	13710	2018-09-24	FRT
105	40992.0	41373.0	40720.0	41264.0	5320	2018-09-25	FRT
106	41264.0	41264.0	40774.0	40774.0	430	2018-09-26	FRT
107	41264.0	41264.0	40503.0	40503.0	1740	2018-09-27	FRT
108	40774.0	41481.0	40774.0	41373.0	39560	2018-09-28	FRT
109	42351.0	42351.0	40774.0	41318.0	7800	2018-10-01	FRT
110	41318.0	41318.0	40503.0	41264.0	5920	2018-10-02	FRT
111	40774.0	41046.0	40503.0	41046.0	32660	2018-10-03	FRT
112	40774.0	42351.0	40774.0	41318.0	19150	2018-10-04	FRT
113	41318.0	41318.0	40231.0	40231.0	7160	2018-10-05	FRT
114	41427.0	41427.0	40285.0	40285.0	630	2018-10-08	FRT
115	40231.0	40774.0	40231.0	40774.0	6540	2018-10-09	FRT
116	41209.0	41209.0	38437.0	41101.0	9980	2018-10-10	FRT
117	41264.0	41264.0	38654.0	39687.0	11320	2018-10-11	FRT
118	38600.0	40231.0	38600.0	40231.0	2920	2018-10-12	FRT
119	39144.0	39252.0	38980.0	38980.0	2940	2018-10-15	FRT
120	39035.0	40068.0	38872.0	39959.0	16370	2018-10-16	FRT
121	41318.0	41318.0	39687.0	39850.0	31600	2018-10-17	FRT
122	39415.0	39415.0	39415.0	39415.0	1700	2018-10-18	FRT
123	39415.0	39687.0	39415.0	39687.0	4710	2018-10-19	FRT
124	39687.0	40666.0	39687.0	40231.0	20620	2018-10-22	FRT
125	40231.0	40666.0	38491.0	40231.0	1910	2018-10-23	FRT
126	40231.0	40231.0	40231.0	40231.0	6900	2018-10-24	FRT
127	38926.0	39687.0	38600.0	39687.0	1360	2018-10-25	FRT
128	39687.0	39687.0	39633.0	39633.0	130	2018-10-26	FRT
129	39687.0	39687.0	37567.0	38219.0	11590	2018-10-29	FRT
130	37839.0	39089.0	35610.0	36969.0	30850	2018-10-30	FRT
131	35773.0	39524.0	35773.0	39524.0	33170	2018-10-31	FRT
132	38382.0	40013.0	38382.0	40013.0	2950	2018-11-01	FRT
133	39796.0	39796.0	38111.0	38600.0	1970	2018-11-02	FRT
134	38600.0	38600.0	38600.0	38600.0	730	2018-11-05	FRT
135	38600.0	39144.0	38600.0	38980.0	11200	2018-11-06	FRT
136	39035.0	39035.0	38600.0	38654.0	30990	2018-11-07	FRT
137	38600.0	39578.0	38600.0	39415.0	3790	2018-11-08	FRT
138	38600.0	39361.0	37078.0	38600.0	4830	2018-11-09	FRT
139	39035.0	39035.0	37513.0	38817.0	8770	2018-11-12	FRT
140	38056.0	38600.0	38056.0	38600.0	19010	2018-11-13	FRT
141	39198.0	39198.0	37078.0	37078.0	18230	2018-11-14	FRT
142	36480.0	38002.0	36480.0	37947.0	20250	2018-11-15	FRT
143	38817.0	39144.0	38817.0	39144.0	1000	2018-11-16	FRT
144	38056.0	38600.0	38056.0	38600.0	18530	2018-11-19	FRT
145	38002.0	38056.0	37621.0	38056.0	9690	2018-11-20	FRT
146	38056.0	38056.0	38056.0	38056.0	30	2018-11-21	FRT
147	38056.0	38600.0	36915.0	38328.0	10340	2018-11-22	FRT
148	37404.0	37404.0	37404.0	37404.0	10	2018-11-23	FRT
149	38056.0	38056.0	37404.0	38056.0	6050	2018-11-26	FRT
150	37784.0	38056.0	37458.0	38056.0	17890	2018-11-27	FRT
151	39035.0	39198.0	37513.0	39198.0	55370	2018-11-28	FRT
152	39633.0	39633.0	39198.0	39415.0	18120	2018-11-29	FRT
153	39687.0	39687.0	38600.0	39687.0	86220	2018-11-30	FRT
154	41318.0	41318.0	39687.0	41046.0	36380	2018-12-03	FRT
155	40774.0	41046.0	40231.0	41046.0	25450	2018-12-04	FRT
156	40231.0	41046.0	40231.0	40774.0	39510	2018-12-05	FRT
157	40231.0	40992.0	40231.0	40992.0	15320	2018-12-06	FRT
158	40774.0	41046.0	40774.0	41046.0	22400	2018-12-07	FRT
159	41046.0	41046.0	38219.0	40992.0	130	2018-12-10	FRT
160	38328.0	40774.0	38328.0	40774.0	14890	2018-12-11	FRT
161	40720.0	40774.0	40666.0	40774.0	62170	2018-12-12	FRT
162	40774.0	40774.0	40774.0	40774.0	26270	2018-12-13	FRT
163	40611.0	40774.0	40231.0	40774.0	15090	2018-12-14	FRT
164	40774.0	40774.0	39144.0	40774.0	23970	2018-12-17	FRT
165	40774.0	40774.0	38926.0	40720.0	24190	2018-12-18	FRT
166	39144.0	40503.0	39144.0	40503.0	34790	2018-12-19	FRT
167	37676.0	40231.0	37676.0	40231.0	92690	2018-12-20	FRT
168	40231.0	40231.0	40013.0	40122.0	14310	2018-12-21	FRT
169	40122.0	40231.0	39687.0	40231.0	35760	2018-12-24	FRT
170	40231.0	40231.0	38600.0	40068.0	55860	2018-12-25	FRT
171	40176.0	40231.0	38926.0	40231.0	56310	2018-12-26	FRT
172	40503.0	41046.0	40231.0	41046.0	131750	2018-12-27	FRT
173	41046.0	41046.0	39089.0	39089.0	38810	2018-12-28	FRT
174	40774.0	40774.0	36969.0	38926.0	590	2019-01-02	FRT
175	40231.0	40231.0	38437.0	38437.0	3810	2019-01-03	FRT
176	37730.0	40176.0	37513.0	38600.0	2590	2019-01-04	FRT
177	37513.0	38056.0	37513.0	38056.0	8280	2019-01-07	FRT
178	38056.0	39415.0	37567.0	38980.0	2430	2019-01-08	FRT
179	40774.0	40774.0	38219.0	38219.0	64920	2019-01-09	FRT
180	38545.0	38545.0	38056.0	38219.0	1320	2019-01-10	FRT
181	35882.0	39144.0	35882.0	38056.0	30	2019-01-11	FRT
182	39850.0	39850.0	38111.0	38545.0	1540	2019-01-14	FRT
183	36480.0	38545.0	36480.0	38545.0	1080	2019-01-15	FRT
184	37676.0	39633.0	37676.0	38002.0	4060	2019-01-16	FRT
185	35882.0	38056.0	35882.0	38056.0	30	2019-01-17	FRT
186	37513.0	39144.0	37513.0	37513.0	2040	2019-01-18	FRT
187	39089.0	39089.0	35882.0	37676.0	2680	2019-01-21	FRT
188	37513.0	37513.0	36806.0	37513.0	100	2019-01-22	FRT
189	37513.0	39144.0	36969.0	37513.0	3780	2019-01-23	FRT
190	37295.0	38817.0	37295.0	37513.0	1000	2019-01-24	FRT
191	37349.0	37513.0	37349.0	37513.0	570	2019-01-25	FRT
192	37404.0	37784.0	37241.0	37513.0	1320	2019-01-28	FRT
