	Open	High	Low	Close	Volume	TradingDate	Code
0	39582.0	39582.0	35150.0	37366.0	4820970	2017-04-21	PLX
1	37366.0	37824.0	36678.0	36984.0	1757390	2017-04-24	PLX
2	36755.0	36984.0	34424.0	34500.0	2533550	2017-04-25	PLX
3	32934.0	34004.0	32934.0	33698.0	1743790	2017-04-26	PLX
4	33698.0	35074.0	33698.0	35074.0	825430	2017-04-27	PLX
5	35226.0	35914.0	35226.0	35647.0	781910	2017-04-28	PLX
6	35647.0	35761.0	35150.0	35723.0	521490	2017-05-03	PLX
7	35723.0	36296.0	35685.0	36296.0	2947740	2017-05-04	PLX
8	35990.0	36296.0	35914.0	35990.0	1274310	2017-05-05	PLX
9	35914.0	36296.0	35608.0	36296.0	1414880	2017-05-08	PLX
10	36296.0	36296.0	35838.0	35838.0	864620	2017-05-09	PLX
11	35838.0	36220.0	35838.0	35990.0	2706150	2017-05-10	PLX
12	35990.0	37977.0	35990.0	37137.0	3351200	2017-05-11	PLX
13	37137.0	37366.0	36984.0	37137.0	1272460	2017-05-12	PLX
14	36869.0	37595.0	36678.0	37213.0	2429190	2017-05-15	PLX
15	37519.0	39735.0	37213.0	39047.0	3627190	2017-05-16	PLX
16	38971.0	39735.0	38589.0	38971.0	1642560	2017-05-17	PLX
17	38818.0	40499.0	38818.0	40499.0	3077950	2017-05-18	PLX
18	41110.0	43326.0	40728.0	43326.0	4369030	2017-05-19	PLX
19	45695.0	46306.0	45084.0	46306.0	3062670	2017-05-22	PLX
20	46612.0	49286.0	46306.0	46306.0	2839240	2017-05-23	PLX
21	46306.0	46383.0	43937.0	45084.0	1789900	2017-05-24	PLX
22	45084.0	45924.0	44778.0	45084.0	684100	2017-05-25	PLX
23	44472.0	45007.0	44014.0	44396.0	1237030	2017-05-26	PLX
24	44319.0	46230.0	44319.0	45924.0	967250	2017-05-29	PLX
25	45924.0	47452.0	45924.0	46612.0	1067000	2017-05-30	PLX
26	46994.0	47147.0	46153.0	46765.0	714650	2017-05-31	PLX
27	46765.0	47223.0	46765.0	46765.0	522880	2017-06-01	PLX
28	46383.0	46765.0	45619.0	45619.0	1244790	2017-06-02	PLX
29	45619.0	47223.0	45236.0	46688.0	665100	2017-06-05	PLX
30	46688.0	46994.0	46459.0	46994.0	554760	2017-06-06	PLX
31	46918.0	47223.0	46612.0	46688.0	626820	2017-06-07	PLX
32	46688.0	46841.0	46459.0	46688.0	325680	2017-06-08	PLX
33	46612.0	48446.0	46612.0	47834.0	1104760	2017-06-09	PLX
34	47834.0	49286.0	47605.0	48140.0	830860	2017-06-12	PLX
35	48293.0	48675.0	47911.0	48140.0	422580	2017-06-13	PLX
36	47987.0	48140.0	47300.0	48140.0	848170	2017-06-14	PLX
37	47758.0	48369.0	47452.0	47987.0	546160	2017-06-15	PLX
38	47682.0	48140.0	47605.0	47682.0	369590	2017-06-16	PLX
39	47605.0	48751.0	47605.0	48751.0	797760	2017-06-19	PLX
40	48904.0	49974.0	48828.0	49974.0	1506260	2017-06-20	PLX
