	Open	High	Low	Close	Volume	TradingDate	Code
0	116179.0	116179.0	116179.0	116179.0	3010	2016-12-06	SAB
1	124276.0	124276.0	124276.0	124276.0	30	2016-12-07	SAB
2	132901.0	132901.0	132901.0	132901.0	1000	2016-12-08	SAB
3	132901.0	142143.0	132901.0	142143.0	3010	2016-12-09	SAB
4	152089.0	152089.0	152089.0	152089.0	35690	2016-12-12	SAB
5	162650.0	162650.0	162650.0	162650.0	96830	2016-12-13	SAB
6	174004.0	174004.0	174004.0	174004.0	154380	2016-12-14	SAB
7	186150.0	186150.0	184830.0	186150.0	380050	2016-12-15	SAB
8	199176.0	199176.0	176028.0	198032.0	387520	2016-12-16	SAB
9	186590.0	198032.0	186590.0	186590.0	168190	2016-12-19	SAB
10	185710.0	186150.0	173564.0	173564.0	399710	2016-12-20	SAB
11	173564.0	179109.0	162826.0	176733.0	241750	2016-12-21	SAB
12	184742.0	184742.0	178669.0	178669.0	52460	2016-12-22	SAB
13	178669.0	178669.0	173476.0	176028.0	54810	2016-12-23	SAB
14	176922.0	176922.0	169774.0	176028.0	169870	2016-12-26	SAB
15	176028.0	178530.0	172544.0	176922.0	69880	2016-12-27	SAB
16	178530.0	178530.0	176118.0	177726.0	28530	2016-12-28	SAB
17	176922.0	176922.0	172454.0	176028.0	98560	2016-12-29	SAB
18	176922.0	176922.0	174688.0	176654.0	96740	2016-12-30	SAB
19	176654.0	176654.0	175045.0	176028.0	63170	2017-01-03	SAB
20	176028.0	177458.0	174241.0	176028.0	87490	2017-01-04	SAB
21	176028.0	176922.0	175135.0	176118.0	27170	2017-01-05	SAB
22	176833.0	187555.0	176207.0	184070.0	212390	2017-01-06	SAB
23	184070.0	185857.0	183177.0	183177.0	31390	2017-01-09	SAB
24	184874.0	184874.0	180049.0	182730.0	44540	2017-01-10	SAB
25	182283.0	187644.0	180496.0	187644.0	228480	2017-01-11	SAB
26	190325.0	190325.0	187644.0	188181.0	55290	2017-01-12	SAB
27	188270.0	189610.0	188181.0	189253.0	37670	2017-01-13	SAB
