	Open	High	Low	Close	Volume	TradingDate	Code
0	2565.0	2565.0	2565.0	2565.0	109350	2006-01-19	VNM
1	2662.0	2662.0	2614.0	2614.0	157840	2006-01-20	VNM
2	2614.0	2614.0	2541.0	2541.0	81400	2006-01-23	VNM
3	2541.0	2541.0	2517.0	2517.0	66000	2006-01-24	VNM
4	2517.0	2565.0	2517.0	2565.0	57220	2006-01-25	VNM
5	2589.0	2589.0	2589.0	2589.0	18750	2006-01-26	VNM
6	2565.0	2565.0	2565.0	2565.0	25630	2006-01-27	VNM
7	2565.0	2565.0	2565.0	2565.0	25190	2006-02-06	VNM
8	2614.0	2614.0	2614.0	2614.0	138720	2006-02-07	VNM
9	2662.0	2662.0	2662.0	2662.0	159300	2006-02-08	VNM
10	2662.0	2662.0	2662.0	2662.0	153580	2006-02-09	VNM
11	2614.0	2662.0	2614.0	2662.0	128650	2006-02-10	VNM
12	2662.0	2662.0	2662.0	2662.0	153670	2006-02-13	VNM
13	2662.0	2662.0	2662.0	2662.0	113260	2006-02-14	VNM
14	2662.0	2662.0	2638.0	2638.0	132600	2006-02-15	VNM
15	2662.0	2662.0	2662.0	2662.0	184290	2006-02-16	VNM
16	2710.0	2783.0	2710.0	2783.0	128090	2006-02-17	VNM
17	2904.0	2904.0	2904.0	2904.0	62050	2006-02-20	VNM
18	3049.0	3049.0	3049.0	3049.0	101970	2006-02-21	VNM
19	3146.0	3146.0	3049.0	3049.0	264890	2006-02-22	VNM
20	3098.0	3098.0	3098.0	3098.0	130490	2006-02-23	VNM
21	3122.0	3122.0	3122.0	3122.0	90480	2006-02-24	VNM
22	3146.0	3170.0	3146.0	3170.0	162140	2006-02-27	VNM
23	3194.0	3315.0	3194.0	3315.0	164820	2006-02-28	VNM
24	3461.0	3461.0	3436.0	3436.0	164480	2006-03-01	VNM
25	3461.0	3485.0	3461.0	3485.0	222520	2006-03-02	VNM
26	3436.0	3436.0	3315.0	3315.0	227880	2006-03-03	VNM
27	3291.0	3388.0	3291.0	3388.0	200050	2006-03-06	VNM
28	3388.0	3388.0	3388.0	3388.0	129210	2006-03-07	VNM
29	3340.0	3340.0	3291.0	3291.0	163660	2006-03-08	VNM
30	3340.0	3340.0	3315.0	3315.0	206310	2006-03-09	VNM
31	3340.0	3340.0	3315.0	3315.0	125760	2006-03-10	VNM
32	3388.0	3388.0	3388.0	3388.0	257130	2006-03-13	VNM
33	3412.0	3436.0	3412.0	3436.0	223540	2006-03-14	VNM
34	3436.0	3436.0	3340.0	3340.0	201720	2006-03-15	VNM
35	3436.0	3436.0	3388.0	3388.0	171110	2006-03-16	VNM
36	3388.0	3436.0	3388.0	3436.0	189800	2006-03-17	VNM
37	3436.0	3485.0	3436.0	3485.0	320020	2006-03-20	VNM
38	3533.0	3557.0	3533.0	3557.0	266040	2006-03-21	VNM
39	3630.0	3630.0	3557.0	3557.0	173010	2006-03-22	VNM
40	3582.0	3606.0	3582.0	3606.0	181330	2006-03-23	VNM
41	3606.0	3606.0	3582.0	3582.0	137520	2006-03-24	VNM
42	3606.0	3606.0	3606.0	3606.0	167410	2006-03-27	VNM
43	3606.0	3606.0	3606.0	3606.0	130790	2006-03-28	VNM
44	3630.0	3703.0	3630.0	3703.0	284640	2006-03-29	VNM
45	3872.0	3872.0	3872.0	3872.0	184200	2006-03-30	VNM
46	3969.0	3969.0	3920.0	3920.0	171770	2006-03-31	VNM
47	4065.0	4114.0	4065.0	4114.0	259620	2006-04-03	VNM
48	4259.0	4259.0	3920.0	3920.0	242500	2006-04-04	VNM
49	4114.0	4114.0	4114.0	4114.0	191790	2006-04-05	VNM
50	4211.0	4211.0	4211.0	4211.0	234410	2006-04-06	VNM
51	4307.0	4356.0	4307.0	4356.0	276750	2006-04-07	VNM
52	4428.0	4428.0	4307.0	4307.0	190930	2006-04-10	VNM
53	4259.0	4259.0	4186.0	4186.0	152780	2006-04-11	VNM
54	4259.0	4307.0	4259.0	4307.0	134540	2006-04-12	VNM
55	4356.0	4404.0	4356.0	4404.0	182010	2006-04-13	VNM
56	4404.0	4404.0	4356.0	4356.0	135270	2006-04-14	VNM
57	4356.0	4356.0	4356.0	4356.0	162080	2006-04-17	VNM
58	4404.0	4404.0	4404.0	4404.0	183230	2006-04-18	VNM
59	4453.0	4453.0	4404.0	4404.0	195960	2006-04-19	VNM
60	4404.0	4404.0	4404.0	4404.0	130410	2006-04-20	VNM
61	4622.0	4622.0	4622.0	4622.0	378460	2006-04-21	VNM
62	4840.0	4840.0	4840.0	4840.0	202190	2006-04-24	VNM
63	5033.0	5033.0	4937.0	4937.0	387490	2006-04-25	VNM
64	4743.0	4743.0	4743.0	4743.0	282180	2006-04-26	VNM
65	4743.0	4743.0	4525.0	4525.0	371490	2006-04-27	VNM
66	4501.0	4525.0	4501.0	4525.0	420830	2006-04-28	VNM
67	4695.0	4695.0	4695.0	4695.0	132570	2006-05-03	VNM
68	4646.0	4646.0	4598.0	4598.0	217800	2006-05-04	VNM
69	4598.0	4598.0	4501.0	4501.0	272950	2006-05-05	VNM
70	4501.0	4501.0	4356.0	4356.0	217830	2006-05-08	VNM
71	4138.0	4138.0	4138.0	4138.0	421900	2006-05-09	VNM
72	3944.0	3944.0	3944.0	3944.0	360820	2006-05-10	VNM
73	4138.0	4138.0	4138.0	4138.0	393040	2006-05-11	VNM
74	4332.0	4332.0	4332.0	4332.0	60420	2006-05-12	VNM
75	4525.0	4525.0	4525.0	4525.0	133080	2006-05-15	VNM
76	4404.0	4404.0	4307.0	4307.0	340760	2006-05-16	VNM
77	4404.0	4404.0	4380.0	4380.0	191180	2006-05-17	VNM
78	4332.0	4332.0	4332.0	4332.0	112310	2006-05-18	VNM
79	4259.0	4307.0	4259.0	4307.0	137010	2006-05-19	VNM
80	4307.0	4307.0	4259.0	4259.0	122780	2006-05-22	VNM
81	4162.0	4162.0	4162.0	4162.0	122020	2006-05-23	VNM
82	4259.0	4356.0	4259.0	4356.0	122100	2006-05-24	VNM
83	4259.0	4259.0	4211.0	4211.0	127620	2006-05-25	VNM
84	4259.0	4259.0	4259.0	4259.0	105180	2006-05-26	VNM
85	4211.0	4211.0	4211.0	4211.0	105830	2006-05-29	VNM
86	4162.0	4162.0	4162.0	4162.0	227310	2006-05-30	VNM
87	4259.0	4307.0	4259.0	4307.0	196540	2006-05-31	VNM
88	4307.0	4307.0	4259.0	4259.0	61330	2006-06-01	VNM
89	4259.0	4259.0	4259.0	4259.0	63670	2006-06-02	VNM
90	4307.0	4307.0	4307.0	4307.0	90560	2006-06-05	VNM
91	4332.0	4332.0	4307.0	4307.0	117690	2006-06-06	VNM
92	4283.0	4283.0	4259.0	4259.0	67020	2006-06-07	VNM
93	4259.0	4283.0	4259.0	4283.0	70020	2006-06-08	VNM
94	4332.0	4332.0	4307.0	4307.0	140600	2006-06-09	VNM
95	4259.0	4259.0	4259.0	4259.0	29670	2006-06-12	VNM
96	4259.0	4259.0	4235.0	4235.0	85330	2006-06-13	VNM
97	4235.0	4235.0	4235.0	4211.0	62490	2006-06-14	VNM
98	4186.0	4186.0	4186.0	4186.0	54860	2006-06-15	VNM
99	4114.0	4114.0	4065.0	4065.0	215160	2006-06-16	VNM
100	4041.0	4041.0	4017.0	4017.0	107900	2006-06-19	VNM
101	3993.0	3993.0	3872.0	3872.0	143160	2006-06-20	VNM
102	3775.0	3775.0	3727.0	3727.0	590790	2006-06-21	VNM
103	3872.0	3896.0	3872.0	3896.0	195510	2006-06-22	VNM
104	3944.0	3944.0	3872.0	3896.0	168260	2006-06-23	VNM
105	3848.0	3872.0	3848.0	3848.0	105820	2006-06-26	VNM
106	3799.0	3824.0	3799.0	3824.0	134560	2006-06-27	VNM
107	3868.0	3917.0	3868.0	3917.0	93070	2006-06-28	VNM
108	3917.0	3965.0	3917.0	3965.0	178890	2006-06-29	VNM
109	3965.0	3965.0	3941.0	3965.0	364050	2006-06-30	VNM
110	3917.0	3941.0	3917.0	3917.0	53410	2006-07-03	VNM
111	3892.0	3892.0	3868.0	3868.0	55320	2006-07-04	VNM
112	3868.0	3868.0	3868.0	3868.0	38160	2006-07-05	VNM
113	3843.0	3917.0	3843.0	3917.0	43990	2006-07-06	VNM
114	3917.0	3917.0	3917.0	3917.0	61580	2006-07-07	VNM
115	3917.0	3917.0	3868.0	3868.0	50220	2006-07-10	VNM
116	3868.0	3892.0	3868.0	3868.0	74950	2006-07-11	VNM
117	3868.0	3868.0	3843.0	3843.0	55640	2006-07-12	VNM
118	3843.0	3843.0	3819.0	3843.0	68140	2006-07-13	VNM
119	3843.0	3843.0	3843.0	3843.0	43290	2006-07-14	VNM
120	3721.0	3770.0	3721.0	3770.0	49640	2006-07-17	VNM
121	3770.0	3770.0	3696.0	3696.0	65390	2006-07-18	VNM
122	3647.0	3647.0	3549.0	3549.0	170020	2006-07-19	VNM
123	3525.0	3721.0	3525.0	3721.0	137880	2006-07-20	VNM
124	3745.0	3745.0	3623.0	3623.0	109890	2006-07-21	VNM
125	3549.0	3574.0	3549.0	3549.0	121480	2006-07-24	VNM
126	3451.0	3451.0	3378.0	3378.0	224750	2006-07-25	VNM
127	3354.0	3427.0	3354.0	3378.0	125710	2006-07-26	VNM
128	3378.0	3427.0	3378.0	3427.0	123040	2006-07-27	VNM
129	3427.0	3427.0	3427.0	3427.0	117800	2006-07-28	VNM
130	3427.0	3427.0	3305.0	3305.0	92100	2006-07-31	VNM
131	3231.0	3231.0	3182.0	3182.0	161900	2006-08-01	VNM
132	3060.0	3231.0	3060.0	3231.0	135090	2006-08-02	VNM
133	3305.0	3378.0	3305.0	3378.0	122010	2006-08-03	VNM
134	3525.0	3525.0	3525.0	3525.0	231190	2006-08-04	VNM
135	3525.0	3525.0	3402.0	3402.0	152230	2006-08-07	VNM
136	3476.0	3525.0	3476.0	3525.0	136030	2006-08-08	VNM
137	3549.0	3574.0	3549.0	3549.0	135820	2006-08-09	VNM
138	3525.0	3549.0	3525.0	3549.0	69590	2006-08-10	VNM
139	3574.0	3623.0	3574.0	3623.0	115900	2006-08-11	VNM
140	3745.0	3794.0	3745.0	3794.0	178860	2006-08-14	VNM
141	3819.0	3819.0	3794.0	3794.0	203640	2006-08-15	VNM
142	3868.0	3965.0	3868.0	3965.0	316830	2006-08-16	VNM
143	4088.0	4088.0	4063.0	4063.0	349110	2006-08-17	VNM
144	4063.0	4063.0	4063.0	4063.0	414570	2006-08-18	VNM
145	4063.0	4063.0	4039.0	4039.0	146890	2006-08-21	VNM
146	3965.0	3965.0	3941.0	3941.0	326890	2006-08-22	VNM
147	3917.0	3990.0	3917.0	3990.0	130680	2006-08-23	VNM
148	4014.0	4039.0	3990.0	3990.0	90080	2006-08-24	VNM
149	3965.0	3965.0	3965.0	3965.0	92150	2006-08-25	VNM
150	3941.0	4014.0	3941.0	4014.0	70440	2006-08-28	VNM
151	4039.0	4039.0	4014.0	4039.0	114240	2006-08-29	VNM
152	4063.0	4063.0	4063.0	4063.0	147020	2006-08-30	VNM
153	4063.0	4063.0	4039.0	4039.0	126760	2006-08-31	VNM
154	4039.0	4039.0	4039.0	4039.0	112280	2006-09-01	VNM
155	4063.0	4112.0	4063.0	4112.0	196580	2006-09-05	VNM
156	4161.0	4161.0	4063.0	4063.0	140680	2006-09-06	VNM
157	4039.0	4039.0	4014.0	4039.0	53540	2006-09-07	VNM
158	4014.0	4039.0	4014.0	4039.0	108490	2006-09-08	VNM
159	4039.0	4039.0	4014.0	4014.0	69280	2006-09-11	VNM
160	3965.0	3965.0	3965.0	3965.0	90600	2006-09-12	VNM
161	3917.0	3990.0	3917.0	3990.0	50360	2006-09-13	VNM
162	3990.0	3990.0	3941.0	3941.0	86840	2006-09-14	VNM
163	3965.0	3965.0	3965.0	3965.0	59480	2006-09-15	VNM
164	3965.0	3990.0	3965.0	3990.0	55650	2006-09-18	VNM
165	4063.0	4063.0	4063.0	4063.0	157050	2006-09-19	VNM
166	4112.0	4112.0	4039.0	4039.0	129200	2006-09-20	VNM
167	4039.0	4039.0	4014.0	4014.0	38600	2006-09-21	VNM
168	4014.0	4014.0	4014.0	4014.0	59750	2006-09-22	VNM
169	4014.0	4014.0	4014.0	4014.0	82260	2006-09-25	VNM
170	4014.0	4039.0	4014.0	4039.0	123560	2006-09-26	VNM
171	4063.0	4063.0	4039.0	4039.0	111160	2006-09-27	VNM
172	4039.0	4063.0	4039.0	4063.0	86250	2006-09-28	VNM
173	4112.0	4112.0	4063.0	4063.0	256120	2006-09-29	VNM
174	4063.0	4063.0	4039.0	4039.0	136240	2006-10-02	VNM
175	4063.0	4063.0	4063.0	4063.0	178730	2006-10-03	VNM
176	4063.0	4063.0	4063.0	4063.0	191980	2006-10-04	VNM
177	4088.0	4088.0	4063.0	4063.0	142790	2006-10-05	VNM
178	4063.0	4063.0	4063.0	4063.0	49980	2006-10-06	VNM
179	4063.0	4063.0	4014.0	4014.0	92120	2006-10-09	VNM
180	3965.0	3965.0	3941.0	3965.0	130190	2006-10-10	VNM
181	3917.0	3917.0	3917.0	3917.0	128580	2006-10-11	VNM
182	3917.0	3917.0	3917.0	3917.0	118920	2006-10-12	VNM
183	3917.0	3990.0	3917.0	3990.0	87800	2006-10-13	VNM
184	3990.0	4014.0	3990.0	4014.0	186630	2006-10-16	VNM
185	4014.0	4014.0	4014.0	4014.0	378360	2006-10-17	VNM
186	4063.0	4063.0	4039.0	4039.0	165890	2006-10-18	VNM
187	4039.0	4039.0	4014.0	4039.0	102510	2006-10-19	VNM
188	4063.0	4063.0	4063.0	4063.0	178250	2006-10-20	VNM
189	4039.0	4063.0	4039.0	4039.0	79210	2006-10-23	VNM
190	4039.0	4039.0	4039.0	4039.0	108650	2006-10-24	VNM
191	4039.0	4039.0	4039.0	4039.0	110820	2006-10-25	VNM
192	4014.0	4014.0	4014.0	4014.0	74050	2006-10-26	VNM
193	3990.0	3990.0	3990.0	3990.0	57150	2006-10-27	VNM
194	3965.0	3965.0	3917.0	3941.0	106850	2006-10-30	VNM
195	3868.0	3917.0	3868.0	3917.0	126780	2006-10-31	VNM
196	3965.0	4014.0	3965.0	4014.0	88780	2006-11-01	VNM
197	4014.0	4014.0	3965.0	3965.0	63110	2006-11-02	VNM
198	3941.0	3941.0	3941.0	3941.0	17410	2006-11-03	VNM
199	3941.0	3965.0	3941.0	3965.0	30020	2006-11-06	VNM
200	3965.0	3965.0	3965.0	3965.0	41630	2006-11-07	VNM
201	3990.0	4014.0	3990.0	4014.0	147980	2006-11-08	VNM
202	4014.0	4014.0	4014.0	4014.0	135820	2006-11-09	VNM
203	4088.0	4088.0	4063.0	4063.0	222840	2006-11-10	VNM
204	4063.0	4063.0	4063.0	4063.0	187680	2006-11-13	VNM
205	4259.0	4259.0	4259.0	4259.0	227990	2006-11-14	VNM
