	Open	High	Low	Close	Volume	TradingDate	Code
0	3068.0	3068.0	2920.0	2920.0	2719290	2011-11-01	MBB
1	2878.0	2920.0	2793.0	2793.0	1255220	2011-11-02	MBB
2	2751.0	2793.0	2666.0	2772.0	1193910	2011-11-03	MBB
3	2793.0	2793.0	2729.0	2729.0	483860	2011-11-04	MBB
4	2729.0	2729.0	2602.0	2602.0	1158750	2011-11-07	MBB
5	2560.0	2581.0	2497.0	2539.0	1105490	2011-11-08	MBB
6	2518.0	2539.0	2454.0	2454.0	740500	2011-11-09	MBB
7	2412.0	2560.0	2412.0	2497.0	1258020	2011-11-10	MBB
8	2539.0	2581.0	2518.0	2539.0	1024320	2011-11-11	MBB
9	2518.0	2539.0	2497.0	2518.0	681580	2011-11-14	MBB
10	2497.0	2539.0	2497.0	2497.0	333650	2011-11-15	MBB
11	2497.0	2539.0	2476.0	2518.0	963200	2011-11-16	MBB
12	2518.0	2518.0	2476.0	2518.0	833240	2011-11-17	MBB
13	2497.0	2539.0	2454.0	2539.0	1468870	2011-11-18	MBB
14	2624.0	2624.0	2497.0	2624.0	1247370	2011-11-21	MBB
15	2624.0	2751.0	2624.0	2708.0	1100380	2011-11-22	MBB
16	2729.0	2751.0	2666.0	2687.0	580420	2011-11-23	MBB
17	2687.0	2687.0	2624.0	2624.0	545770	2011-11-24	MBB
18	2602.0	2624.0	2560.0	2602.0	587810	2011-11-25	MBB
19	2624.0	2708.0	2602.0	2666.0	1119140	2011-11-28	MBB
20	2666.0	2729.0	2666.0	2708.0	1368920	2011-11-29	MBB
21	2729.0	2729.0	2645.0	2645.0	1192350	2011-11-30	MBB
22	2666.0	2708.0	2666.0	2687.0	903960	2011-12-01	MBB
23	2687.0	2708.0	2666.0	2687.0	505490	2011-12-02	MBB
24	2751.0	2772.0	2687.0	2751.0	915680	2011-12-05	MBB
25	2751.0	2751.0	2708.0	2708.0	709500	2011-12-06	MBB
26	2755.0	2778.0	2685.0	2732.0	1243680	2011-12-07	MBB
27	2755.0	2755.0	2708.0	2708.0	381970	2011-12-08	MBB
28	2708.0	2708.0	2638.0	2662.0	861100	2011-12-09	MBB
29	2638.0	2708.0	2638.0	2685.0	640030	2011-12-12	MBB
30	2662.0	2708.0	2662.0	2662.0	648920	2011-12-13	MBB
31	2662.0	2662.0	2592.0	2638.0	1185060	2011-12-14	MBB
32	2662.0	2662.0	2568.0	2638.0	582760	2011-12-15	MBB
33	2638.0	2685.0	2615.0	2638.0	510930	2011-12-16	MBB
34	2615.0	2662.0	2615.0	2638.0	468810	2011-12-19	MBB
35	2615.0	2638.0	2615.0	2638.0	560760	2011-12-20	MBB
36	2638.0	2662.0	2638.0	2662.0	588730	2011-12-21	MBB
37	2615.0	2662.0	2592.0	2615.0	587640	2011-12-22	MBB
38	2615.0	2638.0	2592.0	2592.0	597370	2011-12-23	MBB
39	2592.0	2615.0	2498.0	2568.0	1035190	2011-12-26	MBB
40	2545.0	2545.0	2452.0	2452.0	1727600	2011-12-27	MBB
41	2452.0	2498.0	2428.0	2475.0	1741660	2011-12-28	MBB
42	2498.0	2522.0	2475.0	2522.0	1019180	2011-12-29	MBB
43	2522.0	2568.0	2522.0	2522.0	510030	2011-12-30	MBB
44	2522.0	2545.0	2498.0	2545.0	462000	2012-01-03	MBB
45	2522.0	2545.0	2475.0	2545.0	368740	2012-01-04	MBB
46	2545.0	2545.0	2475.0	2498.0	478490	2012-01-05	MBB
47	2498.0	2522.0	2475.0	2498.0	331370	2012-01-06	MBB
48	2522.0	2545.0	2475.0	2522.0	464800	2012-01-09	MBB
49	2498.0	2568.0	2498.0	2568.0	897700	2012-01-10	MBB
50	2592.0	2592.0	2568.0	2592.0	653750	2012-01-11	MBB
51	2592.0	2638.0	2568.0	2638.0	475010	2012-01-12	MBB
52	2638.0	2685.0	2638.0	2685.0	425170	2012-01-13	MBB
53	2685.0	2778.0	2685.0	2755.0	553980	2012-01-16	MBB
54	2778.0	2778.0	2685.0	2685.0	645660	2012-01-17	MBB
55	2685.0	2755.0	2662.0	2685.0	343520	2012-01-18	MBB
56	2732.0	2778.0	2708.0	2778.0	268670	2012-01-19	MBB
57	2778.0	2802.0	2732.0	2755.0	275900	2012-01-20	MBB
58	2778.0	2802.0	2732.0	2802.0	457150	2012-01-30	MBB
59	2802.0	2895.0	2778.0	2825.0	822330	2012-01-31	MBB
60	2825.0	2825.0	2755.0	2802.0	586840	2012-02-01	MBB
61	2849.0	2942.0	2849.0	2942.0	1360930	2012-02-02	MBB
62	3012.0	3082.0	2965.0	2989.0	4077030	2012-02-03	MBB
63	3035.0	3035.0	2919.0	2919.0	1157510	2012-02-06	MBB
64	2989.0	2989.0	2895.0	2942.0	963570	2012-02-07	MBB
65	2965.0	3059.0	2942.0	3059.0	2496360	2012-02-08	MBB
66	3059.0	3199.0	3059.0	3129.0	4113510	2012-02-09	MBB
67	3129.0	3175.0	3059.0	3082.0	3139790	2012-02-10	MBB
68	3100.0	3100.0	3003.0	3003.0	949610	2012-02-13	MBB
69	3003.0	3100.0	2978.0	3100.0	1310730	2012-02-14	MBB
70	3100.0	3100.0	2978.0	3027.0	1089850	2012-02-15	MBB
71	3003.0	3052.0	2978.0	3052.0	1264950	2012-02-16	MBB
72	3052.0	3100.0	3052.0	3100.0	1215500	2012-02-17	MBB
73	3149.0	3247.0	3125.0	3223.0	2941850	2012-02-20	MBB
74	3271.0	3271.0	3149.0	3149.0	2805190	2012-02-21	MBB
75	3125.0	3271.0	3125.0	3247.0	3635880	2012-02-22	MBB
76	3271.0	3393.0	3223.0	3393.0	5790660	2012-02-23	MBB
77	3442.0	3540.0	3418.0	3467.0	7576700	2012-02-24	MBB
78	3515.0	3613.0	3442.0	3589.0	5071310	2012-02-27	MBB
79	3663.0	3663.0	3414.0	3489.0	4770100	2012-02-28	MBB
80	3414.0	3564.0	3414.0	3564.0	6070940	2012-02-29	MBB
81	3589.0	3738.0	3539.0	3713.0	11644670	2012-03-01	MBB
82	3788.0	3888.0	3763.0	3888.0	14086080	2012-03-02	MBB
83	4062.0	4062.0	4062.0	4062.0	1604700	2012-03-05	MBB
84	4262.0	4262.0	4062.0	4112.0	15791100	2012-03-06	MBB
85	4062.0	4112.0	3938.0	4012.0	9630560	2012-03-07	MBB
86	3838.0	3987.0	3813.0	3813.0	9290320	2012-03-08	MBB
87	3688.0	3838.0	3639.0	3713.0	6469510	2012-03-09	MBB
88	3713.0	3713.0	3539.0	3589.0	7728610	2012-03-12	MBB
89	3663.0	3763.0	3589.0	3738.0	5046780	2012-03-13	MBB
90	3813.0	3813.0	3639.0	3639.0	3632820	2012-03-14	MBB
91	3589.0	3813.0	3564.0	3813.0	5270660	2012-03-15	MBB
92	3962.0	3987.0	3838.0	3863.0	6865540	2012-03-16	MBB
93	3838.0	3938.0	3813.0	3863.0	4156720	2012-03-19	MBB
94	3888.0	3962.0	3863.0	3962.0	3748430	2012-03-20	MBB
95	4012.0	4137.0	3987.0	4037.0	8486760	2012-03-21	MBB
96	3987.0	4062.0	3938.0	3938.0	5042930	2012-03-22	MBB
97	3987.0	4062.0	3938.0	3987.0	6886300	2012-03-23	MBB
98	4037.0	4037.0	3863.0	3863.0	4345740	2012-03-26	MBB
99	3813.0	3863.0	3688.0	3688.0	6171100	2012-03-27	MBB
100	3639.0	3763.0	3589.0	3763.0	3287320	2012-03-28	MBB
101	3788.0	3788.0	3639.0	3663.0	2667660	2012-03-29	MBB
102	3639.0	3688.0	3589.0	3614.0	2563210	2012-03-30	MBB
103	3614.0	3788.0	3614.0	3788.0	4560310	2012-04-03	MBB
104	3788.0	3813.0	3688.0	3713.0	2466650	2012-04-04	MBB
105	3713.0	3838.0	3663.0	3813.0	3033670	2012-04-05	MBB
106	3813.0	3863.0	3763.0	3763.0	2553500	2012-04-06	MBB
107	3788.0	3838.0	3738.0	3813.0	1622410	2012-04-09	MBB
108	3813.0	3838.0	3688.0	3713.0	3968660	2012-04-10	MBB
109	3813.0	3813.0	3713.0	3813.0	3865700	2012-04-11	MBB
110	3838.0	3987.0	3813.0	3938.0	10227410	2012-04-12	MBB
111	3962.0	3987.0	3863.0	3863.0	2991900	2012-04-13	MBB
112	3913.0	3987.0	3863.0	3938.0	2489500	2012-04-16	MBB
113	3987.0	4037.0	3913.0	3962.0	5193950	2012-04-17	MBB
114	3962.0	4037.0	3913.0	3913.0	5574540	2012-04-18	MBB
115	3913.0	3938.0	3838.0	3838.0	2800080	2012-04-19	MBB
116	3838.0	3938.0	3788.0	3838.0	2357050	2012-04-20	MBB
117	3813.0	3888.0	3813.0	3838.0	3371380	2012-04-23	MBB
118	3838.0	3863.0	3788.0	3863.0	2730600	2012-04-24	MBB
119	3913.0	3938.0	3863.0	3888.0	2559560	2012-04-25	MBB
120	3913.0	3913.0	3813.0	3813.0	2627460	2012-04-26	MBB
121	3813.0	3838.0	3763.0	3813.0	2734350	2012-04-27	MBB
122	3838.0	3863.0	3763.0	3788.0	2289580	2012-05-02	MBB
123	3788.0	3788.0	3738.0	3763.0	1401710	2012-05-03	MBB
124	3763.0	3813.0	3763.0	3788.0	2052660	2012-05-04	MBB
125	3788.0	3813.0	3738.0	3738.0	2862670	2012-05-07	MBB
126	3738.0	3913.0	3738.0	3913.0	7551530	2012-05-08	MBB
127	3913.0	3962.0	3863.0	3888.0	2460860	2012-05-09	MBB
128	3888.0	3938.0	3838.0	3913.0	2364650	2012-05-10	MBB
129	3913.0	3913.0	3838.0	3863.0	1958130	2012-05-11	MBB
130	3838.0	3863.0	3738.0	3738.0	3790900	2012-05-14	MBB
131	3738.0	3763.0	3688.0	3688.0	2627100	2012-05-15	MBB
132	3688.0	3738.0	3663.0	3713.0	1931580	2012-05-16	MBB
133	3764.0	3814.0	3713.0	3713.0	1635510	2012-05-17	MBB
134	3688.0	3713.0	3587.0	3612.0	2633250	2012-05-18	MBB
135	3663.0	3789.0	3663.0	3789.0	1287600	2012-05-21	MBB
136	3789.0	3789.0	3688.0	3713.0	750510	2012-05-22	MBB
137	3663.0	3713.0	3612.0	3612.0	1315030	2012-05-23	MBB
138	3637.0	3663.0	3562.0	3562.0	1236660	2012-05-24	MBB
139	3663.0	3738.0	3612.0	3738.0	1856780	2012-05-25	MBB
140	3764.0	3789.0	3688.0	3738.0	1263630	2012-05-28	MBB
141	3688.0	3738.0	3688.0	3713.0	957050	2012-05-29	MBB
142	3713.0	3789.0	3688.0	3764.0	2073200	2012-05-30	MBB
143	3738.0	3738.0	3688.0	3713.0	1058710	2012-05-31	MBB
144	3738.0	3789.0	3713.0	3738.0	1352760	2012-06-01	MBB
145	3688.0	3713.0	3612.0	3637.0	2608460	2012-06-04	MBB
146	3637.0	3688.0	3612.0	3688.0	667870	2012-06-05	MBB
147	3663.0	3713.0	3663.0	3688.0	784940	2012-06-06	MBB
148	3713.0	3764.0	3688.0	3738.0	1587310	2012-06-07	MBB
149	3789.0	3789.0	3688.0	3688.0	740140	2012-06-08	MBB
150	3688.0	3738.0	3663.0	3688.0	1233020	2012-06-11	MBB
151	3612.0	3688.0	3612.0	3612.0	1167320	2012-06-12	MBB
152	3612.0	3663.0	3612.0	3612.0	606570	2012-06-13	MBB
153	3637.0	3663.0	3612.0	3612.0	869930	2012-06-14	MBB
154	3637.0	3688.0	3612.0	3637.0	688370	2012-06-15	MBB
155	3688.0	3713.0	3663.0	3688.0	1348410	2012-06-18	MBB
156	3663.0	3688.0	3637.0	3637.0	632180	2012-06-19	MBB
157	3637.0	3663.0	3637.0	3637.0	245320	2012-06-20	MBB
158	3637.0	3688.0	3612.0	3637.0	897460	2012-06-21	MBB
159	3637.0	3637.0	3587.0	3612.0	1033550	2012-06-22	MBB
160	3612.0	3637.0	3562.0	3562.0	1396050	2012-06-25	MBB
161	3562.0	3587.0	3511.0	3562.0	1113560	2012-06-26	MBB
162	3536.0	3587.0	3536.0	3536.0	935260	2012-06-27	MBB
163	3511.0	3562.0	3511.0	3511.0	587950	2012-06-28	MBB
164	3536.0	3536.0	3511.0	3536.0	527300	2012-06-29	MBB
165	3536.0	3536.0	3486.0	3486.0	411320	2012-07-02	MBB
166	3461.0	3486.0	3410.0	3461.0	684000	2012-07-03	MBB
167	3461.0	3486.0	3410.0	3410.0	469580	2012-07-04	MBB
168	3385.0	3410.0	3360.0	3410.0	659740	2012-07-05	MBB
169	3385.0	3461.0	3385.0	3435.0	547100	2012-07-06	MBB
170	3410.0	3435.0	3309.0	3309.0	495120	2012-07-09	MBB
171	3284.0	3334.0	3284.0	3284.0	311900	2012-07-10	MBB
172	3309.0	3309.0	3284.0	3284.0	266880	2012-07-11	MBB
173	3284.0	3334.0	3284.0	3334.0	174340	2012-07-12	MBB
174	3334.0	3486.0	3334.0	3486.0	1836480	2012-07-13	MBB
175	3511.0	3562.0	3486.0	3536.0	2039960	2012-07-16	MBB
176	3536.0	3637.0	3536.0	3612.0	1214720	2012-07-17	MBB
177	3612.0	3637.0	3562.0	3587.0	746460	2012-07-18	MBB
178	3587.0	3663.0	3536.0	3663.0	1036800	2012-07-19	MBB
179	3663.0	3713.0	3612.0	3612.0	1167570	2012-07-20	MBB
180	3612.0	3637.0	3562.0	3562.0	757940	2012-07-23	MBB
181	3536.0	3562.0	3461.0	3486.0	977000	2012-07-24	MBB
182	3461.0	3511.0	3461.0	3486.0	991480	2012-07-25	MBB
183	3486.0	3536.0	3486.0	3511.0	386960	2012-07-26	MBB
184	3511.0	3562.0	3511.0	3562.0	1181950	2012-07-27	MBB
185	3536.0	3562.0	3511.0	3562.0	372670	2012-07-30	MBB
186	3536.0	3587.0	3536.0	3536.0	341290	2012-07-31	MBB
187	3536.0	3536.0	3486.0	3486.0	445630	2012-08-01	MBB
188	3486.0	3536.0	3486.0	3486.0	348530	2012-08-02	MBB
189	3486.0	3536.0	3486.0	3511.0	501940	2012-08-03	MBB
190	3536.0	3587.0	3511.0	3562.0	1007280	2012-08-06	MBB
