	Open	High	Low	Close	Volume	TradingDate	Code
0	4372.0	4308.0	3231.0	3367.0	339100	2016-03-28	MBS
1	3367.0	3253.0	3045.0	3192.0	182400	2016-03-29	MBS
2	3279.0	3273.0	3098.0	3192.0	46470	2016-03-30	MBS
3	3148.0	3094.0	2882.0	2973.0	317900	2016-03-31	MBS
4	2973.0	2927.0	2758.0	2842.0	195200	2016-04-01	MBS
5	2798.0	2893.0	2764.0	2842.0	85100	2016-04-04	MBS
6	2798.0	3105.0	2877.0	2973.0	118200	2016-04-05	MBS
7	2973.0	2937.0	2808.0	2842.0	22600	2016-04-06	MBS
8	2930.0	2896.0	2809.0	2842.0	47330	2016-04-07	MBS
9	2842.0	2839.0	2796.0	2798.0	36230	2016-04-08	MBS
10	2798.0	3002.0	2868.0	2930.0	77100	2016-04-11	MBS
11	2842.0	2985.0	2896.0	2930.0	12300	2016-04-12	MBS
12	2842.0	2880.0	2793.0	2842.0	31552	2016-04-13	MBS
13	2842.0	2836.0	2749.0	2798.0	81300	2016-04-14	MBS
14	2798.0	2862.0	2775.0	2798.0	123385	2016-04-15	MBS
15	2842.0	2764.0	2636.0	2711.0	37537	2016-04-19	MBS
16	2755.0	2879.0	2789.0	2798.0	124015	2016-04-20	MBS
17	2755.0	2777.0	2689.0	2711.0	99925	2016-04-21	MBS
18	2667.0	2766.0	2677.0	2711.0	167737	2016-04-22	MBS
19	2755.0	2843.0	2798.0	2798.0	68000	2016-04-25	MBS
20	2711.0	2737.0	2693.0	2711.0	57620	2016-04-26	MBS
21	2711.0	2768.0	2681.0	2711.0	24210	2016-04-27	MBS
22	2711.0	2740.0	2609.0	2623.0	104740	2016-04-28	MBS
23	2667.0	2701.0	2657.0	2667.0	55940	2016-04-29	MBS
24	2405.0	2682.0	2418.0	2623.0	36075	2016-05-04	MBS
25	2580.0	2664.0	2619.0	2623.0	79800	2016-05-05	MBS
26	2623.0	2650.0	2605.0	2623.0	33018	2016-05-06	MBS
27	2580.0	2588.0	2502.0	2536.0	33150	2016-05-09	MBS
28	2536.0	2695.0	2606.0	2623.0	24710	2016-05-10	MBS
29	2580.0	2662.0	2618.0	2623.0	16144	2016-05-11	MBS
30	2623.0	2644.0	2600.0	2623.0	8702	2016-05-12	MBS
31	2623.0	2614.0	2527.0	2580.0	41610	2016-05-13	MBS
32	2580.0	2673.0	2586.0	2623.0	50700	2016-05-16	MBS
33	2623.0	2708.0	2663.0	2667.0	59910	2016-05-17	MBS
34	2623.0	2667.0	2623.0	2623.0	17200	2016-05-18	MBS
35	2623.0	2623.0	2623.0	2623.0	16100	2016-05-19	MBS
36	2623.0	2659.0	2615.0	2623.0	43810	2016-05-20	MBS
37	2623.0	2581.0	2538.0	2580.0	8300	2016-05-23	MBS
38	2580.0	2668.0	2623.0	2623.0	5700	2016-05-24	MBS
39	2580.0	2624.0	2537.0	2580.0	60200	2016-05-25	MBS
40	2580.0	2622.0	2578.0	2580.0	8098	2016-05-26	MBS
41	2580.0	2642.0	2554.0	2580.0	57525	2016-05-27	MBS
42	2580.0	2581.0	2537.0	2580.0	13200	2016-05-30	MBS
43	2580.0	2593.0	2549.0	2580.0	22600	2016-05-31	MBS
44	2580.0	2668.0	2623.0	2623.0	5200	2016-06-01	MBS
45	2536.0	2710.0	2619.0	2623.0	9200	2016-06-02	MBS
46	2536.0	2588.0	2544.0	2580.0	12500	2016-06-03	MBS
47	2580.0	2580.0	2580.0	2580.0	35500	2016-06-06	MBS
48	2623.0	2621.0	2577.0	2580.0	8500	2016-06-07	MBS
49	2580.0	2580.0	2580.0	2580.0	4700	2016-06-08	MBS
50	2536.0	2624.0	2536.0	2580.0	19900	2016-06-09	MBS
51	2580.0	2650.0	2606.0	2623.0	23300	2016-06-10	MBS
52	2580.0	2613.0	2569.0	2580.0	28000	2016-06-13	MBS
53	2536.0	2541.0	2498.0	2536.0	16100	2016-06-14	MBS
54	2536.0	2623.0	2579.0	2580.0	18914	2016-06-15	MBS
55	2536.0	2599.0	2555.0	2580.0	21800	2016-06-16	MBS
