	Open	High	Low	Close	Volume	TradingDate	Code
0	14927.0	14927.0	13562.0	13840.0	7295110	2018-04-19	TPB
1	13989.0	13989.0	13605.0	13861.0	1970610	2018-04-20	TPB
2	13861.0	13904.0	12923.0	13136.0	918490	2018-04-23	TPB
3	12923.0	13221.0	12240.0	13136.0	1084620	2018-04-24	TPB
4	13093.0	13179.0	12582.0	12667.0	618040	2018-04-26	TPB
5	12773.0	12880.0	12518.0	12880.0	783680	2018-04-27	TPB
6	13179.0	13179.0	12667.0	12709.0	468940	2018-05-02	TPB
7	12709.0	12709.0	12368.0	12709.0	407660	2018-05-03	TPB
8	12987.0	12987.0	12582.0	12709.0	267600	2018-05-04	TPB
9	12752.0	12795.0	12454.0	12795.0	269800	2018-05-07	TPB
10	13221.0	13221.0	12709.0	12837.0	556210	2018-05-08	TPB
11	12837.0	12837.0	12624.0	12795.0	368930	2018-05-09	TPB
12	12795.0	12795.0	12368.0	12582.0	184990	2018-05-10	TPB
13	12582.0	12709.0	12198.0	12709.0	725410	2018-05-11	TPB
14	12709.0	12709.0	12283.0	12582.0	252920	2018-05-14	TPB
15	12582.0	12731.0	12283.0	12709.0	468650	2018-05-15	TPB
16	12709.0	12731.0	12454.0	12582.0	525340	2018-05-16	TPB
17	12624.0	12709.0	12496.0	12582.0	385710	2018-05-17	TPB
18	12539.0	12709.0	12432.0	12667.0	465950	2018-05-18	TPB
19	12688.0	12688.0	12560.0	12603.0	339500	2018-05-21	TPB
20	12603.0	12688.0	12198.0	12496.0	414600	2018-05-22	TPB
21	12496.0	12560.0	12326.0	12539.0	506080	2018-05-23	TPB
22	12518.0	12560.0	12411.0	12496.0	366890	2018-05-24	TPB
23	12496.0	12539.0	12347.0	12368.0	307990	2018-05-25	TPB
24	12283.0	12326.0	11558.0	11558.0	197040	2018-05-28	TPB
25	11729.0	12304.0	11729.0	12283.0	590410	2018-05-29	TPB
26	12262.0	12347.0	12112.0	12240.0	171480	2018-05-30	TPB
27	12198.0	12219.0	11942.0	11942.0	287350	2018-05-31	TPB
28	12198.0	12198.0	11942.0	11942.0	100550	2018-06-01	TPB
29	11984.0	12709.0	11920.0	12582.0	387700	2018-06-04	TPB
30	12624.0	12624.0	12326.0	12539.0	459200	2018-06-05	TPB
31	12454.0	12496.0	12283.0	12326.0	847910	2018-06-06	TPB
32	12368.0	12368.0	12240.0	12326.0	675570	2018-06-07	TPB
33	12326.0	12368.0	12155.0	12219.0	1162520	2018-06-08	TPB
34	12326.0	12326.0	12027.0	12155.0	38710	2018-06-11	TPB
35	12155.0	12155.0	11856.0	12027.0	42180	2018-06-12	TPB
36	12027.0	12070.0	11942.0	12027.0	111190	2018-06-13	TPB
37	12027.0	12027.0	11835.0	11942.0	22990	2018-06-14	TPB
38	12006.0	12006.0	11835.0	11856.0	26260	2018-06-15	TPB
