	Open	High	Low	Close	Volume	TradingDate	Code
0	18278.0	18278.0	15993.0	17288.0	441200	2009-12-01	VIG
1	18202.0	18202.0	16145.0	16602.0	237200	2009-12-02	VIG
2	15993.0	15993.0	15460.0	15460.0	239600	2009-12-03	VIG
3	14546.0	15917.0	14394.0	15079.0	281400	2009-12-04	VIG
4	15612.0	16069.0	15612.0	15917.0	301700	2009-12-07	VIG
5	16602.0	16907.0	16298.0	16526.0	219500	2009-12-08	VIG
6	15765.0	16374.0	15384.0	15612.0	208100	2009-12-09	VIG
7	15308.0	15612.0	14546.0	14775.0	129300	2009-12-10	VIG
8	14775.0	14775.0	13785.0	13861.0	152000	2009-12-11	VIG
9	14698.0	14698.0	12947.0	14013.0	175200	2009-12-14	VIG
10	14775.0	14927.0	13556.0	14089.0	123800	2009-12-15	VIG
11	14165.0	14241.0	13175.0	13251.0	57100	2009-12-16	VIG
12	12414.0	13251.0	12338.0	12490.0	154600	2009-12-17	VIG
13	13099.0	13328.0	12947.0	13328.0	57300	2009-12-18	VIG
14	14013.0	14241.0	14013.0	14241.0	154500	2009-12-21	VIG
15	15079.0	15155.0	13404.0	14241.0	175700	2009-12-22	VIG
16	13251.0	15079.0	13251.0	14318.0	184400	2009-12-23	VIG
17	14470.0	15079.0	13328.0	13708.0	252000	2009-12-24	VIG
18	13861.0	14622.0	13861.0	14394.0	211400	2009-12-25	VIG
19	14927.0	14927.0	13480.0	14013.0	116400	2009-12-28	VIG
20	13632.0	13632.0	13099.0	13175.0	68700	2009-12-29	VIG
21	13708.0	13708.0	12490.0	12947.0	138100	2009-12-30	VIG
22	13404.0	13708.0	12795.0	13328.0	204400	2009-12-31	VIG
23	13861.0	14241.0	13785.0	14241.0	532900	2010-01-04	VIG
24	15232.0	15232.0	14470.0	15232.0	792100	2010-01-05	VIG
25	16145.0	16298.0	15232.0	16069.0	1009300	2010-01-06	VIG
26	17059.0	17135.0	16755.0	17135.0	1413600	2010-01-07	VIG
27	18202.0	18278.0	16374.0	17973.0	489100	2010-01-08	VIG
28	17516.0	17897.0	16755.0	16831.0	186400	2010-01-11	VIG
29	15688.0	15688.0	15688.0	15688.0	44100	2010-01-12	VIG
30	14622.0	15612.0	14622.0	14775.0	712200	2010-01-13	VIG
31	15688.0	15765.0	14927.0	15612.0	503400	2010-01-14	VIG
32	16679.0	16679.0	14546.0	14698.0	447400	2010-01-15	VIG
33	14698.0	14698.0	13708.0	13785.0	340700	2010-01-18	VIG
34	14013.0	14698.0	13785.0	14241.0	250500	2010-01-19	VIG
35	14698.0	14775.0	13328.0	13785.0	181000	2010-01-20	VIG
36	13861.0	13861.0	12871.0	13023.0	490200	2010-01-21	VIG
37	12947.0	13632.0	12414.0	13023.0	206100	2010-01-22	VIG
38	13328.0	13328.0	12947.0	13175.0	117900	2010-01-25	VIG
39	13708.0	14089.0	13251.0	13937.0	210100	2010-01-26	VIG
40	13937.0	14318.0	13023.0	13251.0	239500	2010-01-27	VIG
41	13251.0	13328.0	12795.0	13023.0	111500	2010-01-28	VIG
42	13099.0	13099.0	12642.0	12871.0	124800	2010-01-29	VIG
43	13023.0	13175.0	12871.0	13023.0	79100	2010-02-01	VIG
44	13632.0	13632.0	12871.0	13023.0	96100	2010-02-02	VIG
45	12947.0	13175.0	12795.0	12947.0	61000	2010-02-03	VIG
46	12947.0	13251.0	12871.0	13099.0	137800	2010-02-04	VIG
47	12947.0	13099.0	12718.0	12947.0	110400	2010-02-05	VIG
48	13099.0	13099.0	12718.0	12871.0	84000	2010-02-08	VIG
49	12871.0	12947.0	12566.0	12795.0	173700	2010-02-09	VIG
50	12947.0	13175.0	12718.0	12871.0	93100	2010-02-10	VIG
51	12947.0	13099.0	12871.0	12947.0	64200	2010-02-11	VIG
52	13251.0	13251.0	13023.0	13099.0	41500	2010-02-12	VIG
53	13251.0	13328.0	12947.0	13023.0	43400	2010-02-22	VIG
54	12795.0	12947.0	12566.0	12718.0	84400	2010-02-23	VIG
55	12871.0	13023.0	12642.0	12795.0	182000	2010-02-24	VIG
56	12947.0	13175.0	12795.0	13023.0	51900	2010-02-25	VIG
57	13023.0	13099.0	12642.0	12947.0	106700	2010-02-26	VIG
58	13023.0	13175.0	12795.0	12947.0	61000	2010-03-01	VIG
59	12947.0	13023.0	12718.0	12871.0	159900	2010-03-02	VIG
60	13023.0	13480.0	12947.0	13251.0	256200	2010-03-03	VIG
61	13480.0	14165.0	13480.0	14089.0	513600	2010-03-04	VIG
62	14851.0	15003.0	14470.0	14927.0	194200	2010-03-05	VIG
63	15917.0	15917.0	15612.0	15917.0	907300	2010-03-08	VIG
64	16983.0	16983.0	15232.0	15688.0	492100	2010-03-09	VIG
65	15155.0	15232.0	14622.0	14851.0	359100	2010-03-10	VIG
66	14470.0	15841.0	14470.0	15765.0	507200	2010-03-11	VIG
67	15384.0	16450.0	15308.0	16145.0	328900	2010-03-12	VIG
68	16145.0	16679.0	15460.0	15917.0	185600	2010-03-15	VIG
69	15232.0	15612.0	14851.0	15079.0	284000	2010-03-16	VIG
70	16069.0	16069.0	14470.0	15765.0	639900	2010-03-17	VIG
71	16069.0	16069.0	15308.0	15841.0	240800	2010-03-18	VIG
72	16355.0	16355.0	15407.0	15723.0	122300	2010-03-19	VIG
73	14775.0	15723.0	14696.0	15249.0	103300	2010-03-22	VIG
74	15091.0	15091.0	14301.0	14538.0	226300	2010-03-23	VIG
75	14696.0	15486.0	14617.0	15407.0	147400	2010-03-24	VIG
76	16197.0	16434.0	15012.0	15644.0	210600	2010-03-25	VIG
77	16592.0	16592.0	14933.0	15486.0	143400	2010-03-26	VIG
78	15486.0	15565.0	15012.0	15328.0	183200	2010-03-29	VIG
79	15407.0	16039.0	15012.0	15723.0	699600	2010-03-30	VIG
80	15723.0	15881.0	14854.0	15328.0	182500	2010-03-31	VIG
81	15723.0	15723.0	15012.0	15249.0	123000	2010-04-01	VIG
82	15249.0	15249.0	14854.0	14933.0	72400	2010-04-02	VIG
83	14933.0	15012.0	13906.0	14459.0	257800	2010-04-05	VIG
84	14301.0	14617.0	14222.0	14380.0	160900	2010-04-06	VIG
85	14380.0	14459.0	14222.0	14301.0	224500	2010-04-07	VIG
86	15300.0	15300.0	15200.0	15300.0	333300	2010-04-08	VIG
87	16000.0	16000.0	15300.0	15500.0	337500	2010-04-09	VIG
88	15600.0	15800.0	15400.0	15600.0	219100	2010-04-12	VIG
89	15600.0	15700.0	15000.0	15300.0	61500	2010-04-13	VIG
90	15200.0	15300.0	14800.0	15000.0	129100	2010-04-14	VIG
91	15100.0	15300.0	14900.0	15100.0	108200	2010-04-15	VIG
92	15300.0	15400.0	15000.0	15100.0	308300	2010-04-16	VIG
93	15100.0	15100.0	14500.0	14700.0	111000	2010-04-19	VIG
94	15000.0	15000.0	14600.0	14700.0	69800	2010-04-20	VIG
95	14500.0	14900.0	14500.0	14700.0	167000	2010-04-21	VIG
96	14900.0	15700.0	14900.0	15500.0	471500	2010-04-22	VIG
97	15700.0	16000.0	15000.0	15300.0	87300	2010-04-26	VIG
98	15400.0	15400.0	14900.0	15100.0	167700	2010-04-27	VIG
99	15000.0	15400.0	14800.0	15100.0	129800	2010-04-28	VIG
100	15200.0	15600.0	15100.0	15300.0	132700	2010-04-29	VIG
101	15600.0	16000.0	15400.0	15700.0	281700	2010-05-04	VIG
102	15800.0	15800.0	15300.0	15600.0	193900	2010-05-05	VIG
103	15600.0	16600.0	15600.0	16600.0	814000	2010-05-06	VIG
104	17600.0	17700.0	16600.0	17500.0	816800	2010-05-07	VIG
105	18500.0	18700.0	16700.0	18000.0	446300	2010-05-10	VIG
106	18500.0	18700.0	16800.0	16900.0	258100	2010-05-11	VIG
107	16000.0	16000.0	15800.0	15800.0	167000	2010-05-12	VIG
108	15800.0	16100.0	15000.0	15400.0	198900	2010-05-13	VIG
109	15400.0	16100.0	15400.0	15700.0	163100	2010-05-14	VIG
110	15700.0	15700.0	14800.0	15100.0	194700	2010-05-17	VIG
111	15000.0	15100.0	14500.0	14900.0	152100	2010-05-18	VIG
112	15000.0	15000.0	13900.0	14000.0	320900	2010-05-19	VIG
113	13500.0	14900.0	13200.0	14400.0	259400	2010-05-20	VIG
114	13500.0	14500.0	13400.0	13800.0	252500	2010-05-21	VIG
115	13400.0	14700.0	13400.0	14500.0	241800	2010-05-24	VIG
116	14500.0	15000.0	14000.0	14400.0	159500	2010-05-25	VIG
117	14400.0	14800.0	14000.0	14400.0	151300	2010-05-26	VIG
118	14300.0	14400.0	13500.0	14100.0	88200	2010-05-27	VIG
119	14700.0	15000.0	14600.0	15000.0	362000	2010-05-28	VIG
120	15600.0	15600.0	14500.0	14800.0	80200	2010-05-31	VIG
121	15000.0	15000.0	14600.0	14800.0	148100	2010-06-01	VIG
122	14800.0	14900.0	14600.0	14800.0	107700	2010-06-02	VIG
123	15100.0	15300.0	14700.0	14900.0	166300	2010-06-03	VIG
124	14800.0	14900.0	14600.0	14800.0	81400	2010-06-04	VIG
125	14100.0	14500.0	14000.0	14200.0	138700	2010-06-07	VIG
126	14300.0	14500.0	14000.0	14200.0	100000	2010-06-08	VIG
127	14500.0	14800.0	14300.0	14500.0	53800	2010-06-09	VIG
128	14900.0	15500.0	14800.0	15200.0	286800	2010-06-10	VIG
129	15800.0	15900.0	15000.0	15500.0	339400	2010-06-11	VIG
130	15500.0	15500.0	14900.0	15100.0	101000	2010-06-14	VIG
131	15000.0	15200.0	14800.0	15000.0	236400	2010-06-15	VIG
132	15500.0	15600.0	15100.0	15300.0	266100	2010-06-16	VIG
133	15400.0	15400.0	15000.0	15100.0	108100	2010-06-17	VIG
134	15000.0	15000.0	14800.0	14900.0	93800	2010-06-18	VIG
135	15000.0	15100.0	14900.0	15000.0	112500	2010-06-21	VIG
136	15000.0	15000.0	14600.0	14700.0	106800	2010-06-22	VIG
137	14400.0	15700.0	14400.0	15100.0	306200	2010-06-23	VIG
138	15100.0	15700.0	15100.0	15300.0	151800	2010-06-24	VIG
139	14600.0	15100.0	14500.0	14800.0	144900	2010-06-25	VIG
140	14800.0	14800.0	14600.0	14700.0	98700	2010-06-28	VIG
141	15000.0	15000.0	14600.0	14800.0	56400	2010-06-29	VIG
142	14500.0	14500.0	14000.0	14400.0	63500	2010-06-30	VIG
143	14300.0	14500.0	14100.0	14400.0	107700	2010-07-01	VIG
144	14400.0	14500.0	14300.0	14400.0	104200	2010-07-02	VIG
145	14500.0	14500.0	14200.0	14400.0	55900	2010-07-05	VIG
146	14100.0	14100.0	13800.0	14000.0	90400	2010-07-06	VIG
147	14300.0	14500.0	14000.0	14100.0	140300	2010-07-07	VIG
148	14500.0	14500.0	13800.0	14100.0	98900	2010-07-08	VIG
149	14500.0	14500.0	14100.0	14200.0	61300	2010-07-09	VIG
150	14500.0	14500.0	14100.0	14300.0	97200	2010-07-12	VIG
151	14500.0	15300.0	14300.0	14800.0	325300	2010-07-13	VIG
152	15400.0	15600.0	14800.0	15200.0	242100	2010-07-14	VIG
153	14900.0	15200.0	14300.0	14700.0	172200	2010-07-15	VIG
154	14400.0	14700.0	14200.0	14500.0	123100	2010-07-16	VIG
155	14500.0	14800.0	14300.0	14400.0	72000	2010-07-19	VIG
156	14700.0	14800.0	14200.0	14500.0	162500	2010-07-20	VIG
157	14400.0	14500.0	14100.0	14200.0	87200	2010-07-21	VIG
158	14200.0	15000.0	14200.0	14500.0	130700	2010-07-22	VIG
159	14700.0	14700.0	14200.0	14400.0	68100	2010-07-23	VIG
160	14600.0	14600.0	14000.0	14300.0	138700	2010-07-26	VIG
161	14400.0	14500.0	14200.0	14400.0	97200	2010-07-27	VIG
162	14500.0	14500.0	13900.0	14200.0	133000	2010-07-28	VIG
163	14200.0	14300.0	14000.0	14200.0	197800	2010-07-29	VIG
164	14000.0	14300.0	14000.0	14100.0	99900	2010-07-30	VIG
165	14100.0	14100.0	13800.0	14000.0	80900	2010-08-02	VIG
166	14100.0	14100.0	13900.0	14100.0	32300	2010-08-03	VIG
167	14000.0	14100.0	13600.0	14000.0	65300	2010-08-04	VIG
168	14000.0	14000.0	13600.0	13800.0	82100	2010-08-05	VIG
