	Open	High	Low	Close	Volume	TradingDate	Code
0	2938.0	3061.0	2768.0	2822.0	869800	2010-03-30	VND
1	2904.0	3014.0	2870.0	2966.0	542900	2010-03-31	VND
2	2979.0	3055.0	2973.0	3014.0	372900	2010-04-01	VND
3	3027.0	3027.0	2870.0	2966.0	569400	2010-04-02	VND
4	2938.0	3075.0	2870.0	2979.0	748500	2010-04-05	VND
5	3007.0	3075.0	2938.0	3007.0	724800	2010-04-06	VND
6	3007.0	3109.0	2945.0	3027.0	816300	2010-04-07	VND
7	3041.0	3109.0	3027.0	3068.0	1131600	2010-04-08	VND
8	3096.0	3280.0	3096.0	3246.0	934400	2010-04-09	VND
9	3417.0	3471.0	3348.0	3444.0	769400	2010-04-12	VND
10	3635.0	3670.0	3342.0	3396.0	756400	2010-04-13	VND
11	3348.0	3410.0	3260.0	3348.0	729000	2010-04-14	VND
12	3417.0	3485.0	3348.0	3389.0	903100	2010-04-15	VND
13	3417.0	3471.0	3383.0	3410.0	542500	2010-04-16	VND
14	3410.0	3478.0	3410.0	3437.0	716900	2010-04-19	VND
15	3417.0	3499.0	3410.0	3458.0	701600	2010-04-20	VND
16	3437.0	3697.0	3417.0	3574.0	974500	2010-04-21	VND
17	3690.0	3765.0	3615.0	3683.0	720600	2010-04-22	VND
18	3697.0	3724.0	3629.0	3697.0	933900	2010-04-26	VND
19	3690.0	3690.0	3588.0	3642.0	830900	2010-04-27	VND
20	3622.0	3635.0	3553.0	3594.0	601500	2010-04-28	VND
21	3656.0	3663.0	3608.0	3629.0	481500	2010-04-29	VND
22	3690.0	3758.0	3663.0	3697.0	753500	2010-05-04	VND
23	3697.0	3758.0	3663.0	3717.0	595800	2010-05-05	VND
24	3786.0	3977.0	3786.0	3827.0	605700	2010-05-06	VND
25	3827.0	3827.0	3588.0	3663.0	783500	2010-05-07	VND
26	3663.0	3663.0	3430.0	3465.0	943900	2010-05-10	VND
27	3553.0	3622.0	3485.0	3540.0	1001900	2010-05-11	VND
28	3485.0	3485.0	3301.0	3348.0	693900	2010-05-12	VND
29	3348.0	3478.0	3342.0	3376.0	597400	2010-05-13	VND
30	3383.0	3396.0	3342.0	3369.0	388200	2010-05-14	VND
31	3396.0	3396.0	3294.0	3335.0	349200	2010-05-17	VND
32	3348.0	3369.0	3287.0	3328.0	603100	2010-05-18	VND
33	3348.0	3458.0	3328.0	3376.0	701200	2010-05-19	VND
34	3417.0	3574.0	3246.0	3444.0	1066500	2010-05-20	VND
35	3417.0	3417.0	3280.0	3321.0	871000	2010-05-21	VND
36	3451.0	3451.0	3321.0	3362.0	528000	2010-05-24	VND
37	3417.0	3417.0	3280.0	3307.0	813400	2010-05-25	VND
38	3541.0	3541.0	3541.0	3541.0	1062700	2010-05-26	VND
39	3784.0	3784.0	3784.0	3784.0	279200	2010-05-27	VND
40	4041.0	4041.0	3977.0	4028.0	3003200	2010-05-28	VND
41	4041.0	4118.0	3977.0	4028.0	1319900	2010-05-31	VND
42	3913.0	4054.0	3784.0	3925.0	2359700	2010-06-01	VND
43	3925.0	3977.0	3874.0	3925.0	2267800	2010-06-02	VND
44	3977.0	4067.0	3925.0	3964.0	1858000	2010-06-03	VND
45	3977.0	3977.0	3874.0	3925.0	989800	2010-06-04	VND
46	3784.0	3784.0	3656.0	3720.0	991900	2010-06-07	VND
47	3656.0	3772.0	3643.0	3720.0	1257300	2010-06-08	VND
48	3784.0	3823.0	3707.0	3759.0	709100	2010-06-09	VND
49	3746.0	3784.0	3682.0	3707.0	361000	2010-06-10	VND
50	3772.0	3810.0	3707.0	3759.0	776100	2010-06-11	VND
51	3797.0	3810.0	3695.0	3733.0	1166700	2010-06-14	VND
52	3746.0	3772.0	3656.0	3720.0	803500	2010-06-15	VND
53	3733.0	3784.0	3682.0	3733.0	1002100	2010-06-16	VND
54	3733.0	3810.0	3707.0	3759.0	2036000	2010-06-17	VND
55	3797.0	3964.0	3784.0	3900.0	1606600	2010-06-18	VND
56	3964.0	4169.0	3964.0	4118.0	2007100	2010-06-21	VND
