	Open	High	Low	Close	Volume	TradingDate	Code
0	15710.0	15710.0	15710.0	15710.0	83530	2006-12-13	FPT
1	16495.0	16495.0	16495.0	16495.0	280710	2006-12-14	FPT
2	17320.0	17320.0	17320.0	17320.0	265300	2006-12-15	FPT
3	18184.0	18184.0	18184.0	18184.0	215790	2006-12-18	FPT
4	19087.0	19087.0	19087.0	19087.0	137520	2006-12-19	FPT
5	20030.0	20030.0	20030.0	20030.0	220120	2006-12-20	FPT
6	19677.0	19677.0	19048.0	19048.0	156400	2006-12-21	FPT
7	18106.0	18106.0	18106.0	18106.0	143500	2006-12-22	FPT
8	17202.0	17202.0	17202.0	17202.0	22140	2006-12-25	FPT
9	16378.0	18027.0	16378.0	18027.0	300150	2006-12-26	FPT
10	18852.0	18852.0	18027.0	18852.0	413230	2006-12-27	FPT
11	18459.0	18852.0	18459.0	18852.0	144840	2006-12-28	FPT
12	18263.0	18263.0	18066.0	18066.0	69760	2006-12-29	FPT
13	17674.0	17674.0	17281.0	17281.0	81170	2007-01-02	FPT
14	17281.0	17674.0	17281.0	17674.0	74660	2007-01-03	FPT
15	18538.0	18538.0	18538.0	18538.0	148510	2007-01-04	FPT
16	19441.0	19441.0	19441.0	19441.0	377800	2007-01-05	FPT
17	20030.0	20030.0	19245.0	19245.0	351470	2007-01-08	FPT
18	19441.0	19441.0	19245.0	19245.0	225270	2007-01-09	FPT
19	19245.0	19441.0	19245.0	19441.0	314250	2007-01-10	FPT
20	19637.0	19637.0	19637.0	19637.0	283920	2007-01-11	FPT
21	20619.0	20619.0	20619.0	20619.0	279710	2007-01-12	FPT
22	21012.0	21640.0	21012.0	21640.0	274290	2007-01-15	FPT
23	22701.0	22701.0	22701.0	22701.0	339760	2007-01-16	FPT
24	23526.0	23526.0	21601.0	21601.0	145870	2007-01-17	FPT
25	20541.0	21640.0	20541.0	21640.0	282430	2007-01-18	FPT
26	22701.0	22701.0	22701.0	22701.0	95290	2007-01-19	FPT
27	23800.0	23800.0	23565.0	23565.0	461630	2007-01-22	FPT
28	23565.0	23643.0	23565.0	23643.0	243990	2007-01-23	FPT
