	Open	High	Low	Close	Volume	TradingDate	Code
0	18975.0	18975.0	18975.0	18975.0	0	2020-01-15	ICT
1	14170.0	14170.0	14170.0	14170.0	4800	2020-01-16	ICT
2	13184.0	13184.0	13184.0	13184.0	10440	2020-01-17	ICT
3	12281.0	13184.0	12281.0	13184.0	23100	2020-01-20	ICT
4	13184.0	14088.0	12322.0	14088.0	12030	2020-01-21	ICT
5	13965.0	13965.0	13102.0	13102.0	5560	2020-01-22	ICT
6	12322.0	12322.0	12198.0	12198.0	17300	2020-01-30	ICT
7	11665.0	11911.0	11377.0	11377.0	12900	2020-01-31	ICT
8	11418.0	11418.0	10597.0	10597.0	11140	2020-02-03	ICT
9	10391.0	11090.0	10022.0	10597.0	28040	2020-02-04	ICT
10	10597.0	10597.0	10515.0	10597.0	10350	2020-02-05	ICT
11	10597.0	11336.0	10597.0	11336.0	17690	2020-02-06	ICT
12	11090.0	11418.0	11090.0	11090.0	16480	2020-02-07	ICT
13	11336.0	11336.0	10843.0	11090.0	7790	2020-02-10	ICT
14	11090.0	11090.0	11090.0	11090.0	0	2020-02-11	ICT
15	11172.0	11829.0	11090.0	11213.0	22750	2020-02-12	ICT
16	11213.0	11213.0	11172.0	11172.0	13430	2020-02-13	ICT
17	11500.0	11500.0	11500.0	11500.0	500	2020-02-14	ICT
18	11500.0	11500.0	11090.0	11172.0	13020	2020-02-17	ICT
19	11131.0	11172.0	11007.0	11172.0	42070	2020-02-18	ICT
20	11172.0	11172.0	11048.0	11172.0	7320	2020-02-19	ICT
21	11090.0	11418.0	11090.0	11418.0	21790	2020-02-20	ICT
22	11500.0	11500.0	11500.0	11500.0	10	2020-02-21	ICT
23	11500.0	11500.0	11090.0	11418.0	34170	2020-02-24	ICT
24	11090.0	11500.0	11090.0	11172.0	36100	2020-02-25	ICT
25	11172.0	11500.0	11172.0	11418.0	10760	2020-02-26	ICT
26	11418.0	11911.0	11418.0	11911.0	4160	2020-02-27	ICT
27	11500.0	11500.0	11500.0	11500.0	3020	2020-02-28	ICT
28	11172.0	11418.0	11172.0	11418.0	5000	2020-03-02	ICT
29	11500.0	11500.0	11418.0	11418.0	4600	2020-03-03	ICT
30	11418.0	11418.0	11172.0	11172.0	29400	2020-03-04	ICT
31	11172.0	11172.0	11172.0	11172.0	53010	2020-03-05	ICT
32	11254.0	11254.0	11090.0	11172.0	82280	2020-03-06	ICT
33	11172.0	11172.0	10597.0	10679.0	4040	2020-03-09	ICT
34	11418.0	11418.0	10679.0	11007.0	27140	2020-03-10	ICT
35	11007.0	11007.0	10679.0	10925.0	14130	2020-03-11	ICT
36	10679.0	10761.0	10186.0	10597.0	27080	2020-03-12	ICT
37	10432.0	10597.0	9940.0	10473.0	17480	2020-03-13	ICT
38	11007.0	11007.0	10432.0	10432.0	6630	2020-03-16	ICT
39	10186.0	10679.0	10186.0	10268.0	5480	2020-03-17	ICT
40	9652.0	10350.0	9652.0	10350.0	19650	2020-03-18	ICT
41	10022.0	10679.0	10022.0	10268.0	16730	2020-03-19	ICT
42	10350.0	10432.0	10268.0	10309.0	6460	2020-03-20	ICT
43	10268.0	10268.0	10022.0	10104.0	15730	2020-03-23	ICT
44	9857.0	10597.0	9857.0	10597.0	4010	2020-03-24	ICT
45	10597.0	10597.0	10432.0	10432.0	1090	2020-03-25	ICT
46	10432.0	10432.0	9775.0	9775.0	21800	2020-03-26	ICT
47	9775.0	10104.0	9775.0	9940.0	2140	2020-03-27	ICT
48	9857.0	10022.0	9775.0	10022.0	6850	2020-03-30	ICT
49	10186.0	10268.0	9857.0	9857.0	8100	2020-03-31	ICT
50	10186.0	10268.0	10186.0	10268.0	1700	2020-04-01	ICT
51	10268.0	10679.0	10268.0	10350.0	6750	2020-04-03	ICT
52	10350.0	10843.0	10268.0	10843.0	32820	2020-04-06	ICT
53	10515.0	10679.0	10515.0	10597.0	3210	2020-04-07	ICT
54	10638.0	10679.0	10515.0	10515.0	2180	2020-04-08	ICT
55	10515.0	10679.0	10432.0	10432.0	18490	2020-04-09	ICT
56	10679.0	10679.0	10350.0	10350.0	8960	2020-04-10	ICT
57	10350.0	10679.0	10350.0	10391.0	12720	2020-04-13	ICT
58	10679.0	10679.0	10391.0	10391.0	2060	2020-04-14	ICT
59	10597.0	10597.0	10309.0	10597.0	16720	2020-04-15	ICT
60	10268.0	10350.0	10268.0	10309.0	15190	2020-04-16	ICT
61	10350.0	10597.0	10268.0	10309.0	8580	2020-04-17	ICT
62	10309.0	10515.0	10268.0	10515.0	9230	2020-04-20	ICT
63	10432.0	10432.0	10104.0	10186.0	3010	2020-04-21	ICT
64	10022.0	10432.0	10022.0	10186.0	6180	2020-04-22	ICT
65	10186.0	10597.0	9857.0	10473.0	20110	2020-04-23	ICT
66	10432.0	10638.0	10268.0	10638.0	5010	2020-04-24	ICT
67	10515.0	10925.0	10515.0	10761.0	14350	2020-04-27	ICT
68	11172.0	11500.0	11090.0	11500.0	80140	2020-04-28	ICT
69	12281.0	12281.0	12281.0	12281.0	33060	2020-04-29	ICT
70	13102.0	13102.0	13102.0	13102.0	45780	2020-05-04	ICT
71	14006.0	14006.0	12568.0	12568.0	201620	2020-05-05	ICT
72	12568.0	12979.0	12568.0	12979.0	22960	2020-05-06	ICT
73	12322.0	13307.0	12322.0	12691.0	15450	2020-05-07	ICT
74	12322.0	13554.0	12322.0	13554.0	126050	2020-05-08	ICT
75	14252.0	14252.0	13636.0	13759.0	89790	2020-05-11	ICT
76	13225.0	13882.0	13225.0	13472.0	35670	2020-05-12	ICT
77	13307.0	13307.0	12815.0	12897.0	79060	2020-05-13	ICT
78	12897.0	13554.0	12650.0	13143.0	44730	2020-05-14	ICT
79	13143.0	13143.0	12815.0	12979.0	15710	2020-05-15	ICT
80	13800.0	13800.0	13061.0	13307.0	21480	2020-05-18	ICT
81	13307.0	13307.0	12979.0	13266.0	15480	2020-05-19	ICT
82	13061.0	13143.0	12691.0	12732.0	36690	2020-05-20	ICT
83	12650.0	13143.0	12650.0	13143.0	46000	2020-05-21	ICT
84	12897.0	13143.0	12732.0	13061.0	29560	2020-05-22	ICT
85	12938.0	13061.0	12773.0	12979.0	38310	2020-05-25	ICT
86	13061.0	13390.0	13020.0	13307.0	85610	2020-05-26	ICT
87	13636.0	13636.0	12979.0	12979.0	18610	2020-05-27	ICT
88	12979.0	13143.0	12732.0	12732.0	37330	2020-05-28	ICT
89	12486.0	12897.0	12486.0	12732.0	17080	2020-05-29	ICT
90	12938.0	13061.0	12815.0	12938.0	28760	2020-06-01	ICT
91	12938.0	13020.0	12773.0	12897.0	33250	2020-06-02	ICT
92	12938.0	12979.0	12856.0	12979.0	9680	2020-06-03	ICT
93	12979.0	13143.0	12979.0	13061.0	50110	2020-06-04	ICT
94	13143.0	13965.0	13143.0	13718.0	170500	2020-06-05	ICT
95	13924.0	14663.0	13636.0	14663.0	209260	2020-06-08	ICT
96	14663.0	15197.0	14457.0	15197.0	77150	2020-06-09	ICT
97	14622.0	14786.0	14211.0	14293.0	40810	2020-06-10	ICT
98	14786.0	14786.0	13472.0	13472.0	108720	2020-06-11	ICT
99	13143.0	13718.0	12815.0	13718.0	56810	2020-06-12	ICT
100	14047.0	14047.0	12815.0	13061.0	33750	2020-06-15	ICT
101	13390.0	13965.0	13061.0	13965.0	25750	2020-06-16	ICT
102	13965.0	14293.0	13307.0	13965.0	31320	2020-06-17	ICT
103	14293.0	14293.0	13431.0	14211.0	32010	2020-06-18	ICT
104	14457.0	15197.0	14334.0	15197.0	393260	2020-06-19	ICT
105	16224.0	16224.0	15279.0	16224.0	239410	2020-06-22	ICT
106	17045.0	17333.0	16593.0	17086.0	259410	2020-06-23	ICT
107	17250.0	17291.0	16018.0	16018.0	105540	2020-06-24	ICT
108	15772.0	17127.0	15772.0	17004.0	156910	2020-06-25	ICT
109	17004.0	18072.0	16429.0	17620.0	188260	2020-06-26	ICT
110	16593.0	17086.0	16429.0	16429.0	131730	2020-06-29	ICT
111	16100.0	16511.0	15607.0	15607.0	98190	2020-06-30	ICT
