	Open	High	Low	Close	Volume	TradingDate	Code
0	1424.0	1424.0	1424.0	1424.0	24700	2001-01-03	SAM
1	1449.0	1449.0	1449.0	1449.0	40300	2001-01-05	SAM
2	1474.0	1474.0	1474.0	1474.0	39500	2001-01-08	SAM
3	1504.0	1504.0	1504.0	1504.0	146200	2001-01-10	SAM
4	1533.0	1533.0	1533.0	1533.0	180600	2001-01-12	SAM
5	1533.0	1533.0	1533.0	1533.0	73600	2001-01-15	SAM
6	1563.0	1563.0	1563.0	1563.0	64300	2001-01-17	SAM
7	1592.0	1592.0	1592.0	1592.0	13400	2001-01-19	SAM
8	1622.0	1622.0	1622.0	1622.0	5800	2001-01-29	SAM
9	1651.0	1651.0	1651.0	1651.0	300	2001-01-31	SAM
10	1681.0	1681.0	1681.0	1681.0	15300	2001-02-02	SAM
11	1710.0	1710.0	1710.0	1710.0	300	2001-02-05	SAM
12	1744.0	1744.0	1744.0	1744.0	5900	2001-02-07	SAM
13	1777.0	1777.0	1777.0	1777.0	165100	2001-02-09	SAM
14	1744.0	1744.0	1744.0	1744.0	44900	2001-02-12	SAM
15	1710.0	1710.0	1710.0	1710.0	1500	2001-02-14	SAM
16	1676.0	1676.0	1676.0	1676.0	300	2001-02-16	SAM
17	1647.0	1647.0	1647.0	1647.0	500	2001-02-19	SAM
18	1617.0	1617.0	1617.0	1617.0	91700	2001-02-21	SAM
19	1647.0	1647.0	1647.0	1647.0	91400	2001-02-23	SAM
20	1676.0	1676.0	1676.0	1676.0	38800	2001-02-26	SAM
21	1647.0	1647.0	1647.0	1647.0	80000	2001-02-28	SAM
22	1617.0	1617.0	1617.0	1617.0	37300	2001-03-02	SAM
23	1588.0	1588.0	1588.0	1588.0	66400	2001-03-05	SAM
24	1563.0	1563.0	1563.0	1563.0	151200	2001-03-07	SAM
25	1592.0	1592.0	1592.0	1592.0	68600	2001-03-09	SAM
26	1600.0	1600.0	1600.0	1600.0	66000	2001-03-12	SAM
27	1600.0	1600.0	1600.0	1600.0	84100	2001-03-14	SAM
28	1600.0	1600.0	1600.0	1600.0	52800	2001-03-16	SAM
29	1617.0	1617.0	1617.0	1617.0	56000	2001-03-19	SAM
30	1617.0	1617.0	1617.0	1617.0	33000	2001-03-21	SAM
31	1617.0	1617.0	1617.0	1617.0	110500	2001-03-23	SAM
32	1643.0	1643.0	1643.0	1643.0	48300	2001-03-26	SAM
33	1672.0	1672.0	1672.0	1672.0	72900	2001-03-28	SAM
34	1702.0	1702.0	1702.0	1702.0	23000	2001-03-30	SAM
35	1735.0	1735.0	1735.0	1735.0	119400	2001-04-02	SAM
36	1769.0	1769.0	1769.0	1769.0	44400	2001-04-04	SAM
37	1803.0	1803.0	1803.0	1803.0	7700	2001-04-06	SAM
38	1836.0	1836.0	1836.0	1836.0	63700	2001-04-09	SAM
39	1870.0	1870.0	1870.0	1870.0	56000	2001-04-11	SAM
40	1904.0	1904.0	1904.0	1904.0	22800	2001-04-13	SAM
41	1942.0	1942.0	1942.0	1942.0	7700	2001-04-16	SAM
42	1980.0	1980.0	1980.0	1980.0	20200	2001-04-18	SAM
43	2017.0	2017.0	2017.0	2017.0	71300	2001-04-20	SAM
44	1980.0	1980.0	1980.0	1980.0	106000	2001-04-23	SAM
45	1942.0	1942.0	1942.0	1942.0	280200	2001-04-25	SAM
46	1980.0	1980.0	1980.0	1980.0	15600	2001-04-27	SAM
47	2017.0	2017.0	2017.0	2017.0	7300	2001-05-02	SAM
48	2055.0	2055.0	2055.0	2055.0	76800	2001-05-04	SAM
49	2093.0	2093.0	2093.0	2093.0	25500	2001-05-07	SAM
50	2127.0	2127.0	2127.0	2127.0	75700	2001-05-09	SAM
51	2169.0	2169.0	2169.0	2169.0	16700	2001-05-11	SAM
52	2211.0	2211.0	2211.0	2211.0	11700	2001-05-14	SAM
53	2253.0	2253.0	2253.0	2253.0	16400	2001-05-16	SAM
54	2295.0	2295.0	2295.0	2295.0	34900	2001-05-18	SAM
55	2338.0	2338.0	2338.0	2338.0	27200	2001-05-21	SAM
56	2380.0	2380.0	2380.0	2380.0	157200	2001-05-23	SAM
57	2422.0	2422.0	2422.0	2422.0	35800	2001-05-25	SAM
58	2464.0	2464.0	2464.0	2464.0	11300	2001-05-28	SAM
59	2506.0	2506.0	2506.0	2506.0	1900	2001-05-30	SAM
60	2548.0	2548.0	2548.0	2548.0	2200	2001-06-01	SAM
61	2590.0	2590.0	2590.0	2590.0	900	2001-06-04	SAM
62	2632.0	2632.0	2632.0	2632.0	4100	2001-06-06	SAM
63	2590.0	2590.0	2590.0	2590.0	119300	2001-06-08	SAM
64	2548.0	2548.0	2548.0	2548.0	222500	2001-06-11	SAM
65	2717.0	2717.0	2717.0	2717.0	40500	2001-06-13	SAM
66	2906.0	2906.0	2906.0	2906.0	37500	2001-06-15	SAM
67	3096.0	3096.0	3096.0	3096.0	127100	2001-06-18	SAM
68	3306.0	3306.0	3306.0	3306.0	91200	2001-06-20	SAM
69	3117.0	3117.0	3117.0	3117.0	194500	2001-06-22	SAM
70	3117.0	3117.0	3117.0	3117.0	139600	2001-06-25	SAM
71	2906.0	2906.0	2906.0	2906.0	45500	2001-06-27	SAM
72	2717.0	2717.0	2717.0	2717.0	38500	2001-06-29	SAM
73	2906.0	2906.0	2906.0	2906.0	124500	2001-07-02	SAM
74	2948.0	2948.0	2948.0	2948.0	99300	2001-07-04	SAM
75	2864.0	2864.0	2864.0	2864.0	82500	2001-07-06	SAM
76	2674.0	2674.0	2674.0	2674.0	52200	2001-07-09	SAM
77	2464.0	2464.0	2464.0	2464.0	68200	2001-07-11	SAM
78	2464.0	2464.0	2464.0	2464.0	114800	2001-07-13	SAM
79	2506.0	2506.0	2506.0	2506.0	49800	2001-07-16	SAM
80	2674.0	2674.0	2674.0	2674.0	17600	2001-07-18	SAM
81	2843.0	2843.0	2843.0	2843.0	23500	2001-07-20	SAM
82	2653.0	2653.0	2653.0	2653.0	106200	2001-07-23	SAM
83	2738.0	2738.0	2738.0	2738.0	54100	2001-07-25	SAM
84	2674.0	2674.0	2674.0	2674.0	37700	2001-07-27	SAM
85	2548.0	2548.0	2548.0	2548.0	44500	2001-07-30	SAM
86	2380.0	2380.0	2380.0	2380.0	72400	2001-08-01	SAM
87	2232.0	2232.0	2232.0	2232.0	39700	2001-08-03	SAM
88	2076.0	2076.0	2076.0	2076.0	24000	2001-08-06	SAM
89	2211.0	2211.0	2211.0	2211.0	84700	2001-08-08	SAM
90	2359.0	2359.0	2359.0	2359.0	39000	2001-08-10	SAM
91	2211.0	2211.0	2211.0	2211.0	81600	2001-08-13	SAM
92	2060.0	2060.0	2060.0	2060.0	50100	2001-08-15	SAM
93	1916.0	1916.0	1916.0	1916.0	141300	2001-08-17	SAM
94	1790.0	1790.0	1790.0	1790.0	101500	2001-08-20	SAM
95	1912.0	1912.0	1912.0	1912.0	36000	2001-08-22	SAM
96	1782.0	1782.0	1782.0	1782.0	86200	2001-08-24	SAM
97	1659.0	1659.0	1659.0	1659.0	40700	2001-08-27	SAM
98	1546.0	1546.0	1546.0	1546.0	99300	2001-08-29	SAM
99	1651.0	1651.0	1651.0	1651.0	83900	2001-08-31	SAM
100	1765.0	1765.0	1765.0	1765.0	14200	2001-09-05	SAM
101	1887.0	1887.0	1887.0	1887.0	75200	2001-09-07	SAM
102	1756.0	1756.0	1756.0	1756.0	153000	2001-09-10	SAM
103	1769.0	1769.0	1769.0	1769.0	90400	2001-09-12	SAM
104	1769.0	1769.0	1769.0	1769.0	77800	2001-09-14	SAM
105	1672.0	1672.0	1672.0	1672.0	56400	2001-09-17	SAM
106	1748.0	1748.0	1748.0	1748.0	82300	2001-09-19	SAM
107	1727.0	1727.0	1727.0	1727.0	46000	2001-09-21	SAM
108	1626.0	1626.0	1626.0	1626.0	80600	2001-09-24	SAM
109	1558.0	1558.0	1558.0	1558.0	56800	2001-09-26	SAM
110	1558.0	1558.0	1558.0	1558.0	66700	2001-09-28	SAM
111	1453.0	1453.0	1453.0	1453.0	110700	2001-10-01	SAM
112	1352.0	1352.0	1352.0	1352.0	50000	2001-10-03	SAM
113	1285.0	1285.0	1285.0	1285.0	147800	2001-10-05	SAM
114	1373.0	1373.0	1373.0	1373.0	22200	2001-10-08	SAM
115	1398.0	1398.0	1398.0	1398.0	200	2001-10-10	SAM
116	1424.0	1424.0	1424.0	1424.0	500	2001-10-12	SAM
117	1449.0	1449.0	1449.0	1449.0	200	2001-10-15	SAM
118	1474.0	1474.0	1474.0	1474.0	200	2001-10-17	SAM
119	1504.0	1504.0	1504.0	1504.0	100	2001-10-19	SAM
120	1533.0	1533.0	1533.0	1533.0	800	2001-10-22	SAM
121	1563.0	1563.0	1563.0	1563.0	100	2001-10-24	SAM
122	1592.0	1592.0	1592.0	1592.0	1700	2001-10-26	SAM
123	1622.0	1622.0	1622.0	1622.0	27200	2001-10-29	SAM
124	1651.0	1651.0	1651.0	1651.0	2700	2001-10-31	SAM
125	1681.0	1681.0	1681.0	1681.0	30700	2001-11-02	SAM
126	1710.0	1710.0	1710.0	1710.0	33800	2001-11-05	SAM
127	1744.0	1744.0	1744.0	1744.0	4000	2001-11-07	SAM
128	1777.0	1777.0	1777.0	1777.0	1300	2001-11-09	SAM
129	1811.0	1811.0	1811.0	1811.0	4100	2001-11-12	SAM
130	1845.0	1845.0	1845.0	1845.0	2100	2001-11-14	SAM
131	1878.0	1878.0	1878.0	1878.0	6900	2001-11-16	SAM
132	1912.0	1912.0	1912.0	1912.0	4300	2001-11-19	SAM
133	1874.0	1874.0	1874.0	1874.0	100800	2001-11-21	SAM
134	1841.0	1841.0	1841.0	1841.0	79100	2001-11-23	SAM
135	1874.0	1874.0	1874.0	1874.0	80700	2001-11-26	SAM
136	1841.0	1841.0	1841.0	1841.0	56500	2001-11-28	SAM
137	1807.0	1807.0	1807.0	1807.0	11200	2001-11-30	SAM
138	1773.0	1773.0	1773.0	1773.0	4000	2001-12-03	SAM
139	1739.0	1739.0	1739.0	1739.0	2000	2001-12-05	SAM
140	1706.0	1706.0	1706.0	1706.0	11500	2001-12-07	SAM
141	1672.0	1672.0	1672.0	1672.0	60200	2001-12-10	SAM
142	1643.0	1643.0	1643.0	1643.0	21200	2001-12-12	SAM
143	1613.0	1613.0	1613.0	1613.0	20600	2001-12-14	SAM
144	1584.0	1584.0	1584.0	1584.0	5800	2001-12-17	SAM
145	1554.0	1554.0	1554.0	1554.0	4400	2001-12-19	SAM
146	1584.0	1584.0	1584.0	1584.0	65000	2001-12-21	SAM
147	1554.0	1554.0	1554.0	1554.0	45900	2001-12-24	SAM
148	1525.0	1525.0	1525.0	1525.0	6200	2001-12-26	SAM
149	1495.0	1495.0	1495.0	1495.0	3500	2001-12-28	SAM
150	1466.0	1466.0	1466.0	1466.0	400	2001-12-31	SAM
151	1440.0	1440.0	1440.0	1440.0	1200	2002-01-02	SAM
152	1415.0	1415.0	1415.0	1415.0	2900	2002-01-04	SAM
153	1415.0	1415.0	1415.0	1415.0	86700	2002-01-07	SAM
154	1390.0	1390.0	1390.0	1390.0	34500	2002-01-09	SAM
155	1365.0	1365.0	1365.0	1365.0	14100	2002-01-11	SAM
156	1297.0	1297.0	1297.0	1297.0	8300	2002-01-14	SAM
157	1272.0	1272.0	1272.0	1272.0	1500	2002-01-16	SAM
158	1247.0	1247.0	1247.0	1247.0	3000	2002-01-18	SAM
159	1226.0	1226.0	1226.0	1226.0	2900	2002-01-21	SAM
160	1247.0	1247.0	1247.0	1247.0	64300	2002-01-23	SAM
161	1268.0	1268.0	1268.0	1268.0	11300	2002-01-25	SAM
162	1293.0	1293.0	1293.0	1293.0	44700	2002-01-28	SAM
163	1293.0	1293.0	1293.0	1293.0	129600	2002-01-30	SAM
164	1242.0	1242.0	1242.0	1242.0	29700	2002-02-01	SAM
165	1221.0	1221.0	1221.0	1221.0	68200	2002-02-04	SAM
166	1242.0	1242.0	1242.0	1242.0	25100	2002-02-06	SAM
167	1242.0	1242.0	1242.0	1242.0	45600	2002-02-08	SAM
168	1221.0	1221.0	1221.0	1221.0	10100	2002-02-18	SAM
169	1200.0	1200.0	1200.0	1200.0	8200	2002-02-20	SAM
170	1179.0	1179.0	1179.0	1179.0	8000	2002-02-22	SAM
171	1158.0	1158.0	1158.0	1158.0	5500	2002-02-25	SAM
172	1137.0	1137.0	1137.0	1137.0	7200	2002-02-27	SAM
173	1158.0	1158.0	1158.0	1158.0	127200	2002-03-01	SAM
174	1137.0	1137.0	1137.0	1137.0	24200	2002-03-04	SAM
175	1116.0	1116.0	1116.0	1116.0	5300	2002-03-05	SAM
176	1095.0	1095.0	1095.0	1095.0	16100	2002-03-06	SAM
177	1074.0	1074.0	1074.0	1074.0	3400	2002-03-07	SAM
178	1053.0	1053.0	1053.0	1053.0	5900	2002-03-08	SAM
179	1032.0	1032.0	1032.0	1032.0	122700	2002-03-11	SAM
180	1049.0	1049.0	1049.0	1049.0	25100	2002-03-12	SAM
181	1066.0	1066.0	1066.0	1066.0	9600	2002-03-13	SAM
182	1087.0	1087.0	1087.0	1087.0	4800	2002-03-14	SAM
183	1108.0	1108.0	1108.0	1108.0	14700	2002-03-15	SAM
184	1087.0	1087.0	1087.0	1087.0	114300	2002-03-18	SAM
185	1066.0	1066.0	1066.0	1066.0	28600	2002-03-19	SAM
186	1087.0	1087.0	1087.0	1087.0	48500	2002-03-20	SAM
187	1108.0	1108.0	1108.0	1108.0	31500	2002-03-21	SAM
188	1087.0	1087.0	1087.0	1087.0	25600	2002-03-22	SAM
189	1108.0	1108.0	1108.0	1108.0	22000	2002-03-25	SAM
190	1129.0	1129.0	1129.0	1129.0	4200	2002-03-26	SAM
191	1150.0	1150.0	1150.0	1150.0	20500	2002-03-27	SAM
192	1171.0	1171.0	1171.0	1171.0	19000	2002-03-28	SAM
193	1192.0	1192.0	1192.0	1192.0	13100	2002-03-29	SAM
194	1213.0	1213.0	1213.0	1213.0	7800	2002-04-01	SAM
195	1200.0	1200.0	1200.0	1200.0	72600	2002-04-02	SAM
196	1184.0	1184.0	1184.0	1184.0	100300	2002-04-03	SAM
197	1171.0	1171.0	1171.0	1171.0	38900	2002-04-04	SAM
198	1158.0	1158.0	1158.0	1158.0	28600	2002-04-05	SAM
199	1179.0	1179.0	1179.0	1179.0	29800	2002-04-08	SAM
200	1179.0	1179.0	1179.0	1179.0	31200	2002-04-09	SAM
201	1188.0	1188.0	1188.0	1188.0	35300	2002-04-10	SAM
202	1179.0	1179.0	1179.0	1179.0	34100	2002-04-11	SAM
203	1179.0	1179.0	1179.0	1179.0	24400	2002-04-12	SAM
204	1192.0	1192.0	1192.0	1192.0	23000	2002-04-15	SAM
205	1175.0	1175.0	1175.0	1175.0	26700	2002-04-16	SAM
206	1162.0	1162.0	1162.0	1162.0	11700	2002-04-17	SAM
207	1184.0	1184.0	1184.0	1184.0	7700	2002-04-18	SAM
208	1192.0	1192.0	1192.0	1192.0	25300	2002-04-19	SAM
209	1184.0	1184.0	1184.0	1184.0	24600	2002-04-22	SAM
210	1192.0	1192.0	1192.0	1192.0	28300	2002-04-23	SAM
211	1213.0	1213.0	1213.0	1213.0	35500	2002-04-24	SAM
212	1217.0	1217.0	1217.0	1217.0	23600	2002-04-25	SAM
213	1217.0	1217.0	1217.0	1217.0	44000	2002-04-26	SAM
214	1238.0	1238.0	1238.0	1238.0	23800	2002-05-02	SAM
215	1259.0	1259.0	1259.0	1259.0	8300	2002-05-03	SAM
216	1259.0	1259.0	1259.0	1259.0	46900	2002-05-06	SAM
217	1238.0	1238.0	1238.0	1238.0	46800	2002-05-07	SAM
218	1217.0	1217.0	1217.0	1217.0	16400	2002-05-08	SAM
219	1238.0	1238.0	1238.0	1238.0	7700	2002-05-09	SAM
220	1238.0	1238.0	1238.0	1238.0	23600	2002-05-10	SAM
221	1221.0	1221.0	1221.0	1221.0	27300	2002-05-13	SAM
222	1234.0	1234.0	1234.0	1234.0	6800	2002-05-14	SAM
223	1238.0	1238.0	1238.0	1238.0	29500	2002-05-15	SAM
224	1259.0	1259.0	1259.0	1259.0	46000	2002-05-16	SAM
225	1259.0	1259.0	1259.0	1259.0	21800	2002-05-17	SAM
226	1259.0	1259.0	1259.0	1259.0	34300	2002-05-20	SAM
227	1259.0	1259.0	1259.0	1259.0	15900	2002-05-21	SAM
228	1259.0	1259.0	1259.0	1259.0	25200	2002-05-22	SAM
229	1259.0	1259.0	1259.0	1259.0	31100	2002-05-23	SAM
230	1259.0	1259.0	1259.0	1259.0	41700	2002-05-24	SAM
231	1259.0	1259.0	1259.0	1259.0	34000	2002-05-27	SAM
232	1259.0	1259.0	1259.0	1259.0	56700	2002-05-28	SAM
233	1259.0	1259.0	1259.0	1259.0	33400	2002-05-29	SAM
234	1259.0	1259.0	1259.0	1259.0	6500	2002-05-30	SAM
235	1280.0	1280.0	1280.0	1280.0	21900	2002-05-31	SAM
236	1285.0	1285.0	1285.0	1285.0	14400	2002-06-03	SAM
237	1264.0	1264.0	1264.0	1264.0	4900	2002-06-04	SAM
238	1264.0	1264.0	1264.0	1264.0	2000	2002-06-05	SAM
239	1264.0	1264.0	1264.0	1264.0	25300	2002-06-06	SAM
240	1242.0	1242.0	1242.0	1242.0	10300	2002-06-07	SAM
241	1242.0	1242.0	1242.0	1242.0	10600	2002-06-10	SAM
242	1242.0	1242.0	1242.0	1242.0	2000	2002-06-11	SAM
243	1242.0	1242.0	1242.0	1242.0	5700	2002-06-12	SAM
244	1226.0	1226.0	1226.0	1226.0	8200	2002-06-13	SAM
245	1209.0	1209.0	1209.0	1209.0	25100	2002-06-14	SAM
246	1192.0	1192.0	1192.0	1192.0	10000	2002-06-17	SAM
247	1175.0	1175.0	1175.0	1175.0	13300	2002-06-18	SAM
248	1154.0	1154.0	1154.0	1154.0	18400	2002-06-19	SAM
249	1175.0	1175.0	1175.0	1175.0	14100	2002-06-20	SAM
250	1196.0	1196.0	1196.0	1196.0	800	2002-06-21	SAM
251	1217.0	1217.0	1217.0	1217.0	400	2002-06-24	SAM
252	1217.0	1217.0	1217.0	1217.0	13100	2002-06-25	SAM
253	1217.0	1217.0	1217.0	1217.0	34000	2002-06-26	SAM
254	1217.0	1217.0	1217.0	1217.0	19300	2002-06-27	SAM
255	1238.0	1238.0	1238.0	1238.0	32300	2002-06-28	SAM
256	1226.0	1226.0	1226.0	1226.0	21900	2002-07-01	SAM
257	1226.0	1226.0	1226.0	1226.0	6700	2002-07-02	SAM
258	1221.0	1221.0	1221.0	1221.0	14600	2002-07-03	SAM
259	1221.0	1221.0	1221.0	1221.0	6400	2002-07-04	SAM
260	1221.0	1221.0	1221.0	1221.0	13200	2002-07-05	SAM
261	1221.0	1221.0	1221.0	1221.0	21100	2002-07-08	SAM
262	1209.0	1209.0	1209.0	1209.0	22300	2002-07-09	SAM
263	1200.0	1200.0	1200.0	1200.0	23800	2002-07-10	SAM
264	1192.0	1192.0	1192.0	1192.0	26400	2002-07-11	SAM
265	1205.0	1205.0	1205.0	1205.0	12000	2002-07-12	SAM
266	1192.0	1192.0	1192.0	1192.0	13000	2002-07-15	SAM
267	1184.0	1184.0	1184.0	1184.0	16100	2002-07-16	SAM
268	1179.0	1179.0	1179.0	1179.0	22400	2002-07-17	SAM
269	1171.0	1171.0	1171.0	1171.0	9500	2002-07-18	SAM
270	1184.0	1184.0	1184.0	1184.0	19600	2002-07-19	SAM
271	1205.0	1205.0	1205.0	1205.0	18500	2002-07-22	SAM
272	1226.0	1226.0	1226.0	1226.0	5600	2002-07-23	SAM
273	1234.0	1234.0	1234.0	1234.0	26100	2002-07-24	SAM
274	1221.0	1221.0	1221.0	1221.0	33300	2002-07-25	SAM
