	Open	High	Low	Close	Volume	TradingDate	Code
0	58538.0	60195.0	46652.0	50489.0	167500	2007-12-13	TST
1	49757.0	48086.0	44762.0	46318.0	46700	2007-12-14	TST
2	46904.0	46199.0	42523.0	43172.0	5800	2007-12-17	TST
3	40611.0	43661.0	40876.0	41855.0	27200	2007-12-18	TST
4	41708.0	45084.0	41321.0	43903.0	51200	2007-12-19	TST
5	43903.0	42742.0	39323.0	40391.0	22600	2007-12-20	TST
6	40977.0	42030.0	39893.0	40391.0	12100	2007-12-21	TST
7	43318.0	43242.0	40905.0	41708.0	18400	2007-12-24	TST
8	42440.0	41829.0	39522.0	40098.0	17700	2007-12-25	TST
9	40245.0	41928.0	40245.0	40977.0	17300	2007-12-26	TST
10	41562.0	42297.0	40317.0	40611.0	19600	2007-12-27	TST
11	40611.0	41636.0	40610.0	40977.0	9900	2007-12-28	TST
12	40977.0	40828.0	40099.0	40318.0	10100	2008-01-02	TST
13	40611.0	39920.0	37402.0	38050.0	10300	2008-01-03	TST
14	37684.0	36792.0	35363.0	36220.0	10700	2008-01-04	TST
15	35269.0	34666.0	33084.0	33659.0	17600	2008-01-07	TST
16	35928.0	35083.0	32511.0	33440.0	15200	2008-01-08	TST
17	34611.0	33766.0	31411.0	32196.0	12500	2008-01-09	TST
18	31464.0	33600.0	32106.0	32928.0	7300	2008-01-10	TST
19	32928.0	34001.0	32212.0	32928.0	14300	2008-01-11	TST
20	31464.0	31166.0	30371.0	30732.0	18200	2008-01-14	TST
21	30732.0	30417.0	27955.0	28245.0	8300	2008-01-15	TST
22	30001.0	30717.0	29356.0	30001.0	6100	2008-01-16	TST
23	33659.0	33272.0	29656.0	31464.0	38800	2008-01-17	TST
24	32196.0	32853.0	31758.0	32269.0	20500	2008-01-18	TST
25	32342.0	32714.0	31678.0	32196.0	6500	2008-01-21	TST
26	30001.0	32056.0	30423.0	31610.0	10400	2008-01-22	TST
27	30806.0	31925.0	30122.0	31098.0	18700	2008-01-23	TST
28	30732.0	31968.0	29861.0	30732.0	18700	2008-01-24	TST
29	30732.0	30732.0	30367.0	30732.0	9100	2008-01-25	TST
30	30732.0	32204.0	31094.0	31464.0	15000	2008-01-28	TST
31	32196.0	34467.0	32474.0	34172.0	27200	2008-01-29	TST
32	37245.0	37245.0	37245.0	37245.0	9800	2008-01-30	TST
33	40903.0	42421.0	35667.0	40903.0	124100	2008-01-31	TST
34	43318.0	43391.0	42512.0	43318.0	86300	2008-02-01	TST
35	47562.0	47641.0	41705.0	43903.0	66800	2008-02-12	TST
36	46830.0	45451.0	39769.0	40977.0	60300	2008-02-13	TST
37	42074.0	45526.0	41554.0	43025.0	61700	2008-02-14	TST
38	42440.0	42589.0	39652.0	41708.0	53500	2008-02-15	TST
39	38269.0	39513.0	37464.0	38269.0	78200	2008-02-18	TST
40	38708.0	41772.0	38061.0	40098.0	85600	2008-02-19	TST
41	40318.0	41019.0	37577.0	39513.0	56900	2008-02-20	TST
42	38781.0	38544.0	36003.0	36294.0	52300	2008-02-21	TST
43	33659.0	39453.0	34811.0	36513.0	85200	2008-02-22	TST
44	37684.0	38123.0	37095.0	37976.0	48900	2008-02-25	TST
45	38781.0	38270.0	34050.0	35123.0	40700	2008-02-26	TST
46	34391.0	37142.0	33176.0	35123.0	38400	2008-02-27	TST
47	35489.0	37052.0	34881.0	35854.0	30700	2008-02-28	TST
48	35123.0	36318.0	33724.0	34391.0	38900	2008-02-29	TST
49	37318.0	36699.0	32453.0	34684.0	54500	2008-03-03	TST
50	33659.0	33505.0	31611.0	31757.0	25100	2008-03-04	TST
51	28757.0	34639.0	30660.0	31830.0	97200	2008-03-05	TST
52	32781.0	32781.0	32781.0	32781.0	17400	2008-03-06	TST
53	36001.0	36001.0	36001.0	36001.0	200	2008-03-07	TST
54	39586.0	38292.0	34682.0	36806.0	148800	2008-03-10	TST
55	34245.0	36123.0	33811.0	34245.0	38900	2008-03-11	TST
56	34391.0	38050.0	33586.0	35854.0	46100	2008-03-12	TST
57	36586.0	37163.0	34394.0	35123.0	29400	2008-03-13	TST
58	34391.0	34604.0	33523.0	34172.0	18100	2008-03-14	TST
59	33659.0	33427.0	31247.0	31537.0	32800	2008-03-17	TST
60	30001.0	29772.0	28393.0	28610.0	60000	2008-03-18	TST
61	29269.0	30132.0	26129.0	28025.0	34900	2008-03-19	TST
62	28537.0	28522.0	27167.0	27952.0	18200	2008-03-20	TST
63	27806.0	27417.0	25469.0	25830.0	41000	2008-03-21	TST
64	24147.0	24072.0	23562.0	23635.0	8700	2008-03-24	TST
65	21952.0	23627.0	21293.0	21366.0	19400	2008-03-25	TST
66	19318.0	23784.0	19500.0	23488.0	35500	2008-03-26	TST
67	23708.0	23708.0	23708.0	23708.0	2500	2008-03-27	TST
68	24147.0	24147.0	24147.0	24147.0	100	2008-03-28	TST
69	24586.0	24586.0	24586.0	24586.0	200	2008-03-31	TST
70	25025.0	25025.0	25025.0	25025.0	100	2008-04-01	TST
71	25464.0	25464.0	25464.0	25464.0	100	2008-04-02	TST
72	25903.0	25903.0	25903.0	25903.0	400	2008-04-03	TST
73	26415.0	26415.0	26415.0	26415.0	600	2008-04-04	TST
74	27147.0	27147.0	27147.0	27147.0	400	2008-04-07	TST
75	27952.0	28180.0	26557.0	27074.0	57200	2008-04-08	TST
76	26781.0	26706.0	25976.0	26049.0	4800	2008-04-09	TST
77	25391.0	25391.0	25391.0	25391.0	500	2008-04-10	TST
78	24659.0	24659.0	24659.0	24659.0	3300	2008-04-11	TST
79	23927.0	23927.0	23927.0	23927.0	2000	2008-04-16	TST
80	23269.0	25038.0	23697.0	24293.0	40800	2008-04-17	TST
81	24513.0	24207.0	22907.0	23196.0	9000	2008-04-18	TST
82	22830.0	22830.0	22830.0	22830.0	6400	2008-04-21	TST
83	22171.0	22171.0	22171.0	22171.0	2700	2008-04-22	TST
84	21513.0	21513.0	21513.0	21513.0	100	2008-04-23	TST
85	20927.0	21805.0	20927.0	20927.0	28500	2008-04-24	TST
86	20342.0	20342.0	20342.0	20342.0	3700	2008-04-25	TST
87	19757.0	20118.0	19539.0	19757.0	23500	2008-04-28	TST
88	19391.0	19464.0	19391.0	19391.0	15900	2008-04-29	TST
89	18878.0	18878.0	18878.0	18878.0	2200	2008-05-05	TST
90	18366.0	18366.0	18366.0	18366.0	1500	2008-05-06	TST
91	17854.0	17854.0	17854.0	17854.0	1400	2008-05-07	TST
92	17342.0	17342.0	17342.0	17342.0	1600	2008-05-08	TST
93	16830.0	16830.0	16830.0	16830.0	100	2008-05-09	TST
94	16391.0	16391.0	16391.0	16391.0	100	2008-05-12	TST
95	15952.0	15952.0	15952.0	15952.0	100	2008-05-13	TST
96	15952.0	15952.0	15952.0	15952.0	0	2008-05-14	TST
97	15513.0	15513.0	15513.0	15513.0	1000	2008-05-15	TST
98	15074.0	15074.0	15074.0	15074.0	8600	2008-05-16	TST
99	14634.0	14634.0	14634.0	14634.0	10000	2008-05-19	TST
100	14195.0	14195.0	14195.0	14195.0	500	2008-05-20	TST
101	14195.0	14195.0	14195.0	14195.0	0	2008-05-21	TST
102	13830.0	13830.0	13830.0	13830.0	100	2008-05-22	TST
103	13464.0	13464.0	13464.0	13464.0	100	2008-05-23	TST
104	13098.0	13098.0	13098.0	13098.0	100	2008-05-26	TST
105	12732.0	12732.0	12732.0	12732.0	100	2008-05-27	TST
106	12366.0	12366.0	12366.0	12366.0	100	2008-05-28	TST
107	12000.0	12000.0	12000.0	12000.0	700	2008-05-29	TST
108	11708.0	11708.0	11708.0	11708.0	700	2008-05-30	TST
109	11415.0	11415.0	11415.0	11415.0	100	2008-06-02	TST
110	11122.0	11122.0	11122.0	11122.0	100	2008-06-03	TST
111	10830.0	10830.0	10830.0	10830.0	300	2008-06-04	TST
112	10537.0	10537.0	10537.0	10537.0	200	2008-06-05	TST
113	10244.0	10244.0	10244.0	10244.0	400	2008-06-06	TST
114	9951.0	9951.0	9951.0	9951.0	100	2008-06-09	TST
115	9659.0	9659.0	9659.0	9659.0	300	2008-06-10	TST
116	9439.0	9803.0	9367.0	9512.0	89500	2008-06-11	TST
117	9512.0	9805.0	9512.0	9805.0	30800	2008-06-12	TST
118	10098.0	10322.0	9724.0	10098.0	22000	2008-06-13	TST
119	10171.0	10171.0	10171.0	10171.0	2000	2008-06-16	TST
120	10464.0	10464.0	10464.0	10464.0	2000	2008-06-17	TST
121	10756.0	10171.0	9617.0	10171.0	25700	2008-06-18	TST
122	10756.0	10171.0	10171.0	10756.0	0	2008-06-19	TST
123	10390.0	10390.0	10390.0	10390.0	1100	2008-06-20	TST
124	10025.0	10244.0	10025.0	10025.0	45400	2008-06-23	TST
125	9732.0	10103.0	9878.0	9878.0	18400	2008-06-24	TST
126	9732.0	9950.0	9441.0	9732.0	29200	2008-06-25	TST
127	9878.0	10102.0	9512.0	9586.0	24500	2008-06-26	TST
128	9147.0	9663.0	9292.0	9366.0	26400	2008-06-27	TST
129	8854.0	9295.0	8926.0	9073.0	27600	2008-06-30	TST
130	8854.0	9367.0	8924.0	9293.0	10300	2008-07-01	TST
131	9586.0	9586.0	9586.0	9586.0	21300	2008-07-02	TST
132	9951.0	9951.0	9951.0	9951.0	11500	2008-07-03	TST
133	10317.0	10317.0	10317.0	10317.0	3000	2008-07-04	TST
134	10683.0	10164.0	9468.0	10025.0	57100	2008-07-07	TST
135	10317.0	11284.0	10527.0	10830.0	53000	2008-07-08	TST
136	10830.0	10978.0	10681.0	10830.0	59600	2008-07-09	TST
137	11049.0	11049.0	10976.0	11049.0	35900	2008-07-10	TST
138	11488.0	11488.0	11488.0	11488.0	17900	2008-07-11	TST
139	11927.0	11927.0	11927.0	11927.0	5600	2008-07-14	TST
140	12366.0	12366.0	12366.0	12366.0	3500	2008-07-15	TST
141	12805.0	12879.0	11996.0	12805.0	106500	2008-07-16	TST
142	13171.0	13171.0	12659.0	13171.0	52400	2008-07-17	TST
143	13537.0	13228.0	12303.0	12659.0	25100	2008-07-18	TST
144	13025.0	12659.0	12659.0	13025.0	0	2008-07-21	TST
145	12512.0	12512.0	12512.0	12512.0	100	2008-07-22	TST
146	12073.0	12073.0	12073.0	12073.0	100	2008-07-23	TST
147	11634.0	11634.0	11634.0	11634.0	30900	2008-07-24	TST
148	11195.0	11195.0	11195.0	11195.0	13000	2008-07-25	TST
149	10756.0	10756.0	10756.0	10756.0	12000	2008-07-28	TST
150	10390.0	11128.0	10535.0	10683.0	62900	2008-07-29	TST
151	10610.0	10680.0	10098.0	10171.0	23100	2008-07-30	TST
152	9878.0	9878.0	9878.0	9878.0	200	2008-07-31	TST
153	9512.0	9586.0	9512.0	9512.0	26800	2008-08-01	TST
154	9147.0	9147.0	9147.0	9147.0	10300	2008-08-04	TST
155	8781.0	8781.0	8781.0	8781.0	6300	2008-08-05	TST
156	8488.0	9227.0	8632.0	8781.0	46300	2008-08-06	TST
157	8927.0	8927.0	8854.0	8927.0	19000	2008-08-07	TST
158	8781.0	9220.0	8781.0	9073.0	5900	2008-08-08	TST
159	9073.0	9515.0	9217.0	9366.0	800	2008-08-11	TST
160	9586.0	9147.0	8728.0	9147.0	23200	2008-08-12	TST
161	9293.0	9735.0	9364.0	9512.0	9400	2008-08-13	TST
162	9366.0	9881.0	9509.0	9732.0	28100	2008-08-14	TST
163	9951.0	9951.0	9951.0	9951.0	4700	2008-08-15	TST
164	10244.0	10244.0	9951.0	10025.0	15300	2008-08-18	TST
165	9878.0	9874.0	9441.0	9586.0	11400	2008-08-19	TST
166	9147.0	9220.0	9147.0	9147.0	16600	2008-08-20	TST
167	9073.0	9961.0	9357.0	9659.0	4000	2008-08-21	TST
168	9878.0	9730.0	9373.0	9659.0	35100	2008-08-22	TST
169	10464.0	10537.0	10464.0	10537.0	30300	2008-08-25	TST
170	11269.0	11269.0	11269.0	11269.0	11100	2008-08-26	TST
171	11927.0	12000.0	11634.0	11927.0	74800	2008-08-27	TST
172	12586.0	12503.0	11050.0	11122.0	33600	2008-08-28	TST
173	10464.0	11732.0	10965.0	11195.0	62000	2008-08-29	TST
174	11415.0	11415.0	11415.0	11415.0	100	2008-09-03	TST
175	12147.0	12295.0	10813.0	12147.0	49900	2008-09-04	TST
176	12073.0	12953.0	11843.0	12805.0	63200	2008-09-05	TST
177	13537.0	13996.0	12256.0	13391.0	52700	2008-09-08	TST
178	12952.0	13903.0	13020.0	13830.0	56700	2008-09-09	TST
179	14049.0	14088.0	12266.0	13317.0	54700	2008-09-10	TST
180	13171.0	13171.0	12952.0	12952.0	12500	2008-09-11	TST
181	12073.0	12073.0	12073.0	12073.0	13100	2008-09-12	TST
182	11269.0	12569.0	11061.0	11708.0	24500	2008-09-15	TST
183	11195.0	11195.0	11122.0	11122.0	15100	2008-09-16	TST
184	10390.0	10536.0	10318.0	10390.0	15000	2008-09-17	TST
185	9732.0	9732.0	9732.0	9732.0	28300	2008-09-18	TST
186	9147.0	10770.0	9480.0	10390.0	15600	2008-09-19	TST
187	10683.0	10757.0	10609.0	10683.0	4000	2008-09-22	TST
188	11342.0	11018.0	9596.0	9951.0	44800	2008-09-23	TST
189	9878.0	10170.0	9807.0	10098.0	18600	2008-09-24	TST
190	9878.0	10765.0	10163.0	10464.0	11400	2008-09-25	TST
191	10610.0	10684.0	10463.0	10610.0	10200	2008-09-26	TST
192	10537.0	10976.0	10464.0	10610.0	21300	2008-09-29	TST
193	9878.0	10169.0	9806.0	9878.0	35600	2008-09-30	TST
194	10610.0	10610.0	10390.0	10610.0	16900	2008-10-01	TST
195	10976.0	11490.0	11119.0	11342.0	31300	2008-10-02	TST
196	10756.0	11714.0	10899.0	11195.0	4500	2008-10-03	TST
197	10464.0	10896.0	10174.0	10390.0	13000	2008-10-06	TST
198	9805.0	10168.0	9732.0	9805.0	31100	2008-10-07	TST
199	9293.0	9951.0	9293.0	9586.0	12400	2008-10-08	TST
200	9366.0	10169.0	9297.0	9878.0	14300	2008-10-09	TST
201	9293.0	9586.0	9222.0	9586.0	8800	2008-10-10	TST
202	9732.0	9952.0	9805.0	9878.0	4000	2008-10-13	TST
203	10464.0	10464.0	10464.0	10464.0	1100	2008-10-14	TST
204	10976.0	10823.0	10174.0	10390.0	13400	2008-10-15	TST
205	9805.0	10171.0	9805.0	10025.0	7800	2008-10-16	TST
206	10244.0	10244.0	9878.0	10025.0	11800	2008-10-17	TST
207	10098.0	10098.0	9732.0	9951.0	12000	2008-10-20	TST
208	10098.0	10246.0	10024.0	10098.0	4000	2008-10-21	TST
209	9732.0	10100.0	9877.0	9951.0	5500	2008-10-22	TST
210	9512.0	9732.0	9439.0	9512.0	53000	2008-10-23	TST
211	9512.0	9957.0	9657.0	9732.0	19100	2008-10-24	TST
212	9439.0	9512.0	9147.0	9439.0	11300	2008-10-27	TST
213	9147.0	9587.0	9219.0	9366.0	5500	2008-10-28	TST
214	9878.0	9878.0	9512.0	9878.0	34300	2008-10-29	TST
215	10025.0	10098.0	10025.0	10098.0	2000	2008-10-30	TST
216	10098.0	10384.0	9440.0	9512.0	7400	2008-10-31	TST
217	9220.0	9659.0	9291.0	9586.0	1200	2008-11-03	TST
218	9878.0	10246.0	9730.0	9951.0	16900	2008-11-04	TST
219	10098.0	10394.0	9874.0	10171.0	8000	2008-11-05	TST
220	9439.0	9511.0	9293.0	9366.0	6300	2008-11-06	TST
221	9512.0	9512.0	9366.0	9512.0	9300	2008-11-07	TST
222	9878.0	9878.0	9878.0	9878.0	11800	2008-11-10	TST
223	9512.0	9362.0	8936.0	9220.0	17300	2008-11-11	TST
224	9366.0	9512.0	9366.0	9512.0	3900	2008-11-12	TST
225	9512.0	9586.0	9512.0	9512.0	6800	2008-11-13	TST
226	9512.0	9586.0	9366.0	9512.0	14400	2008-11-14	TST
227	9366.0	9512.0	9366.0	9366.0	7100	2008-11-17	TST
228	9293.0	9512.0	9293.0	9366.0	4200	2008-11-18	TST
229	9366.0	9293.0	9220.0	9293.0	400	2008-11-19	TST
230	9000.0	9145.0	8928.0	9000.0	5400	2008-11-20	TST
231	9000.0	9073.0	8928.0	9000.0	4500	2008-11-21	TST
232	9073.0	9073.0	9000.0	9073.0	11500	2008-11-24	TST
233	9439.0	9515.0	9147.0	9147.0	9500	2008-11-25	TST
234	9073.0	9073.0	9073.0	9073.0	1000	2008-11-26	TST
235	9000.0	8927.0	8854.0	8927.0	10100	2008-11-27	TST
236	9512.0	9587.0	9219.0	9366.0	7200	2008-11-28	TST
237	9147.0	9147.0	9147.0	9147.0	7900	2008-12-01	TST
238	9073.0	9512.0	8927.0	9073.0	17300	2008-12-02	TST
239	9073.0	9073.0	9073.0	9073.0	1000	2008-12-03	TST
240	9366.0	9584.0	9221.0	9366.0	17300	2008-12-04	TST
241	9512.0	9512.0	9366.0	9512.0	13000	2008-12-05	TST
242	9220.0	9366.0	9147.0	9220.0	5200	2008-12-08	TST
243	9366.0	9440.0	9145.0	9366.0	3100	2008-12-09	TST
244	9293.0	9512.0	9293.0	9293.0	5900	2008-12-10	TST
245	9366.0	9440.0	9292.0	9366.0	1200	2008-12-11	TST
246	9805.0	9878.0	9512.0	9805.0	4400	2008-12-12	TST
247	9878.0	10103.0	9729.0	9878.0	1600	2008-12-15	TST
248	9512.0	9790.0	9026.0	9512.0	9900	2008-12-16	TST
249	10025.0	10025.0	9659.0	10025.0	1800	2008-12-17	TST
250	10025.0	10025.0	10025.0	10025.0	1500	2008-12-18	TST
251	10025.0	10171.0	10098.0	10098.0	7700	2008-12-19	TST
252	9951.0	10025.0	9951.0	10025.0	1200	2008-12-22	TST
253	9732.0	10025.0	9732.0	9878.0	2200	2008-12-23	TST
254	9659.0	9730.0	9441.0	9586.0	2700	2008-12-24	TST
255	9732.0	9732.0	9586.0	9659.0	3800	2008-12-25	TST
256	9732.0	9732.0	9732.0	9732.0	17300	2008-12-26	TST
257	8854.0	9664.0	9065.0	9439.0	19300	2008-12-29	TST
258	9512.0	9512.0	9366.0	9439.0	2300	2008-12-30	TST
259	9147.0	9073.0	9001.0	9073.0	2400	2008-12-31	TST
260	8708.0	9076.0	8853.0	8927.0	3100	2009-01-02	TST
261	8781.0	9149.0	8777.0	9000.0	2900	2009-01-05	TST
262	8781.0	8781.0	8781.0	8781.0	12600	2009-01-06	TST
263	8781.0	8781.0	8781.0	8781.0	0	2009-01-07	TST
264	8561.0	8781.0	8634.0	8708.0	5100	2009-01-08	TST
