	Open	High	Low	Close	Volume	TradingDate	Code
0	13330.0	14100.0	13330.0	13520.0	5600	2022-05-10 02:00:00	DC4
1	13910.0	13910.0	13760.0	13760.0	3800	2022-05-10 03:00:00	DC4
2	13760.0	14050.0	13760.0	14050.0	1100	2022-05-10 04:00:00	DC4
3	13710.0	14000.0	13380.0	13710.0	69600	2022-05-10 06:00:00	DC4
4	13760.0	14000.0	13710.0	14000.0	31500	2022-05-10 07:00:00	DC4
5	14000.0	14000.0	14000.0	14000.0	0	2022-05-10 08:00:00	DC4
6	14050.0	14050.0	13620.0	13810.0	17300	2022-05-11 02:00:00	DC4
7	13710.0	14000.0	13620.0	13810.0	8800	2022-05-11 03:00:00	DC4
8	13810.0	13810.0	13710.0	13710.0	9300	2022-05-11 04:00:00	DC4
9	13710.0	14570.0	13620.0	14380.0	46000	2022-05-11 06:00:00	DC4
10	14050.0	14330.0	14000.0	14240.0	19900	2022-05-11 07:00:00	DC4
11	14190.0	14190.0	13620.0	13620.0	44700	2022-05-12 02:00:00	DC4
12	13760.0	13810.0	13520.0	13810.0	24700	2022-05-12 03:00:00	DC4
13	13810.0	13810.0	13810.0	13810.0	0	2022-05-12 04:00:00	DC4
14	13570.0	13670.0	13290.0	13330.0	63700	2022-05-12 06:00:00	DC4
15	13290.0	13480.0	13290.0	13430.0	27900	2022-05-12 07:00:00	DC4
16	13430.0	13430.0	13430.0	13430.0	0	2022-05-12 08:00:00	DC4
17	13670.0	13670.0	12810.0	12860.0	11300	2022-05-13 02:00:00	DC4
18	12860.0	13480.0	12860.0	13380.0	8000	2022-05-13 03:00:00	DC4
19	12950.0	12950.0	12570.0	12760.0	14900	2022-05-13 04:00:00	DC4
20	12950.0	12950.0	12520.0	12860.0	17000	2022-05-13 06:00:00	DC4
21	12760.0	12810.0	12520.0	12520.0	28300	2022-05-13 07:00:00	DC4
22	12520.0	12520.0	12520.0	12520.0	0	2022-05-13 08:00:00	DC4
23	12570.0	13290.0	12570.0	13000.0	13900	2022-05-16 02:00:00	DC4
24	12950.0	12950.0	12520.0	12570.0	14600	2022-05-16 03:00:00	DC4
25	12620.0	12760.0	12620.0	12760.0	11600	2022-05-16 04:00:00	DC4
