	Open	High	Low	Close	Volume	TradingDate	Code
0	8270.0	8890.0	8270.0	8880.0	41700	2022-05-10 02:00:00	EVG
1	8870.0	8890.0	8600.0	8750.0	38100	2022-05-10 03:00:00	EVG
2	8750.0	8750.0	8640.0	8640.0	300	2022-05-10 04:00:00	EVG
3	8640.0	8740.0	8620.0	8650.0	28600	2022-05-10 06:00:00	EVG
4	8660.0	8890.0	8660.0	8880.0	35000	2022-05-10 07:00:00	EVG
5	8880.0	8880.0	8880.0	8880.0	0	2022-05-10 08:00:00	EVG
6	9100.0	9120.0	8900.0	9000.0	21700	2022-05-11 02:00:00	EVG
7	9000.0	9100.0	8880.0	8880.0	33500	2022-05-11 03:00:00	EVG
8	8890.0	8960.0	8880.0	8880.0	4600	2022-05-11 04:00:00	EVG
9	8890.0	9100.0	8890.0	8910.0	29800	2022-05-11 06:00:00	EVG
10	9000.0	9070.0	9000.0	9000.0	9800	2022-05-11 07:00:00	EVG
11	9000.0	9000.0	8800.0	8850.0	8800	2022-05-12 02:00:00	EVG
12	8990.0	8990.0	8850.0	8960.0	202800	2022-05-12 03:00:00	EVG
13	8960.0	8960.0	8860.0	8870.0	6000	2022-05-12 04:00:00	EVG
14	8850.0	8860.0	8650.0	8700.0	30000	2022-05-12 06:00:00	EVG
15	8650.0	8650.0	8370.0	8450.0	24500	2022-05-12 07:00:00	EVG
16	8450.0	8450.0	8450.0	8450.0	0	2022-05-12 08:00:00	EVG
17	8450.0	8450.0	8040.0	8050.0	35000	2022-05-13 02:00:00	EVG
18	8200.0	8300.0	7860.0	8000.0	21400	2022-05-13 03:00:00	EVG
19	8000.0	8250.0	8000.0	8250.0	3100	2022-05-13 04:00:00	EVG
20	8020.0	8190.0	7860.0	7860.0	50400	2022-05-13 06:00:00	EVG
21	7860.0	7860.0	7860.0	7860.0	72500	2022-05-13 07:00:00	EVG
22	7860.0	7860.0	7860.0	7860.0	0	2022-05-13 08:00:00	EVG
23	7400.0	8400.0	7400.0	8140.0	89100	2022-05-16 02:00:00	EVG
24	8140.0	8140.0	7990.0	8000.0	28000	2022-05-16 03:00:00	EVG
25	8000.0	8000.0	8000.0	8000.0	2200	2022-05-16 04:00:00	EVG
26	8000.0	8110.0	7550.0	7980.0	18900	2022-05-16 06:00:00	EVG
27	7980.0	8000.0	7500.0	7500.0	18600	2022-05-16 07:00:00	EVG
28	7500.0	7500.0	7500.0	7500.0	0	2022-05-16 08:00:00	EVG
29	7250.0	7890.0	7250.0	7500.0	8200	2022-05-17 02:00:00	EVG
30	7520.0	7700.0	7500.0	7550.0	28300	2022-05-17 03:00:00	EVG
31	7550.0	7550.0	7550.0	7550.0	2300	2022-05-17 04:00:00	EVG
32	7560.0	7890.0	7560.0	7890.0	72000	2022-05-17 06:00:00	EVG
33	7880.0	8020.0	7880.0	8020.0	76900	2022-05-17 07:00:00	EVG
34	8020.0	8020.0	8020.0	8020.0	0	2022-05-17 08:00:00	EVG
35	8200.0	8250.0	8150.0	8200.0	47500	2022-05-18 02:00:00	EVG
36	8200.0	8250.0	8180.0	8180.0	31700	2022-05-18 03:00:00	EVG
37	8200.0	8200.0	8180.0	8200.0	28200	2022-05-18 04:00:00	EVG
38	8200.0	8200.0	8150.0	8150.0	28200	2022-05-18 06:00:00	EVG
39	8150.0	8150.0	8100.0	8100.0	39100	2022-05-18 07:00:00	EVG
40	8100.0	8100.0	8100.0	8100.0	0	2022-05-18 08:00:00	EVG
41	7990.0	7990.0	7900.0	7960.0	9500	2022-05-19 02:00:00	EVG
42	7960.0	8000.0	7960.0	8000.0	19400	2022-05-19 03:00:00	EVG
43	8000.0	8000.0	8000.0	8000.0	8500	2022-05-19 04:00:00	EVG
44	8100.0	8100.0	8000.0	8080.0	24600	2022-05-19 06:00:00	EVG
45	8010.0	8080.0	7950.0	7950.0	18300	2022-05-19 07:00:00	EVG
46	7950.0	7950.0	7950.0	7950.0	0	2022-05-19 08:00:00	EVG
47	7950.0	8050.0	7950.0	8000.0	2100	2022-05-20 02:00:00	EVG
48	8000.0	8040.0	8000.0	8010.0	26800	2022-05-20 03:00:00	EVG
49	8020.0	8040.0	8000.0	8000.0	13800	2022-05-20 04:00:00	EVG
50	8000.0	8000.0	7950.0	7970.0	17300	2022-05-20 06:00:00	EVG
51	7970.0	8000.0	7810.0	7810.0	17300	2022-05-20 07:00:00	EVG
52	7810.0	7810.0	7810.0	7810.0	0	2022-05-20 08:00:00	EVG
