	Open	High	Low	Close	Volume	TradingDate	Code
0	8810.0	9080.0	8660.0	9030.0	138600	2022-05-10 02:00:00	PHC
1	9030.0	9080.0	8940.0	8940.0	45000	2022-05-10 03:00:00	PHC
2	8970.0	8990.0	8940.0	8940.0	11900	2022-05-10 04:00:00	PHC
3	8930.0	9030.0	8900.0	8900.0	87600	2022-05-10 06:00:00	PHC
4	8930.0	9260.0	8930.0	9170.0	75200	2022-05-10 07:00:00	PHC
5	9170.0	9170.0	9170.0	9170.0	0	2022-05-10 08:00:00	PHC
6	9170.0	9350.0	9170.0	9260.0	10500	2022-05-11 02:00:00	PHC
7	9260.0	9310.0	9130.0	9130.0	35500	2022-05-11 03:00:00	PHC
8	9130.0	9170.0	9130.0	9130.0	25000	2022-05-11 04:00:00	PHC
9	9130.0	9440.0	9130.0	9310.0	19400	2022-05-11 06:00:00	PHC
10	9310.0	9350.0	9260.0	9350.0	42600	2022-05-11 07:00:00	PHC
11	9310.0	9310.0	9170.0	9310.0	36300	2022-05-12 02:00:00	PHC
12	9260.0	9260.0	9130.0	9170.0	65800	2022-05-12 03:00:00	PHC
13	9130.0	9220.0	9080.0	9080.0	61500	2022-05-12 04:00:00	PHC
14	9130.0	9170.0	8820.0	8920.0	209300	2022-05-12 06:00:00	PHC
15	8900.0	9030.0	8700.0	8700.0	408500	2022-05-12 07:00:00	PHC
16	8700.0	8700.0	8700.0	8700.0	0	2022-05-12 08:00:00	PHC
17	8700.0	8730.0	8630.0	8630.0	55300	2022-05-13 02:00:00	PHC
18	8630.0	8670.0	8440.0	8450.0	29600	2022-05-13 03:00:00	PHC
19	8450.0	8460.0	8440.0	8440.0	21200	2022-05-13 04:00:00	PHC
20	8440.0	8450.0	8090.0	8170.0	194600	2022-05-13 06:00:00	PHC
21	8180.0	8180.0	8090.0	8090.0	90000	2022-05-13 07:00:00	PHC
22	8090.0	8090.0	8090.0	8090.0	0	2022-05-13 08:00:00	PHC
23	8650.0	8650.0	8200.0	8350.0	109100	2022-05-16 02:00:00	PHC
24	8350.0	8430.0	8250.0	8260.0	22600	2022-05-16 03:00:00	PHC
25	8260.0	8270.0	8260.0	8270.0	12000	2022-05-16 04:00:00	PHC
26	8270.0	8280.0	8090.0	8100.0	62700	2022-05-16 06:00:00	PHC
27	8170.0	8250.0	8160.0	8240.0	123100	2022-05-16 07:00:00	PHC
28	8240.0	8240.0	8240.0	8240.0	0	2022-05-16 08:00:00	PHC
29	8110.0	8240.0	8110.0	8170.0	18200	2022-05-17 02:00:00	PHC
30	8180.0	8380.0	8180.0	8350.0	46000	2022-05-17 03:00:00	PHC
31	8350.0	8400.0	8310.0	8400.0	28800	2022-05-17 04:00:00	PHC
32	8400.0	8800.0	8400.0	8800.0	71500	2022-05-17 06:00:00	PHC
33	8780.0	8810.0	8720.0	8810.0	28100	2022-05-17 07:00:00	PHC
