	Open	High	Low	Close	Volume	TradingDate	Code
0	66470.0	68270.0	66470.0	67980.0	939300	2022-05-10 02:00:00	VNM
1	67980.0	68270.0	67600.0	68170.0	354400	2022-05-10 03:00:00	VNM
2	68270.0	68270.0	67800.0	67980.0	97500	2022-05-10 04:00:00	VNM
3	67980.0	68270.0	66940.0	67410.0	875600	2022-05-10 06:00:00	VNM
4	67410.0	67600.0	66840.0	67030.0	839700	2022-05-10 07:00:00	VNM
5	67030.0	67030.0	67030.0	67030.0	0	2022-05-10 08:00:00	VNM
6	67030.0	67510.0	66840.0	66940.0	256000	2022-05-11 02:00:00	VNM
7	66940.0	67130.0	66660.0	66660.0	278900	2022-05-11 03:00:00	VNM
8	66660.0	66740.0	66090.0	66270.0	343300	2022-05-11 04:00:00	VNM
9	66270.0	66740.0	66270.0	66560.0	353700	2022-05-11 06:00:00	VNM
10	66660.0	66660.0	65990.0	65990.0	561800	2022-05-11 07:00:00	VNM
11	66270.0	66270.0	65700.0	66090.0	405800	2022-05-12 02:00:00	VNM
12	66090.0	66180.0	65700.0	65700.0	284400	2022-05-12 03:00:00	VNM
13	65700.0	65800.0	65330.0	65330.0	287000	2022-05-12 04:00:00	VNM
14	65330.0	65420.0	64090.0	64190.0	936800	2022-05-12 06:00:00	VNM
15	64380.0	64760.0	63140.0	63140.0	1275100	2022-05-12 07:00:00	VNM
16	63140.0	63140.0	63140.0	63140.0	0	2022-05-12 08:00:00	VNM
17	63620.0	63990.0	63140.0	63340.0	706100	2022-05-13 02:00:00	VNM
18	63420.0	64090.0	63340.0	63990.0	610600	2022-05-13 03:00:00	VNM
19	63990.0	64190.0	63620.0	64090.0	375900	2022-05-13 04:00:00	VNM
20	63990.0	64380.0	62670.0	63420.0	1263000	2022-05-13 06:00:00	VNM
21	63420.0	63620.0	62570.0	62770.0	1635000	2022-05-13 07:00:00	VNM
22	62770.0	62770.0	62770.0	62770.0	0	2022-05-13 08:00:00	VNM
23	63240.0	64190.0	63240.0	63810.0	316600	2022-05-16 02:00:00	VNM
24	63810.0	63990.0	62850.0	63240.0	408000	2022-05-16 03:00:00	VNM
25	63240.0	63810.0	63140.0	63340.0	216900	2022-05-16 04:00:00	VNM
26	63340.0	63520.0	62670.0	63420.0	378000	2022-05-16 06:00:00	VNM
27	63420.0	63420.0	62380.0	62480.0	658300	2022-05-16 07:00:00	VNM
28	62480.0	62480.0	62480.0	62480.0	0	2022-05-16 08:00:00	VNM
29	62280.0	62570.0	61910.0	62200.0	277900	2022-05-17 02:00:00	VNM
30	62200.0	63520.0	62200.0	62950.0	407000	2022-05-17 03:00:00	VNM
31	62850.0	63340.0	62670.0	63050.0	79300	2022-05-17 04:00:00	VNM
32	63140.0	64380.0	63050.0	64380.0	571100	2022-05-17 06:00:00	VNM
33	64190.0	66470.0	64190.0	66470.0	769800	2022-05-17 07:00:00	VNM
34	66470.0	66470.0	66470.0	66470.0	0	2022-05-17 08:00:00	VNM
35	66470.0	66940.0	65990.0	66740.0	625000	2022-05-18 02:00:00	VNM
36	66560.0	66740.0	66090.0	66270.0	330400	2022-05-18 03:00:00	VNM
37	66270.0	66560.0	66180.0	66560.0	90800	2022-05-18 04:00:00	VNM
38	66470.0	66940.0	66270.0	66370.0	564800	2022-05-18 06:00:00	VNM
39	66370.0	66740.0	66270.0	66740.0	372200	2022-05-18 07:00:00	VNM
40	66740.0	66740.0	66740.0	66740.0	0	2022-05-18 08:00:00	VNM
41	65990.0	66090.0	65520.0	65800.0	323100	2022-05-19 02:00:00	VNM
42	65800.0	66370.0	65800.0	66270.0	275400	2022-05-19 03:00:00	VNM
43	66270.0	66470.0	66270.0	66370.0	101400	2022-05-19 04:00:00	VNM
44	66370.0	66470.0	66180.0	66270.0	351500	2022-05-19 06:00:00	VNM
45	66270.0	66470.0	65520.0	65520.0	398000	2022-05-19 07:00:00	VNM
46	65520.0	65520.0	65520.0	65520.0	0	2022-05-19 08:00:00	VNM
47	65520.0	66270.0	65420.0	65990.0	186800	2022-05-20 02:00:00	VNM
48	66090.0	66370.0	65610.0	65990.0	317800	2022-05-20 03:00:00	VNM
49	66180.0	66270.0	65800.0	65900.0	76200	2022-05-20 04:00:00	VNM
50	65900.0	66090.0	64560.0	64760.0	429000	2022-05-20 06:00:00	VNM
51	64850.0	65130.0	64560.0	64660.0	286400	2022-05-20 07:00:00	VNM
52	64660.0	64660.0	64660.0	64660.0	0	2022-05-20 08:00:00	VNM
53	65040.0	65230.0	64280.0	64380.0	260000	2022-05-23 02:00:00	VNM
54	64380.0	64850.0	63990.0	63990.0	378900	2022-05-23 03:00:00	VNM
55	63990.0	64280.0	63620.0	63810.0	261400	2022-05-23 04:00:00	VNM
56	63810.0	64190.0	63620.0	63620.0	593500	2022-05-23 06:00:00	VNM
57	63620.0	63710.0	62850.0	62950.0	528400	2022-05-23 07:00:00	VNM
58	63340.0	63810.0	63140.0	63620.0	259500	2022-05-24 02:00:00	VNM
59	63620.0	65420.0	63620.0	64850.0	701300	2022-05-24 03:00:00	VNM
60	64850.0	65420.0	64850.0	65130.0	261800	2022-05-24 04:00:00	VNM
61	65230.0	65230.0	63910.0	64660.0	367900	2022-05-24 06:00:00	VNM
62	64380.0	65420.0	64380.0	65420.0	442500	2022-05-24 07:00:00	VNM
63	65420.0	65420.0	65420.0	65420.0	0	2022-05-24 08:00:00	VNM
64	65420.0	66470.0	65420.0	66090.0	274000	2022-05-25 02:00:00	VNM
65	66180.0	66270.0	66090.0	66180.0	239300	2022-05-25 03:00:00	VNM
66	66180.0	67410.0	66090.0	66740.0	544000	2022-05-25 04:00:00	VNM
67	66740.0	68650.0	66740.0	68080.0	1018800	2022-05-25 06:00:00	VNM
68	68080.0	68370.0	67980.0	68270.0	286000	2022-05-25 07:00:00	VNM
69	68270.0	68270.0	68270.0	68270.0	0	2022-05-25 08:00:00	VNM
70	68270.0	68270.0	67600.0	68080.0	483600	2022-05-26 02:00:00	VNM
71	68080.0	68170.0	67600.0	67700.0	414100	2022-05-26 03:00:00	VNM
72	67800.0	67800.0	67600.0	67600.0	57700	2022-05-26 04:00:00	VNM
73	67600.0	67600.0	67130.0	67310.0	281100	2022-05-26 06:00:00	VNM
74	67310.0	67700.0	67230.0	67700.0	294300	2022-05-26 07:00:00	VNM
75	67700.0	67700.0	67700.0	67700.0	0	2022-05-26 08:00:00	VNM
76	67700.0	69410.0	67130.0	69220.0	877100	2022-05-27 02:00:00	VNM
77	69220.0	69590.0	69020.0	69220.0	813200	2022-05-27 03:00:00	VNM
78	69220.0	69500.0	69220.0	69310.0	321300	2022-05-27 04:00:00	VNM
79	69310.0	69590.0	69220.0	69310.0	1054000	2022-05-27 06:00:00	VNM
80	69310.0	69310.0	69120.0	69310.0	391300	2022-05-27 07:00:00	VNM
81	69310.0	69310.0	69310.0	69310.0	0	2022-05-27 08:00:00	VNM
82	69220.0	69220.0	68370.0	68650.0	461700	2022-05-30 02:00:00	VNM
83	68650.0	68840.0	68550.0	68650.0	281500	2022-05-30 03:00:00	VNM
84	68650.0	68740.0	68450.0	68650.0	129300	2022-05-30 04:00:00	VNM
85	68650.0	69020.0	68450.0	68840.0	657400	2022-05-30 06:00:00	VNM
86	68840.0	68840.0	68550.0	68840.0	588900	2022-05-30 07:00:00	VNM
87	68840.0	68840.0	68840.0	68840.0	0	2022-05-30 08:00:00	VNM
88	68450.0	68740.0	68270.0	68450.0	193700	2022-05-31 02:00:00	VNM
89	68370.0	68450.0	68170.0	68450.0	474800	2022-05-31 03:00:00	VNM
90	68450.0	68650.0	68450.0	68450.0	133900	2022-05-31 04:00:00	VNM
91	68550.0	68650.0	68170.0	68170.0	753100	2022-05-31 06:00:00	VNM
92	68270.0	68550.0	68080.0	68080.0	503200	2022-05-31 07:00:00	VNM
93	68080.0	68080.0	68080.0	68080.0	0	2022-05-31 08:00:00	VNM
94	67880.0	68940.0	67800.0	68170.0	262100	2022-06-01 02:00:00	VNM
95	68170.0	68740.0	67880.0	67980.0	165800	2022-06-01 03:00:00	VNM
96	67980.0	68080.0	67700.0	67980.0	165100	2022-06-01 04:00:00	VNM
97	67980.0	68170.0	67800.0	68170.0	345600	2022-06-01 06:00:00	VNM
98	68080.0	68450.0	67980.0	68270.0	291000	2022-06-01 07:00:00	VNM
99	68270.0	68270.0	68270.0	68270.0	0	2022-06-01 08:00:00	VNM
100	68370.0	68370.0	67700.0	67800.0	231700	2022-06-02 02:00:00	VNM
101	67800.0	67880.0	67510.0	67880.0	324700	2022-06-02 03:00:00	VNM
102	67880.0	67880.0	67700.0	67800.0	222500	2022-06-02 04:00:00	VNM
103	67800.0	67880.0	67600.0	67700.0	363700	2022-06-02 06:00:00	VNM
104	67700.0	67700.0	67230.0	67510.0	343800	2022-06-02 07:00:00	VNM
105	67510.0	67510.0	67510.0	67510.0	0	2022-06-02 08:00:00	VNM
106	67410.0	67700.0	67310.0	67410.0	94900	2022-06-03 02:00:00	VNM
107	67410.0	67410.0	66740.0	66740.0	296100	2022-06-03 03:00:00	VNM
108	66740.0	67030.0	66560.0	66840.0	129300	2022-06-03 04:00:00	VNM
109	66840.0	67130.0	66470.0	66840.0	376300	2022-06-03 06:00:00	VNM
110	66940.0	67410.0	66660.0	66740.0	156200	2022-06-03 07:00:00	VNM
111	66740.0	66740.0	66740.0	66740.0	0	2022-06-03 08:00:00	VNM
112	66660.0	66940.0	66470.0	66560.0	205800	2022-06-06 02:00:00	VNM
113	66660.0	67600.0	66560.0	67130.0	323700	2022-06-06 03:00:00	VNM
114	67230.0	67510.0	67130.0	67310.0	186500	2022-06-06 04:00:00	VNM
115	67310.0	67600.0	67230.0	67310.0	302700	2022-06-06 06:00:00	VNM
116	67310.0	67410.0	66740.0	67230.0	413300	2022-06-06 07:00:00	VNM
